Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
0000001,,,,0000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,85,"1,552",,Polling,0,0.00%,0,0.00%,6,7.23%,,0,0.00%,2,2.41%,,0,0.00%,0,0.00%,0,0.00%,33,39.76%,0,0.00%,3,3.61%,0,0.00%,2,2.41%,7,8.43%,0,0.00%,0,0.00%,0,0.00%,30,36.14%,0,0.00%,0,0.00%,0,0.00%,83,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,252,"1,552",,Vote by Mail,1,0.40%,0,0.00%,8,3.24%,,0,0.00%,4,1.62%,,3,1.21%,0,0.00%,0,0.00%,72,29.15%,0,0.00%,7,2.83%,0,0.00%,0,0.00%,38,15.38%,0,0.00%,0,0.00%,2,0.81%,111,44.94%,1,0.40%,0,0.00%,0,0.00%,247,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,337,"1,552",,Total,1,0.30%,0,0.00%,14,4.24%,,0,0.00%,6,1.82%,,3,0.91%,0,0.00%,0,0.00%,105,31.82%,0,0.00%,10,3.03%,0,0.00%,2,0.61%,45,13.64%,0,0.00%,0,0.00%,2,0.61%,141,42.73%,1,0.30%,0,0.00%,0,0.00%,330,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000002,,,,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,97,"2,299",,Polling,1,1.05%,1,1.05%,3,3.16%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,51,53.68%,0,0.00%,4,4.21%,0,0.00%,0,0.00%,8,8.42%,0,0.00%,0,0.00%,1,1.05%,26,27.37%,0,0.00%,0,0.00%,0,0.00%,95,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,361,"2,299",,Vote by Mail,0,0.00%,0,0.00%,23,6.48%,,0,0.00%,10,2.82%,,0,0.00%,0,0.00%,2,0.56%,146,41.13%,2,0.56%,19,5.35%,1,0.28%,0,0.00%,51,14.37%,0,0.00%,1,0.28%,7,1.97%,92,25.92%,1,0.28%,0,0.00%,0,0.00%,355,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,458,"2,299",,Total,1,0.22%,1,0.22%,26,5.78%,,0,0.00%,10,2.22%,,0,0.00%,0,0.00%,2,0.44%,197,43.78%,2,0.44%,23,5.11%,1,0.22%,0,0.00%,59,13.11%,0,0.00%,1,0.22%,8,1.78%,118,26.22%,1,0.22%,0,0.00%,0,0.00%,450,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000003,,,,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,70,"1,378",,Polling,1,1.45%,0,0.00%,2,2.90%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,34,49.28%,0,0.00%,1,1.45%,0,0.00%,1,1.45%,7,10.14%,0,0.00%,0,0.00%,0,0.00%,23,33.33%,0,0.00%,0,0.00%,0,0.00%,69,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,267,"1,378",,Vote by Mail,1,0.38%,0,0.00%,4,1.53%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,83,31.68%,1,0.38%,15,5.73%,0,0.00%,0,0.00%,47,17.94%,0,0.00%,1,0.38%,2,0.76%,108,41.22%,0,0.00%,0,0.00%,0,0.00%,262,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,337,"1,378",,Total,2,0.60%,0,0.00%,6,1.81%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,117,35.35%,1,0.30%,16,4.83%,0,0.00%,1,0.30%,54,16.31%,0,0.00%,1,0.30%,2,0.60%,131,39.58%,0,0.00%,0,0.00%,0,0.00%,331,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000004,,,,0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,87,"1,871",,Polling,0,0.00%,0,0.00%,4,4.60%,,0,0.00%,2,2.30%,,0,0.00%,0,0.00%,0,0.00%,42,48.28%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,13.79%,0,0.00%,0,0.00%,0,0.00%,27,31.03%,0,0.00%,0,0.00%,0,0.00%,87,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,363,"1,871",,Vote by Mail,3,0.84%,1,0.28%,23,6.46%,,1,0.28%,1,0.28%,,0,0.00%,0,0.00%,2,0.56%,118,33.15%,0,0.00%,31,8.71%,1,0.28%,0,0.00%,59,16.57%,1,0.28%,2,0.56%,7,1.97%,105,29.49%,1,0.28%,0,0.00%,0,0.00%,356,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,450,"1,871",,Total,3,0.68%,1,0.23%,27,6.09%,,1,0.23%,3,0.68%,,0,0.00%,0,0.00%,2,0.45%,160,36.12%,0,0.00%,31,7.00%,1,0.23%,0,0.00%,71,16.03%,1,0.23%,2,0.45%,7,1.58%,132,29.80%,1,0.23%,0,0.00%,0,0.00%,443,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000005,,,,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,64,"2,129",,Polling,0,0.00%,0,0.00%,3,4.69%,,0,0.00%,2,3.13%,,0,0.00%,0,0.00%,0,0.00%,38,59.38%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,7.81%,0,0.00%,0,0.00%,0,0.00%,16,25.00%,0,0.00%,0,0.00%,0,0.00%,64,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,305,"2,129",,Vote by Mail,0,0.00%,0,0.00%,14,4.75%,,1,0.34%,0,0.00%,,0,0.00%,0,0.00%,5,1.69%,102,34.58%,0,0.00%,25,8.47%,0,0.00%,0,0.00%,46,15.59%,0,0.00%,1,0.34%,6,2.03%,94,31.86%,1,0.34%,0,0.00%,0,0.00%,295,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,369,"2,129",,Total,0,0.00%,0,0.00%,17,4.74%,,1,0.28%,2,0.56%,,0,0.00%,0,0.00%,5,1.39%,140,39.00%,0,0.00%,25,6.96%,0,0.00%,0,0.00%,51,14.21%,0,0.00%,1,0.28%,6,1.67%,110,30.64%,1,0.28%,0,0.00%,0,0.00%,359,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000006,,,,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,55,"1,329",,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,23,41.82%,0,0.00%,4,7.27%,0,0.00%,0,0.00%,9,16.36%,0,0.00%,0,0.00%,0,0.00%,19,34.55%,0,0.00%,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,207,"1,329",,Vote by Mail,3,1.50%,0,0.00%,12,6.00%,,0,0.00%,10,5.00%,,1,0.50%,0,0.00%,0,0.00%,60,30.00%,0,0.00%,13,6.50%,0,0.00%,1,0.50%,31,15.50%,0,0.00%,4,2.00%,3,1.50%,61,30.50%,1,0.50%,0,0.00%,0,0.00%,200,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,262,"1,329",,Total,3,1.18%,0,0.00%,12,4.71%,,0,0.00%,10,3.92%,,1,0.39%,0,0.00%,0,0.00%,83,32.55%,0,0.00%,17,6.67%,0,0.00%,1,0.39%,40,15.69%,0,0.00%,4,1.57%,3,1.18%,80,31.37%,1,0.39%,0,0.00%,0,0.00%,255,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000007,,,,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,42,"1,328",,Polling,0,0.00%,0,0.00%,1,2.38%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,2.38%,17,40.48%,0,0.00%,1,2.38%,0,0.00%,0,0.00%,2,4.76%,0,0.00%,0,0.00%,1,2.38%,19,45.24%,0,0.00%,0,0.00%,0,0.00%,42,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,224,"1,328",,Vote by Mail,0,0.00%,1,0.45%,6,2.73%,,1,0.45%,8,3.64%,,0,0.00%,0,0.00%,0,0.00%,73,33.18%,0,0.00%,21,9.55%,0,0.00%,0,0.00%,34,15.45%,0,0.00%,1,0.45%,3,1.36%,72,32.73%,0,0.00%,0,0.00%,0,0.00%,220,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,266,"1,328",,Total,0,0.00%,1,0.38%,7,2.67%,,1,0.38%,8,3.05%,,0,0.00%,0,0.00%,1,0.38%,90,34.35%,0,0.00%,22,8.40%,0,0.00%,0,0.00%,36,13.74%,0,0.00%,1,0.38%,4,1.53%,91,34.73%,0,0.00%,0,0.00%,0,0.00%,262,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000008,,,,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,10,0,,Polling,0,0.00%,0,0.00%,1,10.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,6,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,20.00%,0,0.00%,0,0.00%,0,0.00%,1,10.00%,0,0.00%,0,0.00%,0,0.00%,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,0,0,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,10,0,,Total,0,0.00%,0,0.00%,1,10.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,6,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,20.00%,0,0.00%,0,0.00%,0,0.00%,1,10.00%,0,0.00%,0,0.00%,0,0.00%,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000009,,,,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,0,1,,Polling,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Vote by Mail,0,1,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,0,1,,Total,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
0000010,,,,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,348,"2,475",,Polling,1,0.29%,0,0.00%,44,12.75%,,1,0.29%,2,0.58%,,0,0.00%,0,0.00%,2,0.58%,158,45.80%,0,0.00%,5,1.45%,0,0.00%,0,0.00%,33,9.57%,0,0.00%,0,0.00%,4,1.16%,94,27.25%,1,0.29%,0,0.00%,0,0.00%,345,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,581,"2,475",,Vote by Mail,1,0.17%,0,0.00%,112,19.44%,,0,0.00%,4,0.69%,,0,0.00%,0,0.00%,24,4.17%,185,32.12%,0,0.00%,26,4.51%,2,0.35%,1,0.17%,61,10.59%,0,0.00%,0,0.00%,36,6.25%,118,20.49%,6,1.04%,0,0.00%,0,0.00%,576,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,929,"2,475",,Total,2,0.22%,0,0.00%,156,16.94%,,1,0.11%,6,0.65%,,0,0.00%,0,0.00%,26,2.82%,343,37.24%,0,0.00%,31,3.37%,2,0.22%,1,0.11%,94,10.21%,0,0.00%,0,0.00%,40,4.34%,212,23.02%,7,0.76%,0,0.00%,0,0.00%,921,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000011,,,,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,180,"1,551",,Polling,0,0.00%,0,0.00%,32,17.98%,,0,0.00%,0,0.00%,,1,0.56%,0,0.00%,1,0.56%,88,49.44%,0,0.00%,3,1.69%,0,0.00%,0,0.00%,6,3.37%,0,0.00%,0,0.00%,0,0.00%,45,25.28%,2,1.12%,0,0.00%,0,0.00%,178,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,493,"1,551",,Vote by Mail,0,0.00%,0,0.00%,82,16.63%,,0,0.00%,3,0.61%,,0,0.00%,0,0.00%,14,2.84%,201,40.77%,0,0.00%,22,4.46%,0,0.00%,0,0.00%,41,8.32%,0,0.00%,0,0.00%,39,7.91%,88,17.85%,3,0.61%,0,0.00%,0,0.00%,493,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,673,"1,551",,Total,0,0.00%,0,0.00%,114,16.99%,,0,0.00%,3,0.45%,,1,0.15%,0,0.00%,15,2.24%,289,43.07%,0,0.00%,25,3.73%,0,0.00%,0,0.00%,47,7.00%,0,0.00%,0,0.00%,39,5.81%,133,19.82%,5,0.75%,0,0.00%,0,0.00%,671,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000012,,,,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,111,"2,192",,Polling,1,0.90%,0,0.00%,2,1.80%,,0,0.00%,1,0.90%,,0,0.00%,0,0.00%,0,0.00%,63,56.76%,0,0.00%,1,0.90%,0,0.00%,0,0.00%,7,6.31%,0,0.00%,0,0.00%,0,0.00%,36,32.43%,0,0.00%,0,0.00%,0,0.00%,111,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,354,"2,192",,Vote by Mail,1,0.30%,0,0.00%,22,6.55%,,0,0.00%,11,3.27%,,0,0.00%,0,0.00%,3,0.89%,135,40.18%,0,0.00%,16,4.76%,0,0.00%,1,0.30%,50,14.88%,1,0.30%,0,0.00%,2,0.60%,94,27.98%,0,0.00%,0,0.00%,0,0.00%,336,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,465,"2,192",,Total,2,0.45%,0,0.00%,24,5.37%,,0,0.00%,12,2.68%,,0,0.00%,0,0.00%,3,0.67%,198,44.30%,0,0.00%,17,3.80%,0,0.00%,1,0.22%,57,12.75%,1,0.22%,0,0.00%,2,0.45%,130,29.08%,0,0.00%,0,0.00%,0,0.00%,447,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000013,,,,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,71,"1,975",,Polling,0,0.00%,0,0.00%,4,5.63%,,0,0.00%,1,1.41%,,1,1.41%,0,0.00%,0,0.00%,48,67.61%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,2.82%,0,0.00%,0,0.00%,2,2.82%,13,18.31%,0,0.00%,0,0.00%,0,0.00%,71,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,277,"1,975",,Vote by Mail,1,0.38%,0,0.00%,16,6.08%,,0,0.00%,7,2.66%,,0,0.00%,0,0.00%,4,1.52%,110,41.83%,0,0.00%,19,7.22%,0,0.00%,0,0.00%,30,11.41%,0,0.00%,0,0.00%,6,2.28%,65,24.71%,5,1.90%,0,0.00%,0,0.00%,263,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,348,"1,975",,Total,1,0.30%,0,0.00%,20,5.99%,,0,0.00%,8,2.40%,,1,0.30%,0,0.00%,4,1.20%,158,47.31%,0,0.00%,19,5.69%,0,0.00%,0,0.00%,32,9.58%,0,0.00%,0,0.00%,8,2.40%,78,23.35%,5,1.50%,0,0.00%,0,0.00%,334,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000014,,,,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,71,"1,375",,Polling,0,0.00%,0,0.00%,9,13.04%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,36,52.17%,0,0.00%,3,4.35%,0,0.00%,0,0.00%,3,4.35%,1,1.45%,0,0.00%,0,0.00%,17,24.64%,0,0.00%,0,0.00%,0,0.00%,69,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,216,"1,375",,Vote by Mail,2,0.94%,0,0.00%,17,7.98%,,0,0.00%,3,1.41%,,1,0.47%,0,0.00%,1,0.47%,95,44.60%,0,0.00%,18,8.45%,0,0.00%,0,0.00%,23,10.80%,0,0.00%,0,0.00%,8,3.76%,45,21.13%,0,0.00%,0,0.00%,0,0.00%,213,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,287,"1,375",,Total,2,0.71%,0,0.00%,26,9.22%,,0,0.00%,3,1.06%,,1,0.35%,0,0.00%,1,0.35%,131,46.45%,0,0.00%,21,7.45%,0,0.00%,0,0.00%,26,9.22%,1,0.35%,0,0.00%,8,2.84%,62,21.99%,0,0.00%,0,0.00%,0,0.00%,282,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000015,,,,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,97,"2,236",,Polling,0,0.00%,0,0.00%,7,7.29%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,47,48.96%,0,0.00%,4,4.17%,0,0.00%,0,0.00%,17,17.71%,1,1.04%,1,1.04%,0,0.00%,19,19.79%,0,0.00%,0,0.00%,0,0.00%,96,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,389,"2,236",,Vote by Mail,2,0.52%,1,0.26%,29,7.61%,,1,0.26%,7,1.84%,,0,0.00%,0,0.00%,8,2.10%,142,37.27%,0,0.00%,27,7.09%,0,0.00%,0,0.00%,55,14.44%,0,0.00%,0,0.00%,16,4.20%,92,24.15%,1,0.26%,0,0.00%,0,0.00%,381,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,486,"2,236",,Total,2,0.42%,1,0.21%,36,7.55%,,1,0.21%,7,1.47%,,0,0.00%,0,0.00%,8,1.68%,189,39.62%,0,0.00%,31,6.50%,0,0.00%,0,0.00%,72,15.09%,1,0.21%,1,0.21%,16,3.35%,111,23.27%,1,0.21%,0,0.00%,0,0.00%,477,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000016,,,,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,152,"2,180",,Polling,1,0.66%,0,0.00%,12,7.95%,,0,0.00%,1,0.66%,,0,0.00%,0,0.00%,0,0.00%,99,65.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,1.99%,0,0.00%,0,0.00%,1,0.66%,34,22.52%,0,0.00%,0,0.00%,0,0.00%,151,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,616,"2,180",,Vote by Mail,2,0.33%,0,0.00%,83,13.70%,,0,0.00%,2,0.33%,,0,0.00%,0,0.00%,15,2.48%,285,47.03%,0,0.00%,28,4.62%,0,0.00%,0,0.00%,43,7.10%,0,0.00%,0,0.00%,32,5.28%,112,18.48%,4,0.66%,0,0.00%,0,0.00%,606,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,768,"2,180",,Total,3,0.40%,0,0.00%,95,12.55%,,0,0.00%,3,0.40%,,0,0.00%,0,0.00%,15,1.98%,384,50.73%,0,0.00%,28,3.70%,0,0.00%,0,0.00%,46,6.08%,0,0.00%,0,0.00%,33,4.36%,146,19.29%,4,0.53%,0,0.00%,0,0.00%,757,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000017,,,,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,60,"1,459",,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,1,1.69%,,0,0.00%,0,0.00%,0,0.00%,37,62.71%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,15.25%,0,0.00%,0,0.00%,0,0.00%,11,18.64%,1,1.69%,0,0.00%,0,0.00%,59,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,258,"1,459",,Vote by Mail,2,0.82%,0,0.00%,15,6.15%,,0,0.00%,3,1.23%,,0,0.00%,0,0.00%,1,0.41%,110,45.08%,0,0.00%,20,8.20%,0,0.00%,0,0.00%,21,8.61%,0,0.00%,1,0.41%,9,3.69%,59,24.18%,3,1.23%,0,0.00%,0,0.00%,244,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,318,"1,459",,Total,2,0.66%,0,0.00%,15,4.95%,,0,0.00%,4,1.32%,,0,0.00%,0,0.00%,1,0.33%,147,48.51%,0,0.00%,20,6.60%,0,0.00%,0,0.00%,30,9.90%,0,0.00%,1,0.33%,9,2.97%,70,23.10%,4,1.32%,0,0.00%,0,0.00%,303,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000018,,,,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,44,"1,723",,Polling,0,0.00%,0,0.00%,4,9.30%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,2.33%,18,41.86%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,4.65%,0,0.00%,0,0.00%,1,2.33%,17,39.53%,0,0.00%,0,0.00%,0,0.00%,43,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,274,"1,723",,Vote by Mail,0,0.00%,0,0.00%,15,5.66%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,3,1.13%,96,36.23%,0,0.00%,22,8.30%,0,0.00%,1,0.38%,40,15.09%,0,0.00%,2,0.75%,9,3.40%,76,28.68%,0,0.00%,0,0.00%,1,0.38%,265,0,0.00%,1,0.38%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,318,"1,723",,Total,0,0.00%,0,0.00%,19,6.17%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,4,1.30%,114,37.01%,0,0.00%,22,7.14%,0,0.00%,1,0.32%,42,13.64%,0,0.00%,2,0.65%,10,3.25%,93,30.19%,0,0.00%,0,0.00%,1,0.32%,308,0,0.00%,1,0.32%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000019,,,,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,100,"1,962",,Polling,0,0.00%,0,0.00%,9,9.18%,,0,0.00%,0,0.00%,,1,1.02%,0,0.00%,0,0.00%,67,68.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,5.10%,0,0.00%,0,0.00%,0,0.00%,16,16.33%,0,0.00%,0,0.00%,0,0.00%,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,362,"1,962",,Vote by Mail,2,0.57%,0,0.00%,48,13.60%,,1,0.28%,3,0.85%,,2,0.57%,0,0.00%,3,0.85%,163,46.18%,0,0.00%,12,3.40%,0,0.00%,0,0.00%,33,9.35%,1,0.28%,0,0.00%,19,5.38%,64,18.13%,1,0.28%,1,0.28%,0,0.00%,353,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,462,"1,962",,Total,2,0.44%,0,0.00%,57,12.64%,,1,0.22%,3,0.67%,,3,0.67%,0,0.00%,3,0.67%,230,51.00%,0,0.00%,12,2.66%,0,0.00%,0,0.00%,38,8.43%,1,0.22%,0,0.00%,19,4.21%,80,17.74%,1,0.22%,1,0.22%,0,0.00%,451,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000020,,,,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
