Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
Vote by Mail,411,"2,362",,Vote by Mail,1,0.25%,0,0.00%,26,6.52%,,0,0.00%,6,1.50%,,2,0.50%,0,0.00%,9,2.26%,128,32.08%,0,0.00%,27,6.77%,0,0.00%,0,0.00%,55,13.78%,0,0.00%,0,0.00%,20,5.01%,121,30.33%,4,1.00%,0,0.00%,0,0.00%,399,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,502,"2,362",,Total,1,0.20%,0,0.00%,32,6.54%,,0,0.00%,6,1.23%,,2,0.41%,0,0.00%,9,1.84%,179,36.61%,0,0.00%,28,5.73%,0,0.00%,0,0.00%,63,12.88%,0,0.00%,0,0.00%,20,4.09%,145,29.65%,4,0.82%,0,0.00%,0,0.00%,489,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000155,,,,0000155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,37,978,,Polling,0,0.00%,0,0.00%,4,10.81%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,19,51.35%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,13.51%,0,0.00%,0,0.00%,1,2.70%,7,18.92%,1,2.70%,0,0.00%,0,0.00%,37,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,183,978,,Vote by Mail,0,0.00%,0,0.00%,22,12.50%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,4,2.27%,56,31.82%,0,0.00%,2,1.14%,0,0.00%,0,0.00%,18,10.23%,0,0.00%,0,0.00%,5,2.84%,69,39.20%,0,0.00%,0,0.00%,0,0.00%,176,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,220,978,,Total,0,0.00%,0,0.00%,26,12.21%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,4,1.88%,75,35.21%,0,0.00%,2,0.94%,0,0.00%,0,0.00%,23,10.80%,0,0.00%,0,0.00%,6,2.82%,76,35.68%,1,0.47%,0,0.00%,0,0.00%,213,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000156,,,,0000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,77,"1,836",,Polling,0,0.00%,0,0.00%,2,2.60%,,0,0.00%,1,1.30%,,0,0.00%,0,0.00%,0,0.00%,41,53.25%,0,0.00%,1,1.30%,0,0.00%,0,0.00%,5,6.49%,0,0.00%,0,0.00%,2,2.60%,25,32.47%,0,0.00%,0,0.00%,0,0.00%,77,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,294,"1,836",,Vote by Mail,0,0.00%,1,0.35%,30,10.45%,,2,0.70%,1,0.35%,,0,0.00%,0,0.00%,4,1.39%,114,39.72%,0,0.00%,15,5.23%,0,0.00%,0,0.00%,38,13.24%,0,0.00%,0,0.00%,7,2.44%,72,25.09%,3,1.05%,0,0.00%,0,0.00%,287,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,371,"1,836",,Total,0,0.00%,1,0.27%,32,8.79%,,2,0.55%,2,0.55%,,0,0.00%,0,0.00%,4,1.10%,155,42.58%,0,0.00%,16,4.40%,0,0.00%,0,0.00%,43,11.81%,0,0.00%,0,0.00%,9,2.47%,97,26.65%,3,0.82%,0,0.00%,0,0.00%,364,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
