,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,,,,,County Jurisdiction,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes
C08S16A33E1B1BRUUNI0041,13,94,,3,0,C08S16A33E1B1BRUUNI0041,0,0.00%,0,,0.00%,1,10.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,20.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,20.00%,0,0.00%,0,0.00%,1,10.00%,3,30.00%,1,10.00%,0,0.00%,0,0.00%,10
C08S16A33E1B1BRUUNI0042,90,744,,6,0,C08S16A33E1B1BRUUNI0042,0,0.00%,0,,0.00%,3,3.57%,0,,0.00%,4,4.76%,0,0.00%,0,0.00%,5,5.95%,20,23.81%,0,0.00%,2,2.38%,1,1.19%,0,0.00%,11,13.10%,0,0.00%,1,1.19%,3,3.57%,34,40.48%,0,0.00%,0,0.00%,0,0.00%,84
C08S16A33E1B1BRUUNI0043,24,210,,0,0,C08S16A33E1B1BRUUNI0043,0,0.00%,0,,0.00%,3,12.50%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,2,8.33%,7,29.17%,0,0.00%,1,4.17%,0,0.00%,0,0.00%,2,8.33%,0,0.00%,0,0.00%,0,0.00%,9,37.50%,0,0.00%,0,0.00%,0,0.00%,24
C08S16A33E1B1BRUUNI0044,29,190,,4,0,C08S16A33E1B1BRUUNI0044,1,4.00%,0,,0.00%,3,12.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,4.00%,9,36.00%,0,0.00%,1,4.00%,1,4.00%,0,0.00%,3,12.00%,0,0.00%,0,0.00%,0,0.00%,6,24.00%,0,0.00%,0,0.00%,0,0.00%,25
C08S16A33E1B1BRUUNI0045,6,69,,0,0,C08S16A33E1B1BRUUNI0045,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,0,0.00%,4,66.67%,0,0.00%,0,0.00%,0,0.00%,6
C08S16A33E1B1BRUUNI0046,0,0,,0,0,C08S16A33E1B1BRUUNI0046,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BRUUNI0047,1,0,,****,****,C08S16A33E1B1BRUUNI0047,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1BRUUNI0048,0,0,,0,0,C08S16A33E1B1BRUUNI0048,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BRUUNI0049,0,0,,0,0,C08S16A33E1B1BRUUNI0049,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BRUUNI0050,0,0,,0,0,C08S16A33E1B1BRUUNI0050,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BRUUNI0051,0,0,,0,0,C08S16A33E1B1BRUUNI0051,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BRUUNI0052,0,0,,0,0,C08S16A33E1B1BRUUNI0052,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1BRUUNI0053,5,45,,****,****,C08S16A33E1B1BRUUNI0053,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1HPUUNI0054,12,63,,2,0,C08S16A33E1B1HPUUNI0054,0,0.00%,0,,0.00%,2,20.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,2,20.00%,1,10.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,40.00%,0,0.00%,0,0.00%,0,0.00%,1,10.00%,0,0.00%,0,0.00%,0,0.00%,10
C08S16A33E1B1HPUUNI0055,0,0,,0,0,C08S16A33E1B1HPUUNI0055,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1LVUUNI0056,0,0,,0,0,C08S16A33E1B1LVUUNI0056,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1MJUUNI0057,0,16,,0,0,C08S16A33E1B1MJUUNI0057,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1MRUUNI0058,0,2,,0,0,C08S16A33E1B1MRUUNI0058,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1MRUUNI0059,0,0,,0,0,C08S16A33E1B1MRUUNI0059,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1NDUNEE0060,56,416,,5,0,C08S16A33E1B1NDUNEE0060,1,1.96%,0,,0.00%,3,5.88%,0,,0.00%,1,1.96%,0,0.00%,0,0.00%,1,1.96%,4,7.84%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,17.65%,0,0.00%,0,0.00%,3,5.88%,29,56.86%,0,0.00%,0,0.00%,0,0.00%,51
C08S16A33E1B1NDUNEE0061,282,"1,534",,23,0,C08S16A33E1B1NDUNEE0061,1,0.39%,0,,0.00%,16,6.18%,1,,0.39%,1,0.39%,1,0.39%,0,0.00%,7,2.70%,67,25.87%,0,0.00%,12,4.63%,1,0.39%,0,0.00%,43,16.60%,0,0.00%,0,0.00%,18,6.95%,90,34.75%,1,0.39%,0,0.00%,0,0.00%,259
C08S16A33E1B1NDUUNI0062,6,72,,0,0,C08S16A33E1B1NDUUNI0062,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,0,0.00%,3,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6
C08S16A33E1B1NDUUNI0063,49,365,,1,0,C08S16A33E1B1NDUUNI0063,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,3,6.25%,9,18.75%,0,0.00%,2,4.17%,1,2.08%,0,0.00%,9,18.75%,2,4.17%,0,0.00%,6,12.50%,16,33.33%,0,0.00%,0,0.00%,0,0.00%,48
C08S16A33E1B1NDUUNI0064,0,9,,0,0,C08S16A33E1B1NDUUNI0064,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1NDUUNI0065,4,15,,****,****,C08S16A33E1B1NDUUNI0065,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1NDUUNI0066,24,162,,0,0,C08S16A33E1B1NDUUNI0066,0,0.00%,0,,0.00%,3,12.50%,0,,0.00%,0,0.00%,1,4.17%,0,0.00%,1,4.17%,8,33.33%,1,4.17%,1,4.17%,0,0.00%,0,0.00%,6,25.00%,0,0.00%,0,0.00%,0,0.00%,3,12.50%,0,0.00%,0,0.00%,0,0.00%,24
C08S16A33E1B1NDUUNI0067,0,0,,0,0,C08S16A33E1B1NDUUNI0067,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1NDUUNI0068,0,0,,0,0,C08S16A33E1B1NDUUNI0068,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1NDUUNI0069,0,0,,0,0,C08S16A33E1B1NDUUNI0069,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1NDUUNI0070,1,23,,****,****,C08S16A33E1B1NDUUNI0070,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1NDUUNI0071,1,9,,****,****,C08S16A33E1B1NDUUNI0071,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1NDUUNI0072,0,2,,0,0,C08S16A33E1B1NDUUNI0072,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1NDUUNI0073,0,0,,0,0,C08S16A33E1B1NDUUNI0073,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1SSUUNI0074,0,0,,0,0,C08S16A33E1B1SSUUNI0074,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1SSUUNI0075,9,113,,0,0,C08S16A33E1B1SSUUNI0075,0,0.00%,0,,0.00%,2,22.22%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,1,11.11%,2,22.22%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,11.11%,0,0.00%,0,0.00%,1,11.11%,2,22.22%,0,0.00%,0,0.00%,0,0.00%,9
C08S16A33E1B1SSUUNI0076,0,0,,0,0,C08S16A33E1B1SSUUNI0076,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1SSUUNI0077,0,1,,0,0,C08S16A33E1B1SSUUNI0077,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1SSUUNI0078,0,0,,0,0,C08S16A33E1B1SSUUNI0078,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
C08S16A33E1B1SSUUNI0079,10,33,,4,0,C08S16A33E1B1SSUUNI0079,0,0.00%,0,,0.00%,1,16.67%,0,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,16.67%,0,0.00%,1,16.67%,1,16.67%,2,33.33%,0,0.00%,0,0.00%,0,0.00%,6
C08S16A33E1B1SVUUNI0080,18,137,,2,0,C08S16A33E1B1SVUUNI0080,0,0.00%,0,,0.00%,1,6.25%,0,,0.00%,1,6.25%,0,0.00%,0,0.00%,0,0.00%,4,25.00%,0,0.00%,1,6.25%,0,0.00%,0,0.00%,2,12.50%,0,0.00%,0,0.00%,0,0.00%,7,43.75%,0,0.00%,0,0.00%,0,0.00%,16
C08S16A33E1B1SVUUNI0081,3,24,,****,****,C08S16A33E1B1SVUUNI0081,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
C08S16A33E1B1SVUUNI0082,0,0,,0,0,C08S16A33E1B1SVUUNI0082,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
