Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Pct 7045,,,,Pct 7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,2,,Vote by Mail,3,1.78%,0,0.00%,23,13.61%,,0,0.00%,9,5.33%,,1,0.59%,0,0.00%,1,0.59%,70,41.42%,0,0.00%,4,2.37%,0,0.00%,0,0.00%,17,10.06%,0,0.00%,0,0.00%,9,5.33%,32,18.93%,0,0.00%,0,0.00%,0,0.00%,169,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,7,9.59%,,0,0.00%,2,2.74%,,0,0.00%,0,0.00%,0,0.00%,41,56.16%,0,0.00%,0,0.00%,0,0.00%,1,1.37%,5,6.85%,0,0.00%,0,0.00%,0,0.00%,16,21.92%,1,1.37%,0,0.00%,0,0.00%,73,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,2,,Total,3,1.24%,0,0.00%,30,12.40%,,0,0.00%,11,4.55%,,1,0.41%,0,0.00%,1,0.41%,111,45.87%,0,0.00%,4,1.65%,0,0.00%,1,0.41%,22,9.09%,0,0.00%,0,0.00%,9,3.72%,48,19.83%,1,0.41%,0,0.00%,0,0.00%,242,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7046,,,,Pct 7046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,3,,Vote by Mail,0,0.00%,0,0.00%,17,17.17%,,1,1.01%,1,1.01%,,0,0.00%,0,0.00%,1,1.01%,36,36.36%,0,0.00%,3,3.03%,0,0.00%,0,0.00%,16,16.16%,0,0.00%,0,0.00%,2,2.02%,22,22.22%,0,0.00%,0,0.00%,0,0.00%,99,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,1,,Election Day,0,0.00%,0,0.00%,9,12.33%,,0,0.00%,1,1.37%,,0,0.00%,0,0.00%,0,0.00%,27,36.99%,0,0.00%,1,1.37%,1,1.37%,0,0.00%,3,4.11%,0,0.00%,1,1.37%,4,5.48%,26,35.62%,0,0.00%,0,0.00%,0,0.00%,73,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,4,,Total,0,0.00%,0,0.00%,26,15.12%,,1,0.58%,2,1.16%,,0,0.00%,0,0.00%,1,0.58%,63,36.63%,0,0.00%,4,2.33%,1,0.58%,0,0.00%,19,11.05%,0,0.00%,1,0.58%,6,3.49%,48,27.91%,0,0.00%,0,0.00%,0,0.00%,172,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7047,,,,Pct 7047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,5,0,,Vote by Mail,2,0.88%,0,0.00%,25,10.96%,,1,0.44%,4,1.75%,,0,0.00%,0,0.00%,1,0.44%,93,40.79%,1,0.44%,4,1.75%,0,0.00%,0,0.00%,31,13.60%,0,0.00%,0,0.00%,10,4.39%,54,23.68%,2,0.88%,0,0.00%,0,0.00%,228,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,1,1.11%,17,18.89%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,40,44.44%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,6.67%,0,0.00%,0,0.00%,1,1.11%,25,27.78%,0,0.00%,0,0.00%,0,0.00%,90,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,6,0,,Total,2,0.63%,1,0.31%,42,13.21%,,1,0.31%,4,1.26%,,0,0.00%,0,0.00%,1,0.31%,133,41.82%,1,0.31%,4,1.26%,0,0.00%,0,0.00%,37,11.64%,0,0.00%,0,0.00%,11,3.46%,79,24.84%,2,0.63%,0,0.00%,0,0.00%,318,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7048,,,,Pct 7048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,1,,Vote by Mail,0,0.00%,0,0.00%,8,4.42%,,0,0.00%,7,3.87%,,0,0.00%,0,0.00%,1,0.55%,71,39.23%,0,0.00%,2,1.10%,0,0.00%,1,0.55%,27,14.92%,0,0.00%,0,0.00%,5,2.76%,58,32.04%,1,0.55%,0,0.00%,0,0.00%,181,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,0,,Election Day,0,0.00%,0,0.00%,5,6.94%,,0,0.00%,2,2.78%,,0,0.00%,0,0.00%,0,0.00%,26,36.11%,0,0.00%,2,2.78%,0,0.00%,0,0.00%,8,11.11%,0,0.00%,0,0.00%,0,0.00%,27,37.50%,1,1.39%,1,1.39%,0,0.00%,72,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,1,,Total,0,0.00%,0,0.00%,13,5.14%,,0,0.00%,9,3.56%,,0,0.00%,0,0.00%,1,0.40%,97,38.34%,0,0.00%,4,1.58%,0,0.00%,1,0.40%,35,13.83%,0,0.00%,0,0.00%,5,1.98%,85,33.60%,2,0.79%,1,0.40%,0,0.00%,253,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7049,,,,Pct 7049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,8,0,,Vote by Mail,0,0.00%,0,0.00%,14,9.52%,,0,0.00%,8,5.44%,,0,0.00%,0,0.00%,0,0.00%,54,36.73%,0,0.00%,5,3.40%,0,0.00%,0,0.00%,25,17.01%,0,0.00%,0,0.00%,4,2.72%,37,25.17%,0,0.00%,0,0.00%,0,0.00%,147,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,1,,Election Day,0,0.00%,0,0.00%,2,2.63%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,36,47.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,15.79%,0,0.00%,1,1.32%,0,0.00%,25,32.89%,0,0.00%,0,0.00%,0,0.00%,76,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,9,1,,Total,0,0.00%,0,0.00%,16,7.17%,,0,0.00%,8,3.59%,,0,0.00%,0,0.00%,0,0.00%,90,40.36%,0,0.00%,5,2.24%,0,0.00%,0,0.00%,37,16.59%,0,0.00%,1,0.45%,4,1.79%,62,27.80%,0,0.00%,0,0.00%,0,0.00%,223,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7051,,,,Pct 7051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,8,0,,Vote by Mail,0,0.00%,0,0.00%,15,7.43%,,0,0.00%,19,9.41%,,0,0.00%,1,0.50%,0,0.00%,97,48.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,32,15.84%,0,0.00%,0,0.00%,4,1.98%,34,16.83%,0,0.00%,0,0.00%,0,0.00%,202,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,13,13.00%,,0,0.00%,1,1.00%,,0,0.00%,0,0.00%,1,1.00%,52,52.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,7.00%,0,0.00%,1,1.00%,2,2.00%,23,23.00%,0,0.00%,0,0.00%,0,0.00%,100,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,8,0,,Total,0,0.00%,0,0.00%,28,9.27%,,0,0.00%,20,6.62%,,0,0.00%,1,0.33%,1,0.33%,149,49.34%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,39,12.91%,0,0.00%,1,0.33%,6,1.99%,57,18.87%,0,0.00%,0,0.00%,0,0.00%,302,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7052,,,,Pct 7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,6,0,,Vote by Mail,0,0.00%,0,0.00%,21,10.88%,,0,0.00%,13,6.74%,,0,0.00%,0,0.00%,0,0.00%,64,33.16%,0,0.00%,5,2.59%,0,0.00%,0,0.00%,35,18.13%,0,0.00%,1,0.52%,8,4.15%,44,22.80%,2,1.04%,0,0.00%,0,0.00%,193,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,21,17.50%,,0,0.00%,1,0.83%,,0,0.00%,0,0.00%,0,0.00%,56,46.67%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,4.17%,0,0.00%,0,0.00%,1,0.83%,35,29.17%,0,0.00%,1,0.83%,0,0.00%,120,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,7,0,,Total,0,0.00%,0,0.00%,42,13.42%,,0,0.00%,14,4.47%,,0,0.00%,0,0.00%,0,0.00%,120,38.34%,0,0.00%,5,1.60%,0,0.00%,0,0.00%,40,12.78%,0,0.00%,1,0.32%,9,2.88%,79,25.24%,2,0.64%,1,0.32%,0,0.00%,313,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7053,,,,Pct 7053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,25,14.29%,,0,0.00%,10,5.71%,,0,0.00%,0,0.00%,1,0.57%,53,30.29%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,25,14.29%,0,0.00%,0,0.00%,21,12.00%,39,22.29%,0,0.00%,1,0.57%,0,0.00%,175,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,13,22.41%,,0,0.00%,1,1.72%,,0,0.00%,0,0.00%,0,0.00%,21,36.21%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,5.17%,0,0.00%,0,0.00%,0,0.00%,20,34.48%,0,0.00%,0,0.00%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,0,,Total,0,0.00%,0,0.00%,38,16.31%,,0,0.00%,11,4.72%,,0,0.00%,0,0.00%,1,0.43%,74,31.76%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,28,12.02%,0,0.00%,0,0.00%,21,9.01%,59,25.32%,0,0.00%,1,0.43%,0,0.00%,233,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7054,,,,Pct 7054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,26,10.32%,,0,0.00%,8,3.17%,,0,0.00%,0,0.00%,4,1.59%,102,40.48%,0,0.00%,7,2.78%,0,0.00%,1,0.40%,27,10.71%,0,0.00%,2,0.79%,9,3.57%,66,26.19%,0,0.00%,0,0.00%,0,0.00%,252,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,1,0.64%,0,0.00%,12,7.64%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,84,53.50%,0,0.00%,2,1.27%,0,0.00%,0,0.00%,12,7.64%,0,0.00%,0,0.00%,0,0.00%,45,28.66%,1,0.64%,0,0.00%,0,0.00%,157,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,1,0.24%,0,0.00%,38,9.29%,,0,0.00%,8,1.96%,,0,0.00%,0,0.00%,4,0.98%,186,45.48%,0,0.00%,9,2.20%,0,0.00%,1,0.24%,39,9.54%,0,0.00%,2,0.49%,9,2.20%,111,27.14%,1,0.24%,0,0.00%,0,0.00%,409,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7055,,,,Pct 7055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,1,,Vote by Mail,0,0.00%,0,0.00%,46,19.57%,,0,0.00%,5,2.13%,,0,0.00%,0,0.00%,2,0.85%,94,40.00%,0,0.00%,3,1.28%,0,0.00%,0,0.00%,24,10.21%,0,0.00%,1,0.43%,18,7.66%,40,17.02%,2,0.85%,0,0.00%,0,0.00%,235,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,28,19.05%,,0,0.00%,2,1.36%,,0,0.00%,0,0.00%,0,0.00%,66,44.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,6.12%,0,0.00%,0,0.00%,0,0.00%,41,27.89%,1,0.68%,0,0.00%,0,0.00%,147,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,1,,Total,0,0.00%,0,0.00%,74,19.37%,,0,0.00%,7,1.83%,,0,0.00%,0,0.00%,2,0.52%,160,41.88%,0,0.00%,3,0.79%,0,0.00%,0,0.00%,33,8.64%,0,0.00%,1,0.26%,18,4.71%,81,21.20%,3,0.79%,0,0.00%,0,0.00%,382,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7056,,,,Pct 7056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,91,36.40%,,0,0.00%,3,1.20%,,0,0.00%,0,0.00%,2,0.80%,66,26.40%,0,0.00%,2,0.80%,0,0.00%,0,0.00%,28,11.20%,0,0.00%,0,0.00%,21,8.40%,36,14.40%,1,0.40%,0,0.00%,0,0.00%,250,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,47,26.86%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,51,29.14%,0,0.00%,1,0.57%,0,0.00%,0,0.00%,18,10.29%,0,0.00%,0,0.00%,0,0.00%,58,33.14%,0,0.00%,0,0.00%,0,0.00%,175,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,138,32.47%,,0,0.00%,3,0.71%,,0,0.00%,0,0.00%,2,0.47%,117,27.53%,0,0.00%,3,0.71%,0,0.00%,0,0.00%,46,10.82%,0,0.00%,0,0.00%,21,4.94%,94,22.12%,1,0.24%,0,0.00%,0,0.00%,425,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7101 MB,,,,Pct 7101 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,38,41.76%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,2.20%,21,23.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,12.09%,0,0.00%,0,0.00%,5,5.49%,14,15.38%,0,0.00%,0,0.00%,0,0.00%,91,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,2,22.22%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,5,55.56%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,11.11%,0,0.00%,0,0.00%,0,0.00%,1,11.11%,0,0.00%,0,0.00%,0,0.00%,9,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,40,40.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,2.00%,26,26.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,12.00%,0,0.00%,0,0.00%,5,5.00%,15,15.00%,0,0.00%,0,0.00%,0,0.00%,100,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7201,,,,Pct 7201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,73,23.78%,,1,0.33%,2,0.65%,,0,0.00%,0,0.00%,9,2.93%,53,17.26%,0,0.00%,1,0.33%,0,0.00%,0,0.00%,62,20.20%,0,0.00%,0,0.00%,25,8.14%,78,25.41%,3,0.98%,0,0.00%,0,0.00%,307,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,46,25.27%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.55%,51,28.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,9.34%,0,0.00%,0,0.00%,0,0.00%,67,36.81%,0,0.00%,0,0.00%,0,0.00%,182,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,119,24.34%,,1,0.20%,2,0.41%,,0,0.00%,0,0.00%,10,2.04%,104,21.27%,0,0.00%,1,0.20%,0,0.00%,0,0.00%,79,16.16%,0,0.00%,0,0.00%,25,5.11%,145,29.65%,3,0.61%,0,0.00%,0,0.00%,489,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7202,,,,Pct 7202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,43,18.53%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,5,2.16%,41,17.67%,0,0.00%,2,0.86%,0,0.00%,0,0.00%,53,22.84%,0,0.00%,0,0.00%,15,6.47%,71,30.60%,2,0.86%,0,0.00%,0,0.00%,232,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,29,15.68%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,49,26.49%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,29,15.68%,0,0.00%,0,0.00%,0,0.00%,76,41.08%,2,1.08%,0,0.00%,0,0.00%,185,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,72,17.27%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,5,1.20%,90,21.58%,0,0.00%,2,0.48%,0,0.00%,0,0.00%,82,19.66%,0,0.00%,0,0.00%,15,3.60%,147,35.25%,4,0.96%,0,0.00%,0,0.00%,417,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7203,,,,Pct 7203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,66,23.91%,,0,0.00%,1,0.36%,,0,0.00%,0,0.00%,8,2.90%,61,22.10%,0,0.00%,2,0.72%,0,0.00%,0,0.00%,49,17.75%,0,0.00%,0,0.00%,22,7.97%,66,23.91%,1,0.36%,0,0.00%,0,0.00%,276,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,46,21.70%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,63,29.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,8.02%,0,0.00%,0,0.00%,1,0.47%,85,40.09%,0,0.00%,0,0.00%,0,0.00%,212,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,0,,Total,0,0.00%,0,0.00%,112,22.95%,,0,0.00%,1,0.20%,,0,0.00%,0,0.00%,8,1.64%,124,25.41%,0,0.00%,2,0.41%,0,0.00%,0,0.00%,66,13.52%,0,0.00%,0,0.00%,23,4.71%,151,30.94%,1,0.20%,0,0.00%,0,0.00%,488,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7204,,,,Pct 7204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,1,,Vote by Mail,0,0.00%,0,0.00%,74,20.73%,,0,0.00%,2,0.56%,,0,0.00%,0,0.00%,11,3.08%,73,20.45%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,70,19.61%,0,0.00%,1,0.28%,28,7.84%,97,27.17%,1,0.28%,0,0.00%,0,0.00%,357,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,1,0.52%,39,20.31%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.52%,30,15.63%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,30,15.63%,0,0.00%,0,0.00%,0,0.00%,90,46.88%,1,0.52%,0,0.00%,0,0.00%,192,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,3,1,,Total,0,0.00%,1,0.18%,113,20.58%,,0,0.00%,2,0.36%,,0,0.00%,0,0.00%,12,2.19%,103,18.76%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,100,18.21%,0,0.00%,1,0.18%,28,5.10%,187,34.06%,2,0.36%,0,0.00%,0,0.00%,549,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7205,,,,Pct 7205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,1,,Vote by Mail,0,0.00%,0,0.00%,56,18.98%,,1,0.34%,2,0.68%,,0,0.00%,0,0.00%,9,3.05%,37,12.54%,0,0.00%,3,1.02%,0,0.00%,0,0.00%,78,26.44%,0,0.00%,0,0.00%,27,9.15%,81,27.46%,1,0.34%,0,0.00%,0,0.00%,295,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,26,13.76%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,44,23.28%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,28,14.81%,0,0.00%,0,0.00%,1,0.53%,90,47.62%,0,0.00%,0,0.00%,0,0.00%,189,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,1,,Total,0,0.00%,0,0.00%,82,16.94%,,1,0.21%,2,0.41%,,0,0.00%,0,0.00%,9,1.86%,81,16.74%,0,0.00%,3,0.62%,0,0.00%,0,0.00%,106,21.90%,0,0.00%,0,0.00%,28,5.79%,171,35.33%,1,0.21%,0,0.00%,0,0.00%,484,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7206,,,,Pct 7206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,26,23.64%,,0,0.00%,1,0.91%,,0,0.00%,0,0.00%,3,2.73%,20,18.18%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,21,19.09%,0,0.00%,0,0.00%,9,8.18%,29,26.36%,1,0.91%,0,0.00%,0,0.00%,110,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,1,0.82%,21,17.21%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,36,29.51%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,15.57%,0,0.00%,0,0.00%,0,0.00%,45,36.89%,0,0.00%,0,0.00%,0,0.00%,122,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,0,,Total,0,0.00%,1,0.43%,47,20.26%,,0,0.00%,1,0.43%,,0,0.00%,0,0.00%,3,1.29%,56,24.14%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,40,17.24%,0,0.00%,0,0.00%,9,3.88%,74,31.90%,1,0.43%,0,0.00%,0,0.00%,232,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7207,,,,Pct 7207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,2,,Vote by Mail,0,0.00%,0,0.00%,47,17.87%,,0,0.00%,4,1.52%,,0,0.00%,0,0.00%,7,2.66%,67,25.48%,0,0.00%,3,1.14%,0,0.00%,0,0.00%,43,16.35%,0,0.00%,1,0.38%,22,8.37%,66,25.10%,3,1.14%,0,0.00%,0,0.00%,263,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,29,18.01%,,1,0.62%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,52,32.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,9.94%,0,0.00%,0,0.00%,1,0.62%,61,37.89%,1,0.62%,0,0.00%,0,0.00%,161,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
