Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Total,3,0,,Total,2,0.48%,0,0.00%,71,16.95%,,0,0.00%,5,1.19%,,0,0.00%,1,0.24%,3,0.72%,201,47.97%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,46,10.98%,0,0.00%,0,0.00%,10,2.39%,76,18.14%,4,0.95%,0,0.00%,0,0.00%,419,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1106,,,,Pct 1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,30,15.96%,,0,0.00%,3,1.60%,,0,0.00%,0,0.00%,4,2.13%,77,40.96%,0,0.00%,3,1.60%,0,0.00%,0,0.00%,14,7.45%,0,0.00%,0,0.00%,10,5.32%,47,25.00%,0,0.00%,0,0.00%,0,0.00%,188,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,20,14.81%,,0,0.00%,1,0.74%,,0,0.00%,0,0.00%,0,0.00%,65,48.15%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,8.89%,0,0.00%,0,0.00%,0,0.00%,37,27.41%,0,0.00%,0,0.00%,0,0.00%,135,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,50,15.48%,,0,0.00%,4,1.24%,,0,0.00%,0,0.00%,4,1.24%,142,43.96%,0,0.00%,3,0.93%,0,0.00%,0,0.00%,26,8.05%,0,0.00%,0,0.00%,10,3.10%,84,26.01%,0,0.00%,0,0.00%,0,0.00%,323,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1107,,,,Pct 1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,1,,Vote by Mail,0,0.00%,0,0.00%,34,15.11%,,0,0.00%,7,3.11%,,0,0.00%,0,0.00%,8,3.56%,85,37.78%,0,0.00%,4,1.78%,0,0.00%,0,0.00%,21,9.33%,0,0.00%,0,0.00%,4,1.78%,58,25.78%,4,1.78%,0,0.00%,0,0.00%,225,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,20,16.95%,,0,0.00%,1,0.85%,,0,0.00%,0,0.00%,0,0.00%,55,46.61%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,3.39%,0,0.00%,0,0.00%,1,0.85%,37,31.36%,0,0.00%,0,0.00%,0,0.00%,118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,1,,Total,0,0.00%,0,0.00%,54,15.74%,,0,0.00%,8,2.33%,,0,0.00%,0,0.00%,8,2.33%,140,40.82%,0,0.00%,4,1.17%,0,0.00%,0,0.00%,25,7.29%,0,0.00%,0,0.00%,5,1.46%,95,27.70%,4,1.17%,0,0.00%,0,0.00%,343,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1108,,,,Pct 1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,8,0,,Vote by Mail,0,0.00%,0,0.00%,52,18.64%,,0,0.00%,3,1.08%,,0,0.00%,0,0.00%,4,1.43%,104,37.28%,0,0.00%,6,2.15%,0,0.00%,1,0.36%,28,10.04%,0,0.00%,0,0.00%,3,1.08%,78,27.96%,0,0.00%,0,0.00%,0,0.00%,279,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,33,23.74%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,54,38.85%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,4.32%,0,0.00%,0,0.00%,0,0.00%,46,33.09%,0,0.00%,0,0.00%,0,0.00%,139,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,9,0,,Total,0,0.00%,0,0.00%,85,20.33%,,0,0.00%,3,0.72%,,0,0.00%,0,0.00%,4,0.96%,158,37.80%,0,0.00%,6,1.44%,0,0.00%,1,0.24%,34,8.13%,0,0.00%,0,0.00%,3,0.72%,124,29.67%,0,0.00%,0,0.00%,0,0.00%,418,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1109,,,,Pct 1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,4,0,,Vote by Mail,1,0.48%,0,0.00%,41,19.52%,,0,0.00%,8,3.81%,,0,0.00%,2,0.95%,2,0.95%,83,39.52%,0,0.00%,1,0.48%,0,0.00%,0,0.00%,28,13.33%,0,0.00%,0,0.00%,14,6.67%,29,13.81%,1,0.48%,0,0.00%,0,0.00%,210,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,2,,Election Day,0,0.00%,0,0.00%,20,15.75%,,0,0.00%,2,1.57%,,0,0.00%,0,0.00%,1,0.79%,62,48.82%,1,0.79%,1,0.79%,0,0.00%,0,0.00%,6,4.72%,0,0.00%,0,0.00%,0,0.00%,33,25.98%,1,0.79%,0,0.00%,0,0.00%,127,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,5,2,,Total,1,0.30%,0,0.00%,61,18.10%,,0,0.00%,10,2.97%,,0,0.00%,2,0.59%,3,0.89%,145,43.03%,1,0.30%,2,0.59%,0,0.00%,0,0.00%,34,10.09%,0,0.00%,0,0.00%,14,4.15%,62,18.40%,2,0.59%,0,0.00%,0,0.00%,337,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1111,,,,Pct 1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,6,1,,Vote by Mail,0,0.00%,0,0.00%,30,12.35%,,0,0.00%,12,4.94%,,0,0.00%,0,0.00%,2,0.82%,113,46.50%,0,0.00%,6,2.47%,0,0.00%,0,0.00%,22,9.05%,0,0.00%,0,0.00%,11,4.53%,45,18.52%,2,0.82%,0,0.00%,0,0.00%,243,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,2,0,,Election Day,0,0.00%,0,0.00%,24,13.64%,,0,0.00%,1,0.57%,,0,0.00%,0,0.00%,1,0.57%,101,57.39%,0,0.00%,0,0.00%,0,0.00%,1,0.57%,8,4.55%,0,0.00%,0,0.00%,0,0.00%,39,22.16%,0,0.00%,1,0.57%,0,0.00%,176,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,8,1,,Total,0,0.00%,0,0.00%,54,12.89%,,0,0.00%,13,3.10%,,0,0.00%,0,0.00%,3,0.72%,214,51.07%,0,0.00%,6,1.43%,0,0.00%,1,0.24%,30,7.16%,0,0.00%,0,0.00%,11,2.63%,84,20.05%,2,0.48%,1,0.24%,0,0.00%,419,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1112,,,,Pct 1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,25,12.25%,,0,0.00%,6,2.94%,,0,0.00%,0,0.00%,0,0.00%,103,50.49%,0,0.00%,6,2.94%,0,0.00%,0,0.00%,26,12.75%,0,0.00%,0,0.00%,7,3.43%,31,15.20%,0,0.00%,0,0.00%,0,0.00%,204,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,20,19.23%,,0,0.00%,0,0.00%,,0,0.00%,1,0.96%,0,0.00%,54,51.92%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,7.69%,0,0.00%,0,0.00%,0,0.00%,21,20.19%,0,0.00%,0,0.00%,0,0.00%,104,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,45,14.61%,,0,0.00%,6,1.95%,,0,0.00%,1,0.32%,0,0.00%,157,50.97%,0,0.00%,6,1.95%,0,0.00%,0,0.00%,34,11.04%,0,0.00%,0,0.00%,7,2.27%,52,16.88%,0,0.00%,0,0.00%,0,0.00%,308,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 1113,,,,Pct 1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,33,17.37%,,1,0.53%,1,0.53%,,0,0.00%,0,0.00%,0,0.00%,78,41.05%,0,0.00%,7,3.68%,0,0.00%,0,0.00%,36,18.95%,0,0.00%,0,0.00%,3,1.58%,29,15.26%,2,1.05%,0,0.00%,0,0.00%,190,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
