,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
Canvass,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1,2,200%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
2305  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,3,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,3,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,3,1,33.3333333333333%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Total,3,1,33.3333333333333%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2306  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,9,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,9,1,11.1111111111111%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Canvass,9,3,33.3333333333333%,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
Total,9,4,44.4444444444444%,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1174,252,21.4650766609881%,0,0,70,0,0,0,0,1,95,0,0,0,0,12,0,0,0,73,1,0,252,0,0,0,0,0,0,0
Vote by Mail,1174,377,32.1124361158433%,0,0,66,1,3,0,0,26,101,1,14,0,0,72,0,0,56,31,0,0,371,0,0,0,0,0,0,0
Canvass,1174,545,46.4224872231687%,0,0,119,1,2,0,0,7,182,0,5,0,0,39,0,0,22,158,3,0,538,0,0,0,0,0,0,0
Total,1174,1174,100%,0,0,255,2,5,0,0,34,378,1,19,0,0,123,0,0,78,262,4,0,1161,0,0,0,0,0,0,0
2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,619,168,27.140549273021%,0,0,38,1,0,0,0,0,69,0,0,0,0,9,0,0,0,47,3,0,167,0,0,0,0,0,0,0
Vote by Mail,619,148,23.9095315024233%,0,0,34,0,0,0,0,10,41,0,2,0,0,23,0,0,19,18,1,0,148,0,0,0,0,0,0,0
Canvass,619,298,48.1421647819063%,0,0,70,0,0,0,0,2,125,0,0,0,0,18,0,0,7,70,2,0,294,0,0,0,0,0,0,0
Total,619,614,99.1922455573506%,0,0,142,1,0,0,0,12,235,0,2,0,0,50,0,0,26,135,6,0,609,0,0,0,0,0,0,0
2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1345,359,26.6914498141264%,0,0,82,0,0,0,0,2,126,0,2,0,0,24,0,0,2,116,2,0,356,0,0,0,0,0,0,0
Vote by Mail,1345,355,26.3940520446097%,0,0,68,0,2,0,0,26,108,0,5,0,0,72,0,0,39,31,1,1,353,0,0,0,0,0,0,0
Canvass,1345,564,41.9330855018587%,0,0,132,2,1,0,0,11,200,1,7,1,0,43,0,0,26,134,2,0,560,0,0,0,0,0,0,0
Total,1345,1278,95.0185873605948%,0,0,282,2,3,0,0,39,434,1,14,1,0,139,0,0,67,281,5,1,1269,0,0,0,0,0,0,0
2505  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,87,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,87,17,19.5402298850575%,0,0,1,0,0,0,0,1,2,0,1,0,0,3,0,0,3,5,0,0,16,0,0,0,0,0,0,0
Canvass,87,28,32.183908045977%,0,0,0,0,0,0,0,0,16,0,1,0,0,3,0,0,0,8,0,0,28,0,0,0,0,0,0,0
Total,87,45,51.7241379310345%,0,0,1,0,0,0,0,1,18,0,2,0,0,6,0,0,3,13,0,0,44,0,0,0,0,0,0,0
2506  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,1,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Total,0,1,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,838,169,20.1670644391408%,0,0,35,0,0,0,0,0,59,0,0,0,0,13,1,0,1,60,0,0,169,0,0,0,0,0,0,0
Vote by Mail,838,259,30.9069212410501%,0,0,39,0,3,0,0,23,70,0,8,0,0,54,0,0,33,25,0,0,255,0,0,0,0,0,0,0
Canvass,838,418,49.8806682577566%,0,0,101,1,2,0,0,8,123,0,2,0,0,41,0,0,13,119,2,0,412,0,0,0,0,0,0,0
Total,838,846,100.954653937948%,0,0,175,1,5,0,0,31,252,0,10,0,0,108,1,0,47,204,2,0,836,0,0,0,0,0,0,0
2509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,862,148,17.169373549884%,0,0,29,0,0,0,0,1,44,0,0,0,0,7,0,0,0,63,4,0,148,0,0,0,0,0,0,0
Vote by Mail,862,274,31.7865429234339%,0,0,47,0,1,0,0,29,55,0,8,0,0,57,0,0,37,33,2,0,269,0,0,0,0,0,0,0
Canvass,862,397,46.0556844547564%,0,0,90,0,1,0,1,8,111,0,6,0,1,29,1,1,12,131,2,0,394,0,0,0,0,0,0,0
Total,862,819,95.0116009280742%,0,0,166,0,2,0,1,38,210,0,14,0,1,93,1,1,49,227,8,0,811,0,0,0,0,0,0,0
2511  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,83,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,83,34,40.9638554216867%,0,0,5,0,0,0,0,3,7,0,3,0,0,8,0,0,4,3,0,0,33,0,0,0,0,0,0,0
Canvass,83,32,38.5542168674699%,0,0,6,0,0,0,0,2,10,0,3,0,0,1,0,0,1,9,0,0,32,0,0,0,0,0,0,0
Total,83,66,79.5180722891566%,0,0,11,0,0,0,0,5,17,0,6,0,0,9,0,0,5,12,0,0,65,0,0,0,0,0,0,0
2512  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,16,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,16,7,43.75%,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0
Canvass,16,8,50%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0
Total,16,15,93.75%,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,8,0,0,15,0,0,0,0,0,0,0
2513  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,45,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,45,19,42.2222222222222%,0,0,2,0,0,0,0,1,2,0,1,0,0,4,0,0,2,5,0,0,17,0,0,0,0,0,0,0
Canvass,45,21,46.6666666666667%,0,0,6,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,17,0,0,0,0,0,0,0
Total,45,40,88.8888888888889%,0,0,8,0,0,0,0,1,5,0,1,0,0,7,0,0,2,10,0,0,34,0,0,0,0,0,0,0
2514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1307,191,14.6136189747513%,0,0,22,0,2,0,0,0,68,0,1,0,0,16,0,0,1,75,2,0,187,0,0,0,0,0,0,0
Vote by Mail,1307,429,32.823259372609%,0,0,49,1,4,0,0,21,87,1,16,0,1,102,0,1,63,70,1,0,417,0,0,0,0,0,0,0
Canvass,1307,517,39.5562356541699%,0,0,87,0,0,0,0,22,159,0,6,0,0,58,0,0,18,156,1,0,507,0,0,0,0,0,0,0
Total,1307,1137,86.9931140015302%,0,0,158,1,6,0,0,43,314,1,23,0,1,176,0,1,82,301,4,0,1111,0,0,0,0,0,0,0
2515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,500,87,17.4%,0,0,5,0,0,0,0,0,41,0,1,0,0,10,0,0,0,29,1,0,87,0,0,0,0,0,0,0
Vote by Mail,500,124,24.8%,0,0,15,0,1,0,0,9,24,0,7,0,1,31,1,0,17,15,0,0,121,0,0,0,0,0,0,0
Canvass,500,206,41.2%,0,0,28,0,0,0,0,2,91,0,4,0,0,29,0,0,7,39,2,0,202,0,0,0,0,0,0,0
Total,500,417,83.4%,0,0,48,0,1,0,0,11,156,0,12,0,1,70,1,0,24,83,3,0,410,0,0,0,0,0,0,0
2517  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,142,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,142,87,61.2676056338028%,0,0,14,0,0,0,0,7,15,0,10,0,0,21,0,0,5,11,1,0,84,0,0,0,0,0,0,0
Canvass,142,46,32.3943661971831%,0,0,7,0,0,0,0,0,9,0,4,0,0,8,0,0,0,18,0,0,46,0,0,0,0,0,0,0
Total,142,133,93.6619718309859%,0,0,21,0,0,0,0,7,24,0,14,0,0,29,0,0,5,29,1,0,130,0,0,0,0,0,0,0
2519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1211,229,18.9099917423617%,0,0,23,0,1,0,0,0,76,1,1,0,0,13,0,0,1,112,0,0,228,0,0,0,0,0,0,0
Vote by Mail,1211,375,30.9661436829067%,0,0,35,0,3,0,0,23,90,0,13,0,0,96,0,0,56,50,1,0,367,0,0,0,0,0,0,0
Canvass,1211,465,38.3980181668043%,0,0,66,0,1,0,0,11,126,0,11,0,1,54,0,0,27,158,4,0,459,0,0,0,0,0,0,0
Total,1211,1069,88.2741535920727%,0,0,124,0,5,0,0,34,292,1,25,0,1,163,0,0,84,320,5,0,1054,0,0,0,0,0,0,0
2520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1154,243,21.0571923743501%,0,0,32,0,0,0,0,0,94,0,2,0,0,12,0,0,0,97,1,0,238,0,0,0,0,0,0,0
Vote by Mail,1154,320,27.7296360485269%,0,0,30,0,1,0,0,24,84,1,22,0,0,71,1,1,37,40,3,0,315,0,0,0,0,0,0,0
Canvass,1154,381,33.0155979202773%,0,0,59,0,0,1,0,4,139,1,10,0,0,34,0,0,12,111,2,0,373,0,0,0,0,0,0,0
Total,1154,944,81.8024263431542%,0,0,121,0,1,1,0,28,317,2,34,0,0,117,1,1,49,248,6,0,926,0,0,0,0,0,0,0
2523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1083,184,16.9898430286242%,0,0,16,0,0,0,1,0,90,0,1,0,0,19,0,0,0,51,2,0,180,0,0,0,0,0,0,0
Vote by Mail,1083,302,27.8855032317636%,0,0,34,0,7,0,0,22,79,0,11,0,1,58,0,0,37,42,3,0,294,0,0,0,0,0,0,0
Canvass,1083,390,36.01108033241%,0,0,61,0,1,0,0,2,168,0,8,0,0,26,0,0,13,104,2,0,385,0,0,0,0,0,0,0
Total,1083,876,80.8864265927978%,0,0,111,0,8,0,1,24,337,0,20,0,1,103,0,0,50,197,7,0,859,0,0,0,0,0,0,0
2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,965,172,17.8238341968912%,0,0,29,0,0,0,0,0,61,0,1,0,0,15,0,0,0,65,1,0,172,0,0,0,0,0,0,0
Vote by Mail,965,307,31.8134715025907%,0,1,39,1,3,0,0,23,76,0,5,0,1,67,0,0,41,38,1,0,296,0,0,0,0,0,0,0
Canvass,965,367,38.0310880829016%,0,0,51,0,0,0,0,8,109,0,6,0,1,38,0,0,13,138,1,0,365,0,0,0,0,0,0,0
Total,965,846,87.6683937823834%,0,1,119,1,3,0,0,31,246,0,12,0,2,120,0,0,54,241,3,0,833,0,0,0,0,0,0,0
2531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,744,130,17.4731182795699%,0,0,19,0,0,0,0,0,31,0,0,0,0,14,0,0,2,59,1,0,126,0,0,0,0,0,0,0
Vote by Mail,744,245,32.9301075268817%,0,0,17,0,0,0,1,14,52,1,6,0,0,67,0,0,46,35,2,0,241,0,0,0,0,0,0,0
Canvass,744,281,37.7688172043011%,0,0,44,0,2,0,0,12,70,0,2,0,0,24,0,0,16,104,4,0,278,0,0,0,0,0,0,0
Total,744,656,88.1720430107527%,0,0,80,0,2,0,1,26,153,1,8,0,0,105,0,0,64,198,7,0,645,0,0,0,0,0,0,0
2536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,472,76,16.1016949152542%,0,0,10,0,0,0,0,0,28,1,1,0,0,5,0,0,0,29,0,0,74,0,0,0,0,0,0,0
Vote by Mail,472,162,34.3220338983051%,0,0,21,0,2,0,0,11,38,0,7,0,1,35,0,1,13,29,1,0,159,0,0,0,0,0,0,0
Canvass,472,162,34.3220338983051%,0,0,28,1,0,0,0,4,46,0,0,0,0,19,0,0,2,61,0,0,161,0,0,0,0,0,0,0
Total,472,400,84.7457627118644%,0,0,59,1,2,0,0,15,112,1,8,0,1,59,0,1,15,119,1,0,394,0,0,0,0,0,0,0
2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1403,239,17.0349251603706%,0,0,28,0,0,0,0,1,68,0,1,0,0,15,0,0,0,120,2,0,235,0,0,0,0,0,0,0
Vote by Mail,1403,352,25.0890947968639%,0,0,45,0,5,0,0,12,105,0,10,0,0,84,0,2,45,30,4,0,342,0,0,0,0,0,0,0
Canvass,1403,622,44.3335709194583%,0,0,99,0,2,0,0,14,207,0,16,0,0,62,0,0,22,190,5,0,617,0,0,0,0,0,0,0
Total,1403,1213,86.4575908766928%,0,0,172,0,7,0,0,27,380,0,27,0,0,161,0,2,67,340,11,0,1194,0,0,0,0,0,0,0
2601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1152,223,19.3576388888889%,0,0,14,0,1,0,0,0,100,0,2,1,0,21,0,0,0,83,0,0,222,0,0,0,0,0,0,0
Vote by Mail,1152,283,24.5659722222222%,0,1,28,0,4,0,1,21,78,0,8,0,0,51,0,0,25,52,4,0,273,0,0,0,0,0,0,0
Canvass,1152,429,37.2395833333333%,0,0,57,0,2,0,0,7,193,0,10,0,0,28,0,1,10,112,2,0,422,0,0,0,0,0,0,0
Total,1152,935,81.1631944444444%,0,1,99,0,7,0,1,28,371,0,20,1,0,100,0,1,35,247,6,0,917,0,0,0,0,0,0,0
2602  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,114,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,114,33,28.9473684210526%,0,0,4,0,0,0,0,2,15,0,5,0,0,5,0,0,0,2,0,0,33,0,0,0,0,0,0,0
Canvass,114,26,22.8070175438596%,0,0,3,0,0,0,0,0,12,0,0,0,0,2,0,0,0,8,1,0,26,0,0,0,0,0,0,0
Total,114,59,51.7543859649123%,0,0,7,0,0,0,0,2,27,0,5,0,0,7,0,0,0,10,1,0,59,0,0,0,0,0,0,0
2604  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,8,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,8,1,12.5%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Canvass,8,4,50%,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Total,8,5,62.5%,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2605  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,38,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,38,12,31.5789473684211%,0,0,5,0,0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Canvass,38,14,36.8421052631579%,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0
Total,38,26,68.421052631579%,0,0,8,0,0,0,0,3,8,0,1,0,0,2,0,0,0,3,0,0,25,0,0,0,0,0,0,0
2606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1004,154,15.3386454183267%,0,0,12,0,0,0,0,0,66,0,1,0,0,16,0,0,2,56,0,0,153,0,0,0,0,0,0,0
Vote by Mail,1004,270,26.8924302788845%,0,1,31,0,4,0,0,11,83,0,13,1,0,49,0,0,27,41,3,0,264,0,0,0,0,0,0,0
Canvass,1004,361,35.9561752988048%,0,0,45,0,1,0,0,5,150,2,5,0,0,27,0,0,8,101,1,0,345,0,0,0,0,0,0,0
Total,1004,785,78.1872509960159%,0,1,88,0,5,0,0,16,299,2,19,1,0,92,0,0,37,198,4,0,762,0,0,0,0,0,0,0
2607  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,84,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,84,31,36.9047619047619%,0,0,3,0,0,0,0,1,7,0,1,0,0,11,0,0,2,6,0,0,31,0,0,0,0,0,0,0
Canvass,84,41,48.8095238095238%,0,0,7,0,0,0,0,1,12,0,0,0,0,4,0,0,3,14,0,0,41,0,0,0,0,0,0,0
Total,84,72,85.7142857142857%,0,0,10,0,0,0,0,2,19,0,1,0,0,15,0,0,5,20,0,0,72,0,0,0,0,0,0,0
2608  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,79,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,79,18,22.7848101265823%,0,0,1,0,0,0,0,2,4,0,1,0,0,2,0,0,3,5,0,0,18,0,0,0,0,0,0,0
Canvass,79,31,39.2405063291139%,0,0,5,0,0,0,0,0,12,0,0,0,0,5,0,0,2,6,0,0,30,0,0,0,0,0,0,0
Total,79,49,62.0253164556962%,0,0,6,0,0,0,0,2,16,0,1,0,0,7,0,0,5,11,0,0,48,0,0,0,0,0,0,0
2609  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,105,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,105,24,22.8571428571429%,0,0,2,0,0,0,0,1,11,0,3,0,0,1,0,0,1,4,0,0,23,0,0,0,0,0,0,0
Canvass,105,38,36.1904761904762%,0,0,3,0,0,0,1,0,24,0,0,0,0,3,0,0,2,5,0,0,38,0,0,0,0,0,0,0
Total,105,62,59.0476190476191%,0,0,5,0,0,0,1,1,35,0,3,0,0,4,0,0,3,9,0,0,61,0,0,0,0,0,0,0
2610  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,105,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,105,37,35.2380952380952%,0,0,9,0,0,0,0,1,17,0,1,0,0,3,0,0,5,1,0,0,37,0,0,0,0,0,0,0
Canvass,105,42,40%,0,0,7,0,0,0,0,0,20,0,1,0,0,2,0,0,2,8,0,0,40,0,0,0,0,0,0,0
Total,105,79,75.2380952380952%,0,0,16,0,0,0,0,1,37,0,2,0,0,5,0,0,7,9,0,0,77,0,0,0,0,0,0,0
2611  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,88,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,88,16,18.1818181818182%,0,0,4,0,0,0,0,0,6,0,0,0,0,5,0,0,1,0,0,0,16,0,0,0,0,0,0,0
Canvass,88,21,23.8636363636364%,0,0,2,0,0,0,0,0,13,0,1,0,0,2,0,0,0,2,0,0,20,0,0,0,0,0,0,0
Total,88,37,42.0454545454546%,0,0,6,0,0,0,0,0,19,0,1,0,0,7,0,0,1,2,0,0,36,0,0,0,0,0,0,0
2612  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,71,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,71,22,30.9859154929577%,0,0,2,0,0,0,0,0,10,0,1,0,0,4,0,0,1,3,0,0,21,0,0,0,0,0,0,0
Canvass,71,32,45.0704225352113%,0,0,1,0,0,0,0,0,18,0,0,0,0,2,0,0,0,10,0,0,31,0,0,0,0,0,0,0
Total,71,54,76.056338028169%,0,0,3,0,0,0,0,0,28,0,1,0,0,6,0,0,1,13,0,0,52,0,0,0,0,0,0,0
2613  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,68,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,68,20,29.4117647058824%,0,0,0,0,0,0,0,0,10,0,6,0,0,3,0,0,0,1,0,0,20,0,0,0,0,0,0,0
Canvass,68,20,29.4117647058824%,0,0,1,0,0,0,0,0,11,0,0,0,0,2,0,0,0,6,0,0,20,0,0,0,0,0,0,0
Total,68,40,58.8235294117647%,0,0,1,0,0,0,0,0,21,0,6,0,0,5,0,0,0,7,0,0,40,0,0,0,0,0,0,0
3001  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,4,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,4,1,25%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Canvass,4,3,75%,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Total,4,4,100%,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
3002  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3003  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,96,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,96,25,26.0416666666667%,0,0,2,0,0,0,0,1,11,1,3,0,0,3,0,0,1,3,0,0,25,0,0,0,0,0,0,0
Canvass,96,37,38.5416666666667%,0,0,1,0,0,1,0,0,25,0,0,1,0,1,0,0,0,8,0,0,37,0,0,0,0,0,0,0
Total,96,62,64.5833333333333%,0,0,3,0,0,1,0,1,36,1,3,1,0,4,0,0,1,11,0,0,62,0,0,0,0,0,0,0
3005  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,95,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,95,31,32.6315789473684%,0,0,2,0,0,0,0,0,16,0,0,0,1,2,0,0,3,6,1,0,31,0,0,0,0,0,0,0
Canvass,95,51,53.6842105263158%,0,0,5,0,0,0,0,1,29,0,3,0,0,1,0,0,1,10,0,0,50,0,0,0,0,0,0,0
Total,95,82,86.3157894736842%,0,0,7,0,0,0,0,1,45,0,3,0,1,3,0,0,4,16,1,0,81,0,0,0,0,0,0,0
3006  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,15,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,15,4,26.6666666666667%,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0
Canvass,15,7,46.6666666666667%,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0
Total,15,11,73.3333333333333%,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,5,0,0,10,0,0,0,0,0,0,0
3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,562,52,9.25266903914591%,0,0,5,0,0,1,0,1,27,0,0,0,0,2,0,0,0,13,0,0,49,0,0,0,0,0,0,0
Vote by Mail,562,144,25.6227758007117%,0,0,14,1,1,0,1,2,46,1,7,0,1,24,0,0,24,17,1,0,140,0,0,0,0,0,0,0
Canvass,562,169,30.0711743772242%,1,0,11,0,0,2,0,0,97,0,5,0,0,16,0,0,2,33,0,0,167,0,0,0,0,0,0,0
Total,562,365,64.9466192170819%,1,0,30,1,1,3,1,3,170,1,12,0,1,42,0,0,26,63,1,0,356,0,0,0,0,0,0,0
3016  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,117,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,117,8,6.83760683760684%,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Canvass,117,71,60.6837606837607%,0,0,8,0,0,0,0,0,56,0,0,0,0,0,0,0,0,7,0,0,71,0,0,0,0,0,0,0
