,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMOCRATIC  - PRESIDENTIAL PREFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Party Registration,Ballots Cast,Turnout (%),JULIÁN CASTRO,MICHAEL A. ELLINGER,ELIZABETH WARREN,MARIANNE WILLIAMSON,ANDREW YANG,"ROQUE ""ROCKY"" DE LA FUENTE III",JOHN K. DELANEY,AMY KLOBUCHAR,BERNIE SANDERS,JOE SESTAK,TOM STEYER,DEVAL PATRICK,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,TOTAL VOTES,"QUALIFIED WRITE-INS:
NAKIA L. ANTHONY",DAPHNE DENISE BRADFORD,WILLIE FELIX CARTER,"MICHAEL DENAME 
",JEFFREY H. DROBMAN,ROBERT JORDAN,HEATHER MARIE STAGG
Vote by Mail,416,137,32.9326923076923%,0,0,12,0,0,0,0,19,26,0,8,0,0,33,0,1,19,17,1,0,136,0,0,0,0,0,0,0
Canvass,416,195,46.875%,0,0,34,0,1,0,0,3,37,0,0,0,0,20,0,0,11,84,2,0,192,0,0,0,0,0,0,0
Total,416,438,105.288461538462%,0,0,59,0,1,0,0,22,99,0,8,0,0,66,0,1,30,145,3,0,434,0,0,0,0,0,0,0
1018  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,9,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,9,3,33.3333333333333%,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Canvass,9,4,44.4444444444444%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0
Total,9,7,77.7777777777778%,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,7,0,0,0,0,0,0,0
1022  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,23,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,23,11,47.8260869565217%,0,0,2,0,0,0,0,3,1,0,1,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Canvass,23,7,30.4347826086957%,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Total,23,18,78.2608695652174%,0,0,5,0,0,0,0,4,4,0,1,0,0,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0
1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,842,137,16.270783847981%,0,0,22,0,0,0,0,0,43,0,2,0,0,15,0,0,1,49,0,0,132,0,0,0,0,0,0,0
Vote by Mail,842,269,31.9477434679335%,0,0,30,0,1,0,1,17,60,0,15,0,0,60,0,1,44,36,1,0,266,0,0,0,0,0,0,0
Canvass,842,331,39.3111638954869%,0,0,55,0,2,0,1,4,125,0,7,0,0,43,0,0,13,79,0,0,329,0,0,0,0,0,0,0
Total,842,737,87.5296912114014%,0,0,107,0,3,0,2,21,228,0,24,0,0,118,0,1,58,164,1,0,727,0,0,0,0,0,0,0
1024  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,10,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,10,5,50%,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0
Canvass,10,2,20%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Total,10,7,70%,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,7,0,0,0,0,0,0,0
1026  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,17,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,17,12,70.5882352941177%,0,0,2,0,0,0,0,2,4,0,0,0,0,1,0,0,0,2,0,0,11,0,0,0,0,0,0,0
Canvass,17,6,35.2941176470588%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,6,0,0,0,0,0,0,0
Total,17,18,105.882352941176%,0,0,2,0,0,0,0,2,5,0,0,0,0,1,0,0,1,6,0,0,17,0,0,0,0,0,0,0
1027  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvass,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031  MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,58,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vote by Mail,58,26,44.8275862068966%,0,0,1,0,0,0,0,3,1,0,2,0,0,4,0,0,7,7,1,0,26,0,0,0,0,0,0,0
