Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference LIB,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,JO JORGENSEN,DAN BEHRMAN,,ERIK CHASE GERHARDT,Write In,Sorinne  Ardeleanu,Nicholas D'Artagnan Dumas,Geby Eva Espinosa,James Orlando Ogle,,
10291,Polling Place,14,1,7.14 %,,,,,,,,,,,,,
10291,Total,14,8,57.14 %,,,,,,,3,,,,,,
10310,Vote by Mail,10,1,10.00 %,,,,,,,,,,,,,
10310,Polling Place,10,4,40.00 %,,,,,,,,,,,,,
10310,Total,10,5,50.00 %,,,,,,,,,,,,,
10351,Vote by Mail,10,7,70.00 %,,,3,,,,,,,,,,
10351,Polling Place,10,2,20.00 %,,,,,,,1,,,,,,
10351,Total,10,9,90.00 %,,,3,,,,1,,,,,,
10381,Vote by Mail,17,7,41.18 %,,,2,,,,1,,,,,,
10381,Polling Place,17,4,23.53 %,,,,1,,,,,,,,,
10381,Total,17,11,64.71 %,,,2,1,,,1,,,,,,
10410,Vote by Mail,9,2,22.22 %,,,,,,,,,,,,,
10410,Polling Place,9,0,0.00 %,,,,,,,,,,,,,
10410,Total,9,2,22.22 %,,,,,,,,,,,,,
10442,Vote by Mail,1,1,100.00 %,,,,,,,,,,,,,
10442,Polling Place,1,0,0.00 %,,,,,,,,,,,,,
10442,Total,1,1,100.00 %,,,,,,,,,,,,,
10521,Vote by Mail,2,1,50.00 %,,,,,,,1,,,,,,
10521,Polling Place,2,0,0.00 %,,,,,,,,,,,,,
10521,Total,2,1,50.00 %,,,,,,,1,,,,,,
10541,Vote by Mail,0,0,,,,,,,,,,,,,,
10541,Polling Place,0,0,,,,,,,,,,,,,,
10541,Total,0,0,,,,,,,,,,,,,,
10550,Vote by Mail,1,0,0.00 %,,,,,,,,,,,,,
