Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,1 Presidential Preference AIP,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,PHIL COLLINS,"ROQUE ""ROCKY"" DE LA FUENTE",,CHARLES KRAUT,J.R. MYERS,DON BLANKENSHIP,Write In,,
43410,Polling Place,35,1,2.86 %,,,,,,,1,,,,
43410,Total,35,8,22.86 %,,,3,1,,,1,,3,,
43441,Vote by Mail,22,12,54.55 %,,,,1,,,1,,7,,
43441,Polling Place,22,2,9.09 %,,,,,,1,,,,,
43441,Total,22,14,63.64 %,,,,1,,1,1,,7,,
43501,Vote by Mail,18,8,44.44 %,,,,,,1,,,5,,
43501,Polling Place,18,1,5.56 %,,,,,,,,,,,
43501,Total,18,9,50.00 %,,,,,,1,,,5,,
43540,Vote by Mail,25,7,28.00 %,,,,,,,,,6,,
43540,Polling Place,25,1,4.00 %,,,,,,,,,1,,
43540,Total,25,8,32.00 %,,,,,,,,,7,,
43610,Vote by Mail,45,12,26.67 %,,,2,1,,,,3,4,,
43610,Polling Place,45,2,4.44 %,,,,,,,,,1,,
43610,Total,45,14,31.11 %,,,2,1,,,,3,5,,
43621,Vote by Mail,18,5,27.78 %,,,,,,1,,,2,,
43621,Polling Place,18,1,5.56 %,,,,,,,,,,,
43621,Total,18,6,33.33 %,,,,,,1,,,2,,
43710,Vote by Mail,27,10,37.04 %,,,,1,,1,,,5,,
43710,Polling Place,27,0,0.00 %,,,,,,,,,,,
43710,Total,27,10,37.04 %,,,,1,,1,,,5,,
43731,Vote by Mail,12,6,50.00 %,,,,,,,,,1,,
43731,Polling Place,12,1,8.33 %,,,,,,,,,1,,
43731,Total,12,7,58.33 %,,,,,,,,,2,,
43741,Vote by Mail,25,9,36.00 %,,,1,1,,,,,4,,
43741,Polling Place,25,2,8.00 %,,,,,,,,1,,,
43741,Total,25,11,44.00 %,,,1,1,,,,1,4,,
50011,Vote by Mail,0,0,,,,,,,,,,,,
50011,Polling Place,0,0,,,,,,,,,,,,
50011,Total,0,0,,,,,,,,,,,,
50021,Vote by Mail,37,10,27.03 %,,,,1,,,1,1,2,,
50021,Polling Place,37,5,13.51 %,,,1,,,,,,2,,
50021,Total,37,15,40.54 %,,,1,1,,,1,1,4,,
50040,Vote by Mail,25,7,28.00 %,,,1,,,,1,,2,,
50040,Polling Place,25,1,4.00 %,,,,,,,,,,,
50040,Total,25,8,32.00 %,,,1,,,,1,,2,,
50061,Vote by Mail,30,12,40.00 %,,,1,,,,,1,3,,
50061,Polling Place,30,2,6.67 %,,,1,,,,,,,,
50061,Total,30,14,46.67 %,,,2,,,,,1,3,,
50090,Vote by Mail,0,0,,,,,,,,,,,,
50090,Polling Place,0,0,,,,,,,,,,,,
50090,Total,0,0,,,,,,,,,,,,
50091,Vote by Mail,34,15,44.12 %,,,,,,,,,7,,
50091,Polling Place,34,1,2.94 %,,,,,,,,,1,,
50091,Total,34,16,47.06 %,,,,,,,,,8,,
50092,Vote by Mail,28,4,14.29 %,,,1,,,,,,,,
50092,Polling Place,28,3,10.71 %,,,,,,,,1,1,,
50092,Total,28,7,25.00 %,,,1,,,,,1,1,,
50093,Vote by Mail,0,0,,,,,,,,,,,,
50093,Polling Place,0,0,,,,,,,,,,,,
50093,Total,0,0,,,,,,,,,,,,
50102,Vote by Mail,55,19,34.55 %,,,1,1,,1,,1,9,,
50102,Polling Place,55,7,12.73 %,,,2,,,,,,1,,
50102,Total,55,26,47.27 %,,,3,1,,1,,1,10,,
50111,Vote by Mail,22,4,18.18 %,,,,,,,,2,1,,
50111,Polling Place,22,4,18.18 %,,,1,,,,,,1,,
50111,Total,22,8,36.36 %,,,1,,,,,2,2,,
50113,Vote by Mail,21,10,47.62 %,,,,,,,1,,3,,
50113,Polling Place,21,2,9.52 %,,,,1,,,,,,,
50113,Total,21,12,57.14 %,,,,1,,,1,,3,,
50114,Vote by Mail,1,0,0.00 %,,,,,,,,,,,
50114,Polling Place,1,0,0.00 %,,,,,,,,,,,
50114,Total,1,0,0.00 %,,,,,,,,,,,
50115,Vote by Mail,0,0,,,,,,,,,,,,
50115,Polling Place,0,0,,,,,,,,,,,,
50115,Total,0,0,,,,,,,,,,,,
50121,Vote by Mail,37,15,40.54 %,,,,1,,,,1,9,,
50121,Polling Place,37,7,18.92 %,,,2,,,,,,3,,
50121,Total,37,22,59.46 %,,,2,1,,,,1,12,,
50141,Vote by Mail,1,1,100.00 %,,,,,,,,,1,,
50141,Polling Place,1,0,0.00 %,,,,,,,,,,,
50141,Total,1,1,100.00 %,,,,,,,,,1,,
50143,Vote by Mail,32,8,25.00 %,,,1,,,,,1,5,,
50143,Polling Place,32,3,9.38 %,,,,,,1,,1,1,,
50143,Total,32,11,34.38 %,,,1,,,1,,2,6,,
50147,Vote by Mail,19,6,31.58 %,,,,,,1,,,3,,
50147,Polling Place,19,1,5.26 %,,,,,,,,,,,
50147,Total,19,7,36.84 %,,,,,,1,,,3,,
50154,Vote by Mail,0,0,,,,,,,,,,,,
50154,Polling Place,0,0,,,,,,,,,,,,
50154,Total,0,0,,,,,,,,,,,,
50157,Vote by Mail,29,5,17.24 %,,,,,,,1,1,1,,
50157,Polling Place,29,2,6.90 %,,,,,,,,,1,,
50157,Total,29,7,24.14 %,,,,,,,1,1,2,,
50161,Vote by Mail,54,24,44.44 %,,,2,,,1,,2,13,,
50161,Polling Place,54,8,14.81 %,,,1,,,,,1,2,,
50161,Total,54,32,59.26 %,,,3,,,1,,3,15,,
50172,Vote by Mail,0,0,,,,,,,,,,,,
50172,Polling Place,0,0,,,,,,,,,,,,
50172,Total,0,0,,,,,,,,,,,,
50181,Vote by Mail,4,1,25.00 %,,,,,,,,,,,
50181,Polling Place,4,0,0.00 %,,,,,,,,,,,
50181,Total,4,1,25.00 %,,,,,,,,,,,
50183,Vote by Mail,26,14,53.85 %,,,1,,,,1,,6,,
50183,Polling Place,26,0,0.00 %,,,,,,,,,,,
50183,Total,26,14,53.85 %,,,1,,,,1,,6,,
50191,Vote by Mail,30,11,36.67 %,,,2,1,,,,,4,,
50191,Polling Place,30,5,16.67 %,,,1,,,,,1,1,,
50191,Total,30,16,53.33 %,,,3,1,,,,1,5,,
50192,Vote by Mail,4,2,50.00 %,,,,,,,,,,,
