Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"1 Supervisor, 1st District",,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,BETSY RIKER,BENJAMIN COGAN,,MARK ESQUIBEL,JOHN LEOPOLD,"DONALD ""KASE"" KREUTZ",MANU KOENIG,Write In,,
10270,Total,1343,822,61.21 %,,,33,16,,65,414,29,206,2,,
10280,Vote by Mail,320,201,62.81 %,,,6,8,,30,70,5,59,,,
10280,Polling Place,320,6,1.88 %,,,,,,1,,,4,,,
10280,Total,320,207,64.69 %,,,6,8,,31,70,5,63,,,
10281,Vote by Mail,794,348,43.83 %,,,17,17,,25,151,5,95,1,,
10281,Polling Place,794,205,25.82 %,,,10,11,,19,83,2,58,,,
10281,Total,794,553,69.65 %,,,27,28,,44,234,7,153,1,,
10287,Vote by Mail,13,12,92.31 %,,,,2,,1,6,,2,,,
10287,Polling Place,13,0,0.00 %,,,,,,,,,,,,
10287,Total,13,12,92.31 %,,,,2,,1,6,,2,,,
10291,Vote by Mail,1560,797,51.09 %,,,35,33,,78,274,16,292,1,,
10291,Polling Place,1560,296,18.97 %,,,20,11,,24,95,13,99,,,
10291,Total,1560,1093,70.06 %,,,55,44,,102,369,29,391,1,,
10310,Vote by Mail,1464,679,46.38 %,,,27,15,,42,296,25,219,2,,
10310,Polling Place,1464,302,20.63 %,,,21,9,,24,100,11,96,2,,
10310,Total,1464,981,67.01 %,,,48,24,,66,396,36,315,4,,
10351,Vote by Mail,990,479,48.38 %,,,12,23,,43,240,12,109,1,,
10351,Polling Place,990,265,26.77 %,,,10,9,,18,125,7,67,,,
10351,Total,990,744,75.15 %,,,22,32,,61,365,19,176,1,,
10381,Vote by Mail,1410,626,44.40 %,,,21,26,,71,337,16,111,,,
10381,Polling Place,1410,276,19.57 %,,,19,17,,20,155,10,27,2,,
10381,Total,1410,902,63.97 %,,,40,43,,91,492,26,138,2,,
10410,Vote by Mail,704,302,42.90 %,,,13,10,,34,105,6,92,1,,
10410,Polling Place,704,166,23.58 %,,,9,4,,18,69,3,49,1,,
10410,Total,704,468,66.48 %,,,22,14,,52,174,9,141,2,,
10442,Vote by Mail,50,28,56.00 %,,,,,,2,11,1,10,,,
10442,Polling Place,50,3,6.00 %,,,,,,1,1,,,,,
10442,Total,50,31,62.00 %,,,,,,3,12,1,10,,,
10521,Vote by Mail,114,73,64.04 %,,,5,2,,11,32,1,13,2,,
10521,Polling Place,114,6,5.26 %,,,1,,,,2,,,,,
10521,Total,114,79,69.30 %,,,6,2,,11,34,1,13,2,,
10541,Vote by Mail,265,181,68.30 %,,,13,6,,18,53,4,72,,,
10541,Polling Place,265,4,1.51 %,,,,,,1,1,1,,,,
10541,Total,265,185,69.81 %,,,13,6,,19,54,5,72,,,
10550,Vote by Mail,16,7,43.75 %,,,,4,,,1,,2,,,
10550,Polling Place,16,1,6.25 %,,,,,,,1,,,,,
10550,Total,16,8,50.00 %,,,,4,,,2,,2,,,
10552,Vote by Mail,0,0,,,,,,,,,,,,,
10552,Polling Place,0,0,,,,,,,,,,,,,
10552,Total,0,0,,,,,,,,,,,,,
10603,Vote by Mail,1199,552,46.04 %,,,24,15,,57,198,14,194,,,
10603,Polling Place,1199,269,22.44 %,,,24,17,,28,84,11,74,4,,
10603,Total,1199,821,68.47 %,,,48,32,,85,282,25,268,4,,
10620,Vote by Mail,1362,625,45.89 %,,,27,16,,65,242,9,221,1,,
10620,Polling Place,1362,271,19.90 %,,,12,6,,36,89,15,84,,,
10620,Total,1362,896,65.79 %,,,39,22,,101,331,24,305,1,,
10690,Vote by Mail,56,44,78.57 %,,,,,,4,20,4,9,,,
10690,Polling Place,56,1,1.79 %,,,,,,,,1,,,,
10690,Total,56,45,80.36 %,,,,,,4,20,5,9,,,
10762,Vote by Mail,21,14,66.67 %,,,,,,4,5,1,2,,,
10762,Polling Place,21,0,0.00 %,,,,,,,,,,,,
10762,Total,21,14,66.67 %,,,,,,4,5,1,2,,,
10781,Vote by Mail,304,202,66.45 %,,,6,9,,18,101,,55,,,
10781,Polling Place,304,3,0.99 %,,,,,,1,1,,,,,
10781,Total,304,205,67.43 %,,,6,9,,19,102,,55,,,
11010,Vote by Mail,1559,776,49.78 %,,,31,23,,83,323,18,194,,,
11010,Polling Place,1559,402,25.79 %,,,22,18,,47,160,11,89,,,
11010,Total,1559,1178,75.56 %,,,53,41,,130,483,29,283,,,
11120,Vote by Mail,944,518,54.87 %,,,18,18,,61,206,9,144,,,
11120,Polling Place,944,164,17.37 %,,,18,6,,11,64,5,26,,,
11120,Total,944,682,72.25 %,,,36,24,,72,270,14,170,,,
12010,Vote by Mail,343,141,41.11 %,,,8,10,,20,51,5,33,,,
12010,Polling Place,343,41,11.95 %,,,5,3,,3,15,5,4,1,,
12010,Total,343,182,53.06 %,,,13,13,,23,66,10,37,1,,
12022,Vote by Mail,88,42,47.73 %,,,2,,,3,18,4,12,,,
12022,Polling Place,88,1,1.14 %,,,,,,,,,1,,,
12022,Total,88,43,48.86 %,,,2,,,3,18,4,13,,,
12023,Vote by Mail,606,248,40.92 %,,,14,9,,30,84,11,77,,,
12023,Polling Place,606,115,18.98 %,,,9,6,,18,31,4,33,,,
12023,Total,606,363,59.90 %,,,23,15,,48,115,15,110,,,
12030,Vote by Mail,1620,744,45.93 %,,,30,26,,71,305,19,227,,,
12030,Polling Place,1620,290,17.90 %,,,18,7,,33,119,7,79,,,
12030,Total,1620,1034,63.83 %,,,48,33,,104,424,26,306,,,
14110,Vote by Mail,0,0,,,,,,,,,,,,,
14110,Polling Place,0,0,,,,,,,,,,,,,
14110,Total,0,0,,,,,,,,,,,,,
14121,Vote by Mail,1416,681,48.09 %,,,49,34,,105,241,27,135,,,
14121,Polling Place,1416,233,16.45 %,,,17,12,,41,74,4,50,2,,
14121,Total,1416,914,64.55 %,,,66,46,,146,315,31,185,2,,
14123,Vote by Mail,0,0,,,,,,,,,,,,,
14123,Polling Place,0,0,,,,,,,,,,,,,
14123,Total,0,0,,,,,,,,,,,,,
14133,Vote by Mail,5,3,60.00 %,,,,,,3,,,,,,
14133,Polling Place,5,0,0.00 %,,,,,,,,,,,,
14133,Total,5,3,60.00 %,,,,,,3,,,,,,
14141,Vote by Mail,191,112,58.64 %,,,7,5,,19,42,4,18,,,
14141,Polling Place,191,4,2.09 %,,,,1,,1,,,1,,,
14141,Total,191,116,60.73 %,,,7,6,,20,42,4,19,,,
,,,,,,,,,,,,,,,,
Total - Vote by Mail,,36549,17184,47.02 %,,,717,634,,1767,7145,457,4828,22,,
Total - Polling Place,,36549,7034,19.25 %,,,405,256,,725,2734,233,1808,28,,
Contest Total,,36549,24218,66.26 %,,,1122,890,,2492,9879,690,6636,50,,
