Santa Cruz,,,,,,,,,Precinct Canvass,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1 State Assembly Member 29th District,,,,,,,,,,
,,,,,,,1,1,,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - MARK STONE,REP - SHOMIR BANERJEE,,Write In,,
10020,Vote by Mail,1301,582,44.73 %,,,421,118,,,,
10020,Polling Place,1301,280,21.52 %,,,198,45,,1,,
10020,Total,1301,862,66.26 %,,,619,163,,1,,
10060,Vote by Mail,1261,581,46.07 %,,,455,89,,,,
10060,Polling Place,1261,260,20.62 %,,,212,32,,,,
10060,Total,1261,841,66.69 %,,,667,121,,,,
10080,Vote by Mail,1196,519,43.39 %,,,401,80,,2,,
10080,Polling Place,1196,224,18.73 %,,,174,29,,,,
10080,Total,1196,743,62.12 %,,,575,109,,2,,
10090,Vote by Mail,1240,507,40.89 %,,,383,79,,3,,
10090,Polling Place,1240,256,20.65 %,,,205,30,,1,,
10090,Total,1240,763,61.53 %,,,588,109,,4,,
10110,Vote by Mail,1264,494,39.08 %,,,383,76,,,,
10110,Polling Place,1264,263,20.81 %,,,203,45,,,,
10110,Total,1264,757,59.89 %,,,586,121,,,,
10120,Vote by Mail,1298,545,41.99 %,,,431,88,,2,,
10120,Polling Place,1298,308,23.73 %,,,240,40,,1,,
10120,Total,1298,853,65.72 %,,,671,128,,3,,
10130,Vote by Mail,1481,676,45.64 %,,,523,115,,1,,
10130,Polling Place,1481,265,17.89 %,,,205,37,,,,
10130,Total,1481,941,63.54 %,,,728,152,,1,,
10141,Vote by Mail,405,245,60.49 %,,,167,53,,,,
10141,Polling Place,405,71,17.53 %,,,49,17,,,,
10141,Total,405,316,78.02 %,,,216,70,,,,
10143,Vote by Mail,104,76,73.08 %,,,48,20,,,,
10143,Polling Place,104,7,6.73 %,,,5,,,,,
10143,Total,104,83,79.81 %,,,53,20,,,,
10144,Vote by Mail,1166,564,48.37 %,,,423,108,,,,
10144,Polling Place,1166,261,22.38 %,,,194,42,,1,,
10144,Total,1166,825,70.75 %,,,617,150,,1,,
10151,Vote by Mail,39,28,71.79 %,,,18,5,,,,
10151,Polling Place,39,1,2.56 %,,,1,,,,,
10151,Total,39,29,74.36 %,,,19,5,,,,
10161,Vote by Mail,712,357,50.14 %,,,237,91,,,,
10161,Polling Place,712,117,16.43 %,,,77,26,,,,
10161,Total,712,474,66.57 %,,,314,117,,,,
10164,Vote by Mail,221,135,61.09 %,,,83,37,,1,,
10164,Polling Place,221,2,0.90 %,,,1,1,,,,
10164,Total,221,137,61.99 %,,,84,38,,1,,
10170,Vote by Mail,831,362,43.56 %,,,250,80,,2,,
10170,Polling Place,831,214,25.75 %,,,171,20,,,,
10170,Total,831,576,69.31 %,,,421,100,,2,,
10190,Vote by Mail,1349,605,44.85 %,,,456,100,,2,,
10190,Polling Place,1349,287,21.28 %,,,205,45,,1,,
10190,Total,1349,892,66.12 %,,,661,145,,3,,
10201,Vote by Mail,578,267,46.19 %,,,185,51,,,,
10201,Polling Place,578,109,18.86 %,,,74,25,,,,
10201,Total,578,376,65.05 %,,,259,76,,,,
10204,Vote by Mail,48,30,62.50 %,,,18,10,,,,
10204,Polling Place,48,1,2.08 %,,,1,,,,,
10204,Total,48,31,64.58 %,,,19,10,,,,
10220,Vote by Mail,1197,534,44.61 %,,,421,70,,1,,
10220,Polling Place,1197,226,18.88 %,,,174,26,,,,
10220,Total,1197,760,63.49 %,,,595,96,,1,,
10231,Vote by Mail,185,121,65.41 %,,,81,32,,,,
10231,Polling Place,185,2,1.08 %,,,2,,,,,
10231,Total,185,123,66.49 %,,,83,32,,,,
10232,Vote by Mail,125,88,70.40 %,,,65,21,,,,
10232,Polling Place,125,4,3.20 %,,,3,,,,,
10232,Total,125,92,73.60 %,,,68,21,,,,
10240,Vote by Mail,819,352,42.98 %,,,257,76,,2,,
10240,Polling Place,819,154,18.80 %,,,124,18,,2,,
10240,Total,819,506,61.78 %,,,381,94,,4,,
10260,Vote by Mail,972,452,46.50 %,,,337,89,,,,
10260,Polling Place,972,205,21.09 %,,,147,36,,,,
10260,Total,972,657,67.59 %,,,484,125,,,,
10270,Vote by Mail,1343,629,46.84 %,,,508,88,,,,
10270,Polling Place,1343,193,14.37 %,,,156,24,,1,,
10270,Total,1343,822,61.21 %,,,664,112,,1,,
10280,Vote by Mail,320,201,62.81 %,,,135,51,,,,
10280,Polling Place,320,6,1.88 %,,,4,1,,,,
10280,Total,320,207,64.69 %,,,139,52,,,,
10281,Vote by Mail,794,348,43.83 %,,,252,78,,,,
10281,Polling Place,794,205,25.82 %,,,151,32,,1,,
10281,Total,794,553,69.65 %,,,403,110,,1,,
10287,Vote by Mail,13,12,92.31 %,,,7,5,,,,
10287,Polling Place,13,0,0.00 %,,,,,,,,
10287,Total,13,12,92.31 %,,,7,5,,,,
10291,Vote by Mail,1560,797,51.09 %,,,560,185,,1,,
10291,Polling Place,1560,296,18.97 %,,,200,64,,,,
10291,Total,1560,1093,70.06 %,,,760,249,,1,,
10310,Vote by Mail,1464,679,46.38 %,,,538,81,,2,,
10310,Polling Place,1464,302,20.63 %,,,229,29,,2,,
10310,Total,1464,981,67.01 %,,,767,110,,4,,
10351,Vote by Mail,990,479,48.38 %,,,344,105,,1,,
10351,Polling Place,990,265,26.77 %,,,189,54,,1,,
10351,Total,990,744,75.15 %,,,533,159,,2,,
10381,Vote by Mail,1410,626,44.40 %,,,435,142,,1,,
10381,Polling Place,1410,276,19.57 %,,,177,70,,1,,
10381,Total,1410,902,63.97 %,,,612,212,,2,,
10410,Vote by Mail,704,302,42.90 %,,,230,46,,1,,
10410,Polling Place,704,166,23.58 %,,,133,23,,,,
10410,Total,704,468,66.48 %,,,363,69,,1,,
10442,Vote by Mail,50,28,56.00 %,,,22,1,,,,
10442,Polling Place,50,3,6.00 %,,,2,,,,,
10442,Total,50,31,62.00 %,,,24,1,,,,
10521,Vote by Mail,114,73,64.04 %,,,54,14,,,,
10521,Polling Place,114,6,5.26 %,,,6,,,,,
10521,Total,114,79,69.30 %,,,60,14,,,,
10541,Vote by Mail,265,181,68.30 %,,,116,49,,,,
10541,Polling Place,265,4,1.51 %,,,3,,,,,
10541,Total,265,185,69.81 %,,,119,49,,,,
10550,Vote by Mail,16,7,43.75 %,,,2,5,,,,
10550,Polling Place,16,1,6.25 %,,,1,,,,,
10550,Total,16,8,50.00 %,,,3,5,,,,
10552,Vote by Mail,0,0,,,,,,,,,
10552,Polling Place,0,0,,,,,,,,,
10552,Total,0,0,,,,,,,,,
10603,Vote by Mail,1199,552,46.04 %,,,396,121,,2,,
10603,Polling Place,1199,269,22.44 %,,,202,41,,2,,
10603,Total,1199,821,68.47 %,,,598,162,,4,,
10620,Vote by Mail,1362,625,45.89 %,,,481,107,,4,,
10620,Polling Place,1362,271,19.90 %,,,194,48,,,,
10620,Total,1362,896,65.79 %,,,675,155,,4,,
10690,Vote by Mail,56,44,78.57 %,,,31,9,,,,
10690,Polling Place,56,1,1.79 %,,,,,,,,
10690,Total,56,45,80.36 %,,,31,9,,,,
10762,Vote by Mail,21,14,66.67 %,,,5,8,,,,
10762,Polling Place,21,0,0.00 %,,,,,,,,
10762,Total,21,14,66.67 %,,,5,8,,,,
10781,Vote by Mail,304,202,66.45 %,,,146,47,,,,
10781,Polling Place,304,3,0.99 %,,,3,,,,,
10781,Total,304,205,67.43 %,,,149,47,,,,
11010,Vote by Mail,1559,776,49.78 %,,,553,166,,3,,
11010,Polling Place,1559,402,25.79 %,,,296,76,,,,
11010,Total,1559,1178,75.56 %,,,849,242,,3,,
11120,Vote by Mail,944,518,54.87 %,,,350,134,,,,
11120,Polling Place,944,164,17.37 %,,,121,30,,1,,
11120,Total,944,682,72.25 %,,,471,164,,1,,
12010,Vote by Mail,343,141,41.11 %,,,108,23,,,,
12010,Polling Place,343,41,11.95 %,,,36,4,,1,,
12010,Total,343,182,53.06 %,,,144,27,,1,,
12022,Vote by Mail,88,42,47.73 %,,,35,4,,,,
12022,Polling Place,88,1,1.14 %,,,1,,,,,
12022,Total,88,43,48.86 %,,,36,4,,,,
12023,Vote by Mail,606,248,40.92 %,,,186,47,,,,
12023,Polling Place,606,115,18.98 %,,,86,18,,,,
12023,Total,606,363,59.90 %,,,272,65,,,,
12030,Vote by Mail,1620,744,45.93 %,,,575,119,,1,,
12030,Polling Place,1620,290,17.90 %,,,228,43,,,,
12030,Total,1620,1034,63.83 %,,,803,162,,1,,
14110,Vote by Mail,0,0,,,,,,,,,
14110,Polling Place,0,0,,,,,,,,,
14110,Total,0,0,,,,,,,,,
14121,Vote by Mail,1416,681,48.09 %,,,425,208,,2,,
14121,Polling Place,1416,233,16.45 %,,,157,51,,3,,
14121,Total,1416,914,64.55 %,,,582,259,,5,,
14123,Vote by Mail,0,0,,,,,,,,,
14123,Polling Place,0,0,,,,,,,,,
14123,Total,0,0,,,,,,,,,
14133,Vote by Mail,5,3,60.00 %,,,,3,,,,
14133,Polling Place,5,0,0.00 %,,,,,,,,
14133,Total,5,3,60.00 %,,,,3,,,,
14141,Vote by Mail,191,112,58.64 %,,,60,42,,,,
14141,Polling Place,191,4,2.09 %,,,3,1,,,,
14141,Total,191,116,60.73 %,,,63,43,,,,
20013,Vote by Mail,543,217,39.96 %,,,150,58,,,,
20013,Polling Place,543,72,13.26 %,,,34,26,,1,,
20013,Total,543,289,53.22 %,,,184,84,,1,,
