Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,1 Presidential Preference REP,,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,1,1,
,,Registered Voters,Voters Cast,Turnout (%),,,ROBERT ARDINI,JOE WALSH,,BILL WELD,"ROQUE ""ROCKY"" DE LA FUENTE",MATTHEW JOHN MATERN,ZOLTAN G. ISTVAN,DONALD J. TRUMP,Write In,Denis C. Grasska,Robert Lee Manning JR,
10020,Vote by Mail,181,87,48.07 %,,,1,4,,2,2,,,70,1,,,
10020,Polling Place,181,21,11.60 %,,,1,1,,1,1,,,13,2,,,
10020,Total,181,108,59.67 %,,,2,5,,3,3,,,83,3,,,
10060,Vote by Mail,134,68,50.75 %,,,,2,,1,,,,54,2,,,
10060,Polling Place,134,17,12.69 %,,,,1,,,,,,16,,,,
10060,Total,134,85,63.43 %,,,,3,,1,,,,70,2,,,
10080,Vote by Mail,142,65,45.77 %,,,,5,,3,,,,54,2,,,
10080,Polling Place,142,18,12.68 %,,,,,,1,,,,15,1,,,
10080,Total,142,83,58.45 %,,,,5,,4,,,,69,3,,,
10090,Vote by Mail,137,61,44.53 %,,,1,3,,,3,,,45,3,,,
10090,Polling Place,137,22,16.06 %,,,,1,,,1,,1,18,,,,
10090,Total,137,83,60.58 %,,,1,4,,,4,,1,63,3,,,
10110,Vote by Mail,153,49,32.03 %,,,1,3,,,1,,,41,3,,,
10110,Polling Place,153,30,19.61 %,,,1,2,,1,,,1,25,,,,
10110,Total,153,79,51.63 %,,,2,5,,1,1,,1,66,3,,,
10120,Vote by Mail,136,56,41.18 %,,,,3,,1,,,1,43,2,,,
10120,Polling Place,136,26,19.12 %,,,,,,,,,,22,2,,,
10120,Total,136,82,60.29 %,,,,3,,1,,,1,65,4,,,
10130,Vote by Mail,221,111,50.23 %,,,2,1,,8,1,,1,83,3,,,
10130,Polling Place,221,25,11.31 %,,,,1,,,1,,,21,,,,
10130,Total,221,136,61.54 %,,,2,2,,8,2,,1,104,3,,,
10141,Vote by Mail,92,50,54.35 %,,,4,3,,2,,,,34,1,,,
10141,Polling Place,92,16,17.39 %,,,,,,2,,,,13,,,,
10141,Total,92,66,71.74 %,,,4,3,,4,,,,47,1,,,
10143,Vote by Mail,26,21,80.77 %,,,,1,,1,1,,,18,,,,
10143,Polling Place,26,0,0.00 %,,,,,,,,,,,,,,
10143,Total,26,21,80.77 %,,,,1,,1,1,,,18,,,,
10144,Vote by Mail,149,85,57.05 %,,,2,1,,5,,,,64,3,,,
10144,Polling Place,149,16,10.74 %,,,,,,,,,1,14,,,,
10144,Total,149,101,67.79 %,,,2,1,,5,,,1,78,3,,,
10151,Vote by Mail,6,6,100.00 %,,,,2,,,,,,4,,,,
10151,Polling Place,6,0,0.00 %,,,,,,,,,,,,,,
10151,Total,6,6,100.00 %,,,,2,,,,,,4,,,,
10161,Vote by Mail,148,86,58.11 %,,,4,2,,3,1,2,,65,6,,,
10161,Polling Place,148,17,11.49 %,,,,,,1,,,,15,,,,
10161,Total,148,103,69.59 %,,,4,2,,4,1,2,,80,6,,,
10164,Vote by Mail,39,27,69.23 %,,,,1,,1,,,,20,,,,
10164,Polling Place,39,1,2.56 %,,,,,,,,,,1,,,,
10164,Total,39,28,71.79 %,,,,1,,1,,,,21,,,,
10170,Vote by Mail,101,55,54.46 %,,,,,,1,,1,,49,1,,,
10170,Polling Place,101,10,9.90 %,,,,,,1,,,,9,,,,
10170,Total,101,65,64.36 %,,,,,,2,,1,,58,1,,,
10190,Vote by Mail,149,78,52.35 %,,,,8,,2,2,,,57,1,,,
10190,Polling Place,149,21,14.09 %,,,,,,,,,,19,1,,,
10190,Total,149,99,66.44 %,,,,8,,2,2,,,76,2,,,
10201,Vote by Mail,113,46,40.71 %,,,,6,,1,1,,,30,3,,,
10201,Polling Place,113,18,15.93 %,,,,1,,,,,,17,,,,
10201,Total,113,64,56.64 %,,,,7,,1,1,,,47,3,,,
10204,Vote by Mail,10,9,90.00 %,,,,,,,,,,9,,,,
10204,Polling Place,10,0,0.00 %,,,,,,,,,,,,,,
10204,Total,10,9,90.00 %,,,,,,,,,,9,,,,
10220,Vote by Mail,137,59,43.07 %,,,1,2,,,1,,1,46,5,,,
10220,Polling Place,137,23,16.79 %,,,,1,,2,,,,15,,,,
10220,Total,137,82,59.85 %,,,1,3,,2,1,,1,61,5,,,
10231,Vote by Mail,34,22,64.71 %,,,1,,,4,,,,16,,,,
10231,Polling Place,34,0,0.00 %,,,,,,,,,,,,,,
10231,Total,34,22,64.71 %,,,1,,,4,,,,16,,,,
10232,Vote by Mail,27,20,74.07 %,,,,1,,1,1,,,15,,,,
10232,Polling Place,27,0,0.00 %,,,,,,,,,,,,,,
10232,Total,27,20,74.07 %,,,,1,,1,1,,,15,,,,
10240,Vote by Mail,106,62,58.49 %,,,,2,,,,1,2,53,2,,,
10240,Polling Place,106,13,12.26 %,,,,,,,,,,11,,,,
10240,Total,106,75,70.75 %,,,,2,,,,1,2,64,2,,,
10260,Vote by Mail,143,66,46.15 %,,,,2,,6,,1,2,44,4,,,
10260,Polling Place,143,24,16.78 %,,,,,,,,,1,18,,,,
10260,Total,143,90,62.94 %,,,,2,,6,,1,3,62,4,,,
10270,Vote by Mail,185,82,44.32 %,,,2,7,,4,1,2,1,57,3,,,
10270,Polling Place,185,17,9.19 %,,,1,2,,1,,,,13,,,,
10270,Total,185,99,53.51 %,,,3,9,,5,1,2,1,70,3,,,
10280,Vote by Mail,53,38,71.70 %,,,,1,,5,,1,,26,2,,,
10280,Polling Place,53,0,0.00 %,,,,,,,,,,,,,,
10280,Total,53,38,71.70 %,,,,1,,5,,1,,26,2,,,
10281,Vote by Mail,125,64,51.20 %,,,,3,,,,,,56,1,,,
10281,Polling Place,125,19,15.20 %,,,,,,,1,,,17,,,,
10281,Total,125,83,66.40 %,,,,3,,,1,,,73,1,,,
10287,Vote by Mail,4,4,100.00 %,,,,,,,,,,4,,,,
10287,Polling Place,4,0,0.00 %,,,,,,,,,,,,,,
10287,Total,4,4,100.00 %,,,,,,,,,,4,,,,
10291,Vote by Mail,292,156,53.42 %,,,,4,,5,1,1,,128,5,,,
10291,Polling Place,292,55,18.84 %,,,1,1,,1,1,1,,46,,,,
10291,Total,292,211,72.26 %,,,1,5,,6,2,2,,174,5,,,
10310,Vote by Mail,148,73,49.32 %,,,,4,,,1,2,2,58,4,,,
10310,Polling Place,148,18,12.16 %,,,1,,,1,,,,14,1,,,
10310,Total,148,91,61.49 %,,,1,4,,1,1,2,2,72,5,,,
