Santa Cruz,,,,,,,,,Precinct Canvass,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1 Presidential Preference PAF,,,,,,,,,,
,,,,,,,1,1,,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,HOWIE HAWKINS,GLORIA LA RIVA,,Write In,,
10541,Total,2,1,50.00 %,,,,1,,,,
10550,Vote by Mail,0,0,,,,,,,,,
10550,Polling Place,0,0,,,,,,,,,
10550,Total,0,0,,,,,,,,,
10552,Vote by Mail,0,0,,,,,,,,,
10552,Polling Place,0,0,,,,,,,,,
10552,Total,0,0,,,,,,,,,
10603,Vote by Mail,3,0,0.00 %,,,,,,,,
10603,Polling Place,3,0,0.00 %,,,,,,,,
10603,Total,3,0,0.00 %,,,,,,,,
10620,Vote by Mail,2,0,0.00 %,,,,,,,,
10620,Polling Place,2,1,50.00 %,,,,,,1,,
10620,Total,2,1,50.00 %,,,,,,1,,
10690,Vote by Mail,0,0,,,,,,,,,
10690,Polling Place,0,0,,,,,,,,,
10690,Total,0,0,,,,,,,,,
10762,Vote by Mail,0,0,,,,,,,,,
10762,Polling Place,0,0,,,,,,,,,
10762,Total,0,0,,,,,,,,,
10781,Vote by Mail,0,0,,,,,,,,,
10781,Polling Place,0,0,,,,,,,,,
10781,Total,0,0,,,,,,,,,
11010,Vote by Mail,2,0,0.00 %,,,,,,,,
11010,Polling Place,2,0,0.00 %,,,,,,,,
11010,Total,2,0,0.00 %,,,,,,,,
11120,Vote by Mail,2,1,50.00 %,,,1,,,,,
11120,Polling Place,2,0,0.00 %,,,,,,,,
11120,Total,2,1,50.00 %,,,1,,,,,
12010,Vote by Mail,2,1,50.00 %,,,,,,,,
12010,Polling Place,2,0,0.00 %,,,,,,,,
12010,Total,2,1,50.00 %,,,,,,,,
12022,Vote by Mail,1,0,0.00 %,,,,,,,,
12022,Polling Place,1,0,0.00 %,,,,,,,,
12022,Total,1,0,0.00 %,,,,,,,,
12023,Vote by Mail,1,1,100.00 %,,,1,,,,,
12023,Polling Place,1,0,0.00 %,,,,,,,,
12023,Total,1,1,100.00 %,,,1,,,,,
12030,Vote by Mail,5,3,60.00 %,,,1,2,,,,
12030,Polling Place,5,0,0.00 %,,,,,,,,
12030,Total,5,3,60.00 %,,,1,2,,,,
14110,Vote by Mail,0,0,,,,,,,,,
14110,Polling Place,0,0,,,,,,,,,
14110,Total,0,0,,,,,,,,,
14121,Vote by Mail,2,1,50.00 %,,,,1,,,,
14121,Polling Place,2,0,0.00 %,,,,,,,,
14121,Total,2,1,50.00 %,,,,1,,,,
14123,Vote by Mail,0,0,,,,,,,,,
14123,Polling Place,0,0,,,,,,,,,
14123,Total,0,0,,,,,,,,,
14133,Vote by Mail,0,0,,,,,,,,,
14133,Polling Place,0,0,,,,,,,,,
14133,Total,0,0,,,,,,,,,
14141,Vote by Mail,0,0,,,,,,,,,
14141,Polling Place,0,0,,,,,,,,,
14141,Total,0,0,,,,,,,,,
20011,Vote by Mail,7,1,14.29 %,,,,,,,,
20011,Polling Place,7,0,0.00 %,,,,,,,,
20011,Total,7,1,14.29 %,,,,,,,,
20013,Vote by Mail,1,0,0.00 %,,,,,,,,
20013,Polling Place,1,0,0.00 %,,,,,,,,
20013,Total,1,0,0.00 %,,,,,,,,
20020,Vote by Mail,10,0,0.00 %,,,,,,,,
20020,Polling Place,10,1,10.00 %,,,,1,,,,
20020,Total,10,1,10.00 %,,,,1,,,,
20041,Vote by Mail,4,0,0.00 %,,,,,,,,
20041,Polling Place,4,0,0.00 %,,,,,,,,
20041,Total,4,0,0.00 %,,,,,,,,
20044,Vote by Mail,2,0,0.00 %,,,,,,,,
20044,Polling Place,2,1,50.00 %,,,,1,,,,
20044,Total,2,1,50.00 %,,,,1,,,,
20061,Vote by Mail,1,0,0.00 %,,,,,,,,
20061,Polling Place,1,0,0.00 %,,,,,,,,
20061,Total,1,0,0.00 %,,,,,,,,
20093,Vote by Mail,0,0,,,,,,,,,
20093,Polling Place,0,0,,,,,,,,,
20093,Total,0,0,,,,,,,,,
20096,Vote by Mail,0,0,,,,,,,,,
20096,Polling Place,0,0,,,,,,,,,
20096,Total,0,0,,,,,,,,,
20101,Vote by Mail,5,1,20.00 %,,,,,,1,,
20101,Polling Place,5,0,0.00 %,,,,,,,,
20101,Total,5,1,20.00 %,,,,,,1,,
20150,Vote by Mail,1,1,100.00 %,,,1,,,,,
20150,Polling Place,1,0,0.00 %,,,,,,,,
20150,Total,1,1,100.00 %,,,1,,,,,
20221,Vote by Mail,4,2,50.00 %,,,,1,,1,,
20221,Polling Place,4,0,0.00 %,,,,,,,,
20221,Total,4,2,50.00 %,,,,1,,1,,
20232,Vote by Mail,1,0,0.00 %,,,,,,,,
20232,Polling Place,1,0,0.00 %,,,,,,,,
20232,Total,1,0,0.00 %,,,,,,,,
20241,Vote by Mail,0,0,,,,,,,,,
20241,Polling Place,0,0,,,,,,,,,
20241,Total,0,0,,,,,,,,,
20242,Vote by Mail,2,1,50.00 %,,,,,,,,
20242,Polling Place,2,0,0.00 %,,,,,,,,
20242,Total,2,1,50.00 %,,,,,,,,
20251,Vote by Mail,5,1,20.00 %,,,,,,,,
20251,Polling Place,5,0,0.00 %,,,,,,,,
20251,Total,5,1,20.00 %,,,,,,,,
20253,Vote by Mail,0,0,,,,,,,,,
20253,Polling Place,0,0,,,,,,,,,
20253,Total,0,0,,,,,,,,,
20260,Vote by Mail,2,0,0.00 %,,,,,,,,
20260,Polling Place,2,1,50.00 %,,,1,,,,,
20260,Total,2,1,50.00 %,,,1,,,,,
20280,Vote by Mail,6,0,0.00 %,,,,,,,,
20280,Polling Place,6,0,0.00 %,,,,,,,,
20280,Total,6,0,0.00 %,,,,,,,,
20300,Vote by Mail,2,0,0.00 %,,,,,,,,
20300,Polling Place,2,0,0.00 %,,,,,,,,
20300,Total,2,0,0.00 %,,,,,,,,
20320,Vote by Mail,4,0,0.00 %,,,,,,,,
20320,Polling Place,4,0,0.00 %,,,,,,,,
20320,Total,4,0,0.00 %,,,,,,,,
20330,Vote by Mail,1,0,0.00 %,,,,,,,,
20330,Polling Place,1,0,0.00 %,,,,,,,,
20330,Total,1,0,0.00 %,,,,,,,,
20341,Vote by Mail,3,0,0.00 %,,,,,,,,
20341,Polling Place,3,1,33.33 %,,,,1,,,,
20341,Total,3,1,33.33 %,,,,1,,,,
20351,Vote by Mail,2,0,0.00 %,,,,,,,,
20351,Polling Place,2,0,0.00 %,,,,,,,,
20351,Total,2,0,0.00 %,,,,,,,,
20354,Vote by Mail,4,1,25.00 %,,,,,,,,
20354,Polling Place,4,2,50.00 %,,,,,,2,,
20354,Total,4,3,75.00 %,,,,,,2,,
20402,Vote by Mail,4,0,0.00 %,,,,,,,,
20402,Polling Place,4,1,25.00 %,,,1,,,,,
20402,Total,4,1,25.00 %,,,1,,,,,
20520,Vote by Mail,2,1,50.00 %,,,,1,,,,
20520,Polling Place,2,0,0.00 %,,,,,,,,
20520,Total,2,1,50.00 %,,,,1,,,,
20551,Vote by Mail,4,1,25.00 %,,,1,,,,,
20551,Polling Place,4,0,0.00 %,,,,,,,,
20551,Total,4,1,25.00 %,,,1,,,,,
20591,Vote by Mail,0,0,,,,,,,,,
20591,Polling Place,0,0,,,,,,,,,
20591,Total,0,0,,,,,,,,,
20622,Vote by Mail,0,0,,,,,,,,,
20622,Polling Place,0,0,,,,,,,,,
20622,Total,0,0,,,,,,,,,
22010,Vote by Mail,5,1,20.00 %,,,1,,,,,
22010,Polling Place,5,1,20.00 %,,,,,,,,
22010,Total,5,2,40.00 %,,,1,,,,,
22040,Vote by Mail,3,1,33.33 %,,,,,,,,
22040,Polling Place,3,0,0.00 %,,,,,,,,
22040,Total,3,1,33.33 %,,,,,,,,
22050,Vote by Mail,7,1,14.29 %,,,,1,,,,
22050,Polling Place,7,0,0.00 %,,,,,,,,
22050,Total,7,1,14.29 %,,,,1,,,,
23190,Vote by Mail,0,0,,,,,,,,,
23190,Polling Place,0,0,,,,,,,,,
23190,Total,0,0,,,,,,,,,
23311,Vote by Mail,22,6,27.27 %,,,2,1,,1,,
23311,Polling Place,22,0,0.00 %,,,,,,,,
23311,Total,22,6,27.27 %,,,2,1,,1,,
23312,Vote by Mail,12,2,16.67 %,,,1,,,1,,
23312,Polling Place,12,0,0.00 %,,,,,,,,
23312,Total,12,2,16.67 %,,,1,,,1,,
