district,BALLOTS CAST,JOSEPH R. BIDEN,ELIZABETH WARREN,BERNIE SANDERS
68,46953,9169,3786,25689
59,46719,14955,5305,14489
67,41585,10388,3597,18249
70,44189,11206,3713,18065
64,6851,2059,565,2774
72,78302,24769,9021,21137
74,30316,9984,3334,7924
71,27239,8878,3062,7932
73,61553,15703,7805,24884
