district,BALLOTS CAST,JOSEPH R. BIDEN,ELIZABETH WARREN,BERNIE SANDERS
38,181512,50619,19119,67900
42,138020,47410,15655,37191
loose,75447,25059,10701,32002
46,940,440,112,184
