district,BALLOTS CAST,JOSEPH R. BIDEN,ELIZABETH WARREN,BERNIE SANDERS
14,81560,17808,23864,28523
18,131189,28948,30598,54019
20,83787,22952,9340,32440
16,33163,10855,4413,8885
24,40511,11450,4263,14649
