district,BALLOTS CAST,JOSEPH R. BIDEN,ELIZABETH WARREN,BERNIE SANDERS
34,22097,7350,1936,7104
36,388,138,22,89
39,12975,4180,758,5269
47,12559,3893,1394,4234
41,13943,4921,1430,4281
45,40960,12664,2563,17558
50,46960,14431,3555,20118
58,1420,495,128,465
53,28398,8377,1919,12659
59,10267,3647,891,3487
