COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
LOS ANGELES CITY GEN-MAYOR, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN RUTH BASS,RICK J CARUSO,
LOS ANGELES,9000073A,1105,29,N,2906,TOTAL,1244,549,657, 
LOS ANGELES,9000074B,1106,9,N, ,POLLING PLACE,137,44,89, 
LOS ANGELES,9000074B,1106,9,N, ,VBM PORTION,468,191,263, 
LOS ANGELES,9000074B,1106,9,N,1702,TOTAL,605,235,352, 
LOS ANGELES,9000082A,1107,29,N, ,POLLING PLACE,212,53,157, 
LOS ANGELES,9000082A,1107,29,N, ,VBM PORTION,875,435,422, 
LOS ANGELES,9000082A,1107,29,N,2438,TOTAL,1087,488,579, 
LOS ANGELES,9000086A,1108,7,N, ,POLLING PLACE,220,56,159, 
LOS ANGELES,9000086A,1108,7,N, ,VBM PORTION,960,487,439, 
LOS ANGELES,9000086A,1108,7,N,2353,TOTAL,1180,543,598, 
LOS ANGELES,9000087A,1109,28,N, ,POLLING PLACE,233,56,167, 
LOS ANGELES,9000087A,1109,28,N, ,VBM PORTION,724,292,397, 
LOS ANGELES,9000087A,1109,28,N,2207,TOTAL,957,348,564, 
LOS ANGELES,9000090A,1110,9,N, ,POLLING PLACE,139,47,85, 
LOS ANGELES,9000090A,1110,9,N, ,VBM PORTION,644,280,342, 
LOS ANGELES,9000090A,1110,9,N,2627,TOTAL,783,327,427, 
LOS ANGELES,9000091A,1111,777,N, ,POLLING PLACE,324,85,235, 
LOS ANGELES,9000091A,1111,777,N, ,VBM PORTION,1014,436,547, 
LOS ANGELES,9000091A,1111,777,N,2597,TOTAL,1338,521,782, 
LOS ANGELES,9000092A,1112,777,N, ,POLLING PLACE,240,90,143, 
LOS ANGELES,9000092A,1112,777,N, ,VBM PORTION,994,413,555, 
LOS ANGELES,9000092A,1112,777,N,2549,TOTAL,1234,503,698, 
LOS ANGELES,9000094A,1113,9,N, ,POLLING PLACE,197,75,119, 
LOS ANGELES,9000094A,1113,9,N, ,VBM PORTION,686,284,382, 
LOS ANGELES,9000094A,1113,9,N,3112,TOTAL,883,359,501, 
LOS ANGELES,9000096B,7574,30,N, ,POLLING PLACE,222,54,160, 
LOS ANGELES,9000096B,7574,30,N, ,VBM PORTION,647,267,359, 
LOS ANGELES,9000096B,7574,30,N,1769,TOTAL,869,321,519, 
LOS ANGELES,9000097C,1114,9,N, ,POLLING PLACE,162,71,88, 
LOS ANGELES,9000097C,1114,9,N, ,VBM PORTION,793,318,463, 
LOS ANGELES,9000097C,1114,9,N,2695,TOTAL,955,389,551, 
LOS ANGELES,9000099A,1115,30,N, ,POLLING PLACE,273,70,193, 
LOS ANGELES,9000099A,1115,30,N, ,VBM PORTION,1288,589,665, 
LOS ANGELES,9000099A,1115,30,N,3444,TOTAL,1561,659,858, 
LOS ANGELES,9000102A,1116,9,N, ,POLLING PLACE,198,66,121, 
LOS ANGELES,9000102A,1116,9,N, ,VBM PORTION,852,412,412, 
LOS ANGELES,9000102A,1116,9,N,3047,TOTAL,1050,478,533, 
LOS ANGELES,9000110A,1117,9,N, ,POLLING PLACE,187,69,110, 
LOS ANGELES,9000110A,1117,9,N, ,VBM PORTION,575,239,315, 
LOS ANGELES,9000110A,1117,9,N,2917,TOTAL,762,308,425, 
LOS ANGELES,9000113A,1118,9,N, ,POLLING PLACE,183,83,97, 
LOS ANGELES,9000113A,1118,9,N, ,VBM PORTION,582,257,318, 
LOS ANGELES,9000113A,1118,9,N,2497,TOTAL,765,340,415, 
LOS ANGELES,9000115A,1119,30,N, ,POLLING PLACE,253,75,166, 
LOS ANGELES,9000115A,1119,30,N, ,VBM PORTION,954,448,482, 
LOS ANGELES,9000115A,1119,30,N,3711,TOTAL,1207,523,648, 
LOS ANGELES,9000118A,1120,771,N, ,POLLING PLACE,306,102,196, 
LOS ANGELES,9000118A,1120,771,N, ,VBM PORTION,1361,638,681, 
LOS ANGELES,9000118A,1120,771,N,3883,TOTAL,1667,740,877, 
LOS ANGELES,9000121A,1121,771,N, ,POLLING PLACE,386,122,257, 
LOS ANGELES,9000121A,1121,771,N, ,VBM PORTION,1083,461,597, 
LOS ANGELES,9000121A,1121,771,N,2890,TOTAL,1469,583,854, 
LOS ANGELES,9000129A,1122,30,N, ,POLLING PLACE,227,71,148, 
LOS ANGELES,9000129A,1122,30,N, ,VBM PORTION,973,449,491, 
LOS ANGELES,9000129A,1122,30,N,3017,TOTAL,1200,520,639, 
LOS ANGELES,9000130C,7575,774,N, ,POLLING PLACE,28,6,22, 
LOS ANGELES,9000130C,7575,774,N, ,VBM PORTION,162,79,80, 
LOS ANGELES,9000130C,7575,774,N,326,TOTAL,190,85,102, 
LOS ANGELES,9000132A,1123,12,N, ,POLLING PLACE,234,96,131, 
LOS ANGELES,9000132A,1123,12,N, ,VBM PORTION,1039,529,486, 
LOS ANGELES,9000132A,1123,12,N,3201,TOTAL,1273,625,617, 
LOS ANGELES,9000135A,1124,617,N, ,POLLING PLACE,182,76,102, 
LOS ANGELES,9000135A,1124,617,N, ,VBM PORTION,667,329,320, 
LOS ANGELES,9000135A,1124,617,N,2720,TOTAL,849,405,422, 
LOS ANGELES,9000141A,1125,9,N, ,POLLING PLACE,218,72,139, 
LOS ANGELES,9000141A,1125,9,N, ,VBM PORTION,721,298,397, 
LOS ANGELES,9000141A,1125,9,N,2681,TOTAL,939,370,536, 
LOS ANGELES,9000149A,1126,12,N, ,POLLING PLACE,243,101,130, 
LOS ANGELES,9000149A,1126,12,N, ,VBM PORTION,859,424,413, 
LOS ANGELES,9000149A,1126,12,N,3193,TOTAL,1102,525,543, 
LOS ANGELES,9000151A,1127,12,N, ,POLLING PLACE,247,108,133, 
LOS ANGELES,9000151A,1127,12,N, ,VBM PORTION,1096,635,432, 
LOS ANGELES,9000151A,1127,12,N,3526,TOTAL,1343,743,565, 
LOS ANGELES,9000153A,1128,12,N, ,POLLING PLACE,258,98,156, 
LOS ANGELES,9000153A,1128,12,N, ,VBM PORTION,1044,610,403, 
