President of the United States Presidential Preference - DEMOCRATIC - Vote for ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Party Member Registration,,,Party Member Ballots Cast,,,,,,Turnout (%),,,Declined to State Voter Ballots Cast,,,Julián Castro,,,,,Michael A. Ellinger,,,,,Elizabeth Warren,,,Marianne Williamson,,,Andrew Yang,,,,"Roque ""Rocky"" De La Fuente III",,,,John K. Delaney,,,
117006,,,,,,,"1,779",,,675,,,,,,37.9,,,34,,,7,,,,,3,,,,,32,,,0,,,3,,,,3,,,,0,,,
117009,,,,,,,"1,381",,,659,,,,,,47.7,,,114,,,1,,,,,1,,,,,54,,,1,,,2,,,,1,,,,0,,,
117014,,,,,,,"1,042",,,506,,,,,,48.6,,,62,,,1,,,,,0,,,,,49,,,1,,,1,,,,0,,,,0,,,
117016,,,,,,,"1,486",,,620,,,,,,41.7,,,59,,,2,,,,,3,,,,,34,,,2,,,5,,,,0,,,,4,,,
117021,,,,,,,"1,018",,,570,,,,,,56.0,,,49,,,2,,,,,1,,,,,54,,,1,,,6,,,,2,,,,0,,,
117023,,,,,,,256,,,94,,,,,,36.7,,,1,,,1,,,,,2,,,,,1,,,0,,,0,,,,0,,,,0,,,
117027,,,,,,,"1,692",,,"1,105",,,,,,65.3,,,108,,,0,,,,,0,,,,,167,,,1,,,5,,,,1,,,,0,,,
117028,,,,,,,"1,259",,,681,,,,,,54.1,,,57,,,3,,,,,0,,,,,69,,,1,,,5,,,,1,,,,1,,,
117029,,,,,,,"1,377",,,740,,,,,,53.7,,,49,,,3,,,,,0,,,,,43,,,0,,,4,,,,0,,,,0,,,
117036,,,,,,,"1,458",,,847,,,,,,58.1,,,81,,,1,,,,,1,,,,,93,,,0,,,4,,,,0,,,,1,,,
117040,,,,,,,"1,150",,,733,,,,,,63.7,,,65,,,3,,,,,1,,,,,66,,,1,,,3,,,,3,,,,0,,,
117043,,,,,,,"1,375",,,822,,,,,,59.8,,,51,,,0,,,,,0,,,,,82,,,1,,,4,,,,1,,,,0,,,
117045,,,,,,,"1,277",,,588,,,,,,46.0,,,58,,,0,,,,,0,,,,,63,,,1,,,3,,,,0,,,,1,,,
117052,,,,,,,951,,,554,,,,,,58.3,,,51,,,1,,,,,0,,,,,41,,,1,,,4,,,,1,,,,0,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Amy Klobuchar,,,,,Bernie Sanders,,,,,,,Joe Sestak,,,,,Tom Steyer,,,,Deval Patrick,,,,,Michael Bennet,,,Michael R. Bloomberg,,,,Mosie Boyd,,,,Cory Booker,,,,,
101002,,,,,,,0,,,,,,,,,,34,,,,0,,,,,2,,,,,0,,,0,,,10,,,,,,0,,0,,,,
102001,,,,,,,5,,,,,,,,,,154,,,,1,,,,,12,,,,,1,,,2,,,61,,,,,,0,,0,,,,
102002,,,,,,,0,,,,,,,,,,19,,,,0,,,,,0,,,,,0,,,0,,,4,,,,,,0,,0,,,,
102003,,,,,,,0,,,,,,,,,,38,,,,0,,,,,2,,,,,0,,,0,,,14,,,,,,0,,0,,,,
102005,,,,,,,1,,,,,,,,,,167,,,,0,,,,,7,,,,,0,,,0,,,32,,,,,,0,,0,,,,
102007,,,,,,,0,,,,,,,,,,19,,,,0,,,,,5,,,,,0,,,0,,,18,,,,,,0,,0,,,,
103001,,,,,,,9,,,,,,,,,,278,,,,0,,,,,14,,,,,1,,,1,,,81,,,,,,0,,1,,,,
103002,,,,,,,8,,,,,,,,,,295,,,,4,,,,,30,,,,,2,,,2,,,115,,,,,,3,,3,,,,
103003,,,,,,,2,,,,,,,,,,182,,,,0,,,,,19,,,,,0,,,4,,,54,,,,,,0,,2,,,,
103004,,,,,,,4,,,,,,,,,,120,,,,0,,,,,13,,,,,0,,,0,,,58,,,,,,0,,1,,,,
103005,,,,,,,5,,,,,,,,,,322,,,,1,,,,,13,,,,,1,,,1,,,85,,,,,,0,,1,,,,
103009,,,,,,,11,,,,,,,,,,161,,,,0,,,,,20,,,,,0,,,0,,,66,,,,,,0,,0,,,,
103016,,,,,,,8,,,,,,,,,,205,,,,0,,,,,11,,,,,0,,,2,,,42,,,,,,0,,0,,,,
103026,,,,,,,6,,,,,,,,,,316,,,,2,,,,,6,,,,,1,,,2,,,79,,,,,,0,,2,,,,
104001,,,,,,,10,,,,,,,,,,61,,,,0,,,,,9,,,,,1,,,0,,,38,,,,,,1,,0,,,,
104004,,,,,,,0,,,,,,,,,,21,,,,0,,,,,5,,,,,0,,,1,,,10,,,,,,0,,1,,,,
105002,,,,,,,2,,,,,,,,,,47,,,,0,,,,,3,,,,,0,,,0,,,21,,,,,,1,,1,,,,
105003,,,,,,,4,,,,,,,,,,10,,,,0,,,,,0,,,,,0,,,0,,,7,,,,,,0,,0,,,,
105004,,,,,,,0,,,,,,,,,,13,,,,0,,,,,3,,,,,0,,,1,,,4,,,,,,0,,0,,,,
106001,,,,,,,6,,,,,,,,,,240,,,,0,,,,,12,,,,,0,,,3,,,62,,,,,,0,,1,,,,
106013,,,,,,,1,,,,,,,,,,24,,,,2,,,,,0,,,,,0,,,0,,,6,,,,,,0,,0,,,,
107005,,,,,,,14,,,,,,,,,,55,,,,0,,,,,6,,,,,0,,,2,,,75,,,,,,0,,0,,,,
107007,,,,,,,0,,,,,,,,,,25,,,,0,,,,,3,,,,,0,,,0,,,14,,,,,,0,,0,,,,
108002,,,,,,,5,,,,,,,,,,73,,,,0,,,,,12,,,,,0,,,1,,,44,,,,,,0,,0,,,,
108008,,,,,,,3,,,,,,,,,,7,,,,0,,,,,0,,,,,0,,,0,,,4,,,,,,0,,0,,,,
109001,,,,,,,6,,,,,,,,,,126,,,,3,,,,,3,,,,,0,,,2,,,46,,,,,,1,,1,,,,
109003,,,,,,,1,,,,,,,,,,24,,,,1,,,,,6,,,,,0,,,0,,,15,,,,,,0,,0,,,,
110001,,,,,,,3,,,,,,,,,,65,,,,0,,,,,7,,,,,1,,,0,,,45,,,,,,1,,0,,,,
110002,,,,,,,4,,,,,,,,,,90,,,,0,,,,,12,,,,,0,,,0,,,48,,,,,,0,,0,,,,
110006,,,,,,,4,,,,,,,,,,39,,,,1,,,,,3,,,,,0,,,0,,,13,,,,,,0,,0,,,,
110008,,,,,,,3,,,,,,,,,,22,,,,0,,,,,8,,,,,0,,,2,,,21,,,,,,0,,0,,,,
111003,,,,,,,2,,,,,,,,,,130,,,,1,,,,,9,,,,,0,,,2,,,48,,,,,,0,,0,,,,
111005,,,,,,,11,,,,,,,,,,42,,,,0,,,,,10,,,,,0,,,0,,,22,,,,,,0,,0,,,,
112001,,,,,,,4,,,,,,,,,,26,,,,0,,,,,2,,,,,0,,,1,,,11,,,,,,0,,0,,,,
112002,,,,,,,0,,,,,,,,,,13,,,,1,,,,,3,,,,,0,,,1,,,14,,,,,,0,,0,,,,
114001,,,,,,,21,,,,,,,,,,180,,,,0,,,,,13,,,,,0,,,1,,,100,,,,,,0,,0,,,,
115001,,,,,,,31,,,,,,,,,,131,,,,3,,,,,24,,,,,2,,,0,,,108,,,,,,0,,1,,,,
115003,,,,,,,1,,,,,,,,,,10,,,,0,,,,,1,,,,,0,,,0,,,10,,,,,,0,,1,,,,
117001,,,,,,,16,,,,,,,,,,242,,,,0,,,,,23,,,,,0,,,3,,,115,,,,,,0,,1,,,,
117002,,,,,,,26,,,,,,,,,,247,,,,1,,,,,32,,,,,2,,,2,,,154,,,,,,0,,0,,,,
117003,,,,,,,1,,,,,,,,,,167,,,,0,,,,,5,,,,,0,,,1,,,42,,,,,,0,,0,,,,
117004,,,,,,,2,,,,,,,,,,275,,,,0,,,,,9,,,,,0,,,4,,,62,,,,,,0,,0,,,,
117005,,,,,,,2,,,,,,,,,,148,,,,0,,,,,15,,,,,1,,,0,,,39,,,,,,0,,0,,,,
117006,,,,,,,4,,,,,,,,,,315,,,,1,,,,,26,,,,,0,,,1,,,122,,,,,,0,,0,,,,
117009,,,,,,,13,,,,,,,,,,291,,,,1,,,,,31,,,,,0,,,1,,,103,,,,,,0,,1,,,,
117014,,,,,,,15,,,,,,,,,,166,,,,1,,,,,21,,,,,1,,,6,,,88,,,,,,0,,0,,,,
117016,,,,,,,12,,,,,,,,,,258,,,,2,,,,,31,,,,,0,,,1,,,99,,,,,,0,,0,,,,
117021,,,,,,,14,,,,,,,,,,205,,,,1,,,,,29,,,,,0,,,1,,,92,,,,,,0,,3,,,,
117023,,,,,,,1,,,,,,,,,,52,,,,0,,,,,3,,,,,1,,,3,,,18,,,,,,0,,0,,,,
117027,,,,,,,43,,,,,,,,,,405,,,,1,,,,,29,,,,,2,,,0,,,141,,,,,,0,,1,,,,
117028,,,,,,,19,,,,,,,,,,247,,,,0,,,,,28,,,,,0,,,3,,,100,,,,,,2,,2,,,,
117029,,,,,,,14,,,,,,,,,,253,,,,0,,,,,21,,,,,0,,,2,,,128,,,,,,1,,0,,,,
117036,,,,,,,22,,,,,,,,,,294,,,,1,,,,,39,,,,,0,,,1,,,144,,,,,,0,,2,,,,
117040,,,,,,,31,,,,,,,,,,194,,,,0,,,,,21,,,,,0,,,0,,,128,,,,,,1,,1,,,,
117043,,,,,,,21,,,,,,,,,,238,,,,0,,,,,29,,,,,0,,,0,,,145,,,,,,0,,1,,,,
117045,,,,,,,10,,,,,,,,,,204,,,,0,,,,,27,,,,,0,,,1,,,93,,,,,,0,,0,,,,
117052,,,,,,,26,,,,,,,,,,166,,,,0,,,,,25,,,,,0,,,1,,,101,,,,,,0,,0,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Pete Buttigieg,,,,,Joseph R. Biden,,,,,,,Tulsi Gabbard,,,,,Mark Stewart Greenstein,,,,,,,,,,,,,,,,,,,,,,,,,
101002,,,,,,,0,,,,,,,,,,14,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
102001,,,,,,,10,,,,,,,,,,69,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
