President of the United States Presidential Preference - DEMOCRATIC - Vote for ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Party Member Registration,,,Party Member Ballots Cast,,,,,,Turnout (%),,,Declined to State Voter Ballots Cast,,,Julián Castro,,,,,Michael A. Ellinger,,,,,Elizabeth Warren,,,Marianne Williamson,,,Andrew Yang,,,,"Roque ""Rocky"" De La Fuente III",,,,John K. Delaney,,,
117179,,,,,,,217,,,120,,,,,,55.3,,,10,,,1,,,,,0,,,,,13,,,0,,,1,,,,0,,,,0,,,
119001,,,,,,,605,,,292,,,,,,48.3,,,33,,,2,,,,,0,,,,,14,,,0,,,2,,,,2,,,,0,,,
119003,,,,,,,760,,,354,,,,,,46.6,,,16,,,2,,,,,0,,,,,16,,,0,,,3,,,,0,,,,0,,,
119004,,,,,,,651,,,306,,,,,,47.0,,,15,,,3,,,,,0,,,,,9,,,0,,,1,,,,0,,,,0,,,
120001,,,,,,,356,,,197,,,,,,55.3,,,35,,,3,,,,,1,,,,,19,,,0,,,1,,,,2,,,,0,,,
121001,,,,,,,"1,247",,,613,,,,,,49.2,,,109,,,2,,,,,1,,,,,48,,,0,,,3,,,,1,,,,0,,,
121003,,,,,,,"1,186",,,695,,,,,,58.6,,,76,,,2,,,,,0,,,,,71,,,0,,,4,,,,2,,,,0,,,
121007,,,,,,,830,,,500,,,,,,60.2,,,82,,,1,,,,,0,,,,,44,,,1,,,4,,,,0,,,,0,,,
123001,,,,,,,177,,,97,,,,,,54.8,,,3,,,0,,,,,0,,,,,10,,,1,,,1,,,,0,,,,0,,,
123004,,,,,,,840,,,289,,,,,,34.4,,,25,,,7,,,,,0,,,,,22,,,0,,,2,,,,1,,,,1,,,
123005,,,,,,,279,,,79,,,,,,28.3,,,2,,,2,,,,,0,,,,,3,,,0,,,0,,,,1,,,,0,,,
124001,,,,,,,"1,414",,,621,,,,,,43.9,,,57,,,3,,,,,0,,,,,39,,,1,,,6,,,,0,,,,0,,,
124003,,,,,,,"1,446",,,579,,,,,,40.0,,,39,,,5,,,,,0,,,,,24,,,1,,,4,,,,1,,,,0,,,
124004,,,,,,,575,,,227,,,,,,39.5,,,24,,,3,,,,,0,,,,,12,,,1,,,1,,,,1,,,,0,,,
124008,,,,,,,"1,632",,,638,,,,,,39.1,,,72,,,0,,,,,0,,,,,41,,,1,,,2,,,,1,,,,0,,,
126001,,,,,,,"1,197",,,553,,,,,,46.2,,,43,,,5,,,,,0,,,,,43,,,0,,,14,,,,0,,,,1,,,
126002,,,,,,,"1,195",,,541,,,,,,45.3,,,25,,,5,,,,,0,,,,,25,,,0,,,8,,,,1,,,,0,,,
126004,,,,,,,684,,,424,,,,,,62.0,,,41,,,0,,,,,0,,,,,33,,,0,,,3,,,,1,,,,0,,,
126008,,,,,,,"1,297",,,651,,,,,,50.2,,,59,,,0,,,,,0,,,,,50,,,0,,,4,,,,3,,,,0,,,
127001,,,,,,,972,,,470,,,,,,48.4,,,65,,,1,,,,,0,,,,,28,,,1,,,9,,,,1,,,,0,,,
127003,,,,,,,"1,147",,,528,,,,,,46.0,,,62,,,0,,,,,0,,,,,27,,,1,,,3,,,,3,,,,1,,,
127007,,,,,,,644,,,285,,,,,,44.3,,,25,,,0,,,,,0,,,,,24,,,1,,,1,,,,0,,,,0,,,
127008,,,,,,,65,,,47,,,,,,72.3,,,2,,,0,,,,,0,,,,,4,,,0,,,1,,,,0,,,,0,,,
128001,,,,,,,889,,,361,,,,,,40.6,,,31,,,2,,,,,0,,,,,24,,,0,,,2,,,,1,,,,2,,,
128003,,,,,,,"1,426",,,534,,,,,,37.4,,,46,,,4,,,,,1,,,,,22,,,0,,,2,,,,0,,,,0,,,
128005,,,,,,,838,,,456,,,,,,54.4,,,60,,,0,,,,,0,,,,,61,,,3,,,1,,,,0,,,,1,,,
128006,,,,,,,"1,041",,,737,,,,,,70.8,,,102,,,0,,,,,0,,,,,99,,,2,,,2,,,,2,,,,1,,,
128010,,,,,,,614,,,287,,,,,,46.7,,,29,,,0,,,,,0,,,,,27,,,1,,,0,,,,0,,,,0,,,
128012,,,,,,,464,,,290,,,,,,62.5,,,15,,,0,,,,,0,,,,,30,,,0,,,2,,,,1,,,,1,,,
128013,,,,,,,850,,,431,,,,,,50.7,,,45,,,1,,,,,0,,,,,39,,,0,,,3,,,,1,,,,0,,,
128014,,,,,,,"1,123",,,600,,,,,,53.4,,,38,,,0,,,,,0,,,,,46,,,0,,,2,,,,2,,,,1,,,
128016,,,,,,,856,,,474,,,,,,55.4,,,54,,,0,,,,,0,,,,,40,,,1,,,1,,,,0,,,,0,,,
128017,,,,,,,"1,116",,,576,,,,,,51.6,,,62,,,0,,,,,0,,,,,65,,,0,,,2,,,,0,,,,0,,,
128019,,,,,,,"1,050",,,532,,,,,,50.7,,,59,,,2,,,,,0,,,,,37,,,1,,,2,,,,0,,,,1,,,
128026,,,,,,,460,,,324,,,,,,70.4,,,36,,,0,,,,,0,,,,,34,,,0,,,2,,,,1,,,,0,,,
128031,,,,,,,692,,,409,,,,,,59.1,,,43,,,1,,,,,0,,,,,44,,,0,,,4,,,,0,,,,0,,,
128040,,,,,,,"1,059",,,496,,,,,,46.8,,,61,,,1,,,,,0,,,,,46,,,0,,,3,,,,1,,,,0,,,
129001,,,,,,,779,,,365,,,,,,46.9,,,39,,,2,,,,,0,,,,,26,,,1,,,4,,,,3,,,,2,,,
129003,,,,,,,340,,,171,,,,,,50.3,,,20,,,0,,,,,0,,,,,13,,,0,,,1,,,,0,,,,0,,,
131002,,,,,,,84,,,48,,,,,,57.1,,,5,,,0,,,,,0,,,,,3,,,0,,,0,,,,0,,,,0,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Amy Klobuchar,,,,,Bernie Sanders,,,,,,,Joe Sestak,,,,,Tom Steyer,,,,Deval Patrick,,,,,Michael Bennet,,,Michael R. Bloomberg,,,,Mosie Boyd,,,,Cory Booker,,,,,
117059,,,,,,,27,,,,,189,,,,,,,1,,,,,26,,,,0,,,,,1,,,123,,,,0,,,,0,,,,,
117068,,,,,,,4,,,,,,,,,,253,,,,0,,,,,17,,,,,1,,,4,,,77,,,,,,1,,1,,,,
117069,,,,,,,25,,,,,,,,,,212,,,,0,,,,,13,,,,,0,,,1,,,167,,,,,,0,,1,,,,
117073,,,,,,,2,,,,,,,,,,173,,,,0,,,,,3,,,,,0,,,0,,,39,,,,,,0,,0,,,,
117074,,,,,,,40,,,,,,,,,,243,,,,0,,,,,25,,,,,2,,,0,,,170,,,,,,0,,1,,,,
117076,,,,,,,19,,,,,,,,,,208,,,,0,,,,,22,,,,,3,,,2,,,93,,,,,,0,,3,,,,
117079,,,,,,,25,,,,,,,,,,199,,,,0,,,,,29,,,,,2,,,2,,,113,,,,,,0,,0,,,,
117083,,,,,,,15,,,,,,,,,,264,,,,2,,,,,20,,,,,3,,,2,,,102,,,,,,0,,1,,,,
117084,,,,,,,7,,,,,,,,,,197,,,,0,,,,,13,,,,,1,,,2,,,67,,,,,,0,,1,,,,
117091,,,,,,,18,,,,,,,,,,202,,,,0,,,,,18,,,,,0,,,1,,,122,,,,,,0,,2,,,,
117095,,,,,,,11,,,,,,,,,,226,,,,0,,,,,10,,,,,0,,,2,,,95,,,,,,1,,0,,,,
117101,,,,,,,22,,,,,,,,,,331,,,,2,,,,,26,,,,,0,,,1,,,90,,,,,,0,,0,,,,
117104,,,,,,,4,,,,,,,,,,168,,,,0,,,,,11,,,,,0,,,2,,,54,,,,,,0,,0,,,,
117105,,,,,,,1,,,,,,,,,,145,,,,0,,,,,16,,,,,0,,,0,,,55,,,,,,0,,0,,,,
117112,,,,,,,14,,,,,,,,,,223,,,,0,,,,,18,,,,,1,,,2,,,84,,,,,,0,,0,,,,
117136,,,,,,,17,,,,,,,,,,338,,,,0,,,,,14,,,,,0,,,0,,,120,,,,,,0,,0,,,,
117169,,,,,,,0,,,,,,,,,,55,,,,0,,,,,4,,,,,0,,,1,,,19,,,,,,0,,0,,,,
117179,,,,,,,2,,,,,,,,,,36,,,,0,,,,,2,,,,,0,,,0,,,16,,,,,,0,,1,,,,
119001,,,,,,,3,,,,,,,,,,110,,,,0,,,,,15,,,,,1,,,0,,,40,,,,,,0,,0,,,,
119003,,,,,,,6,,,,,,,,,,165,,,,0,,,,,8,,,,,0,,,4,,,51,,,,,,0,,1,,,,
119004,,,,,,,3,,,,,,,,,,139,,,,0,,,,,9,,,,,0,,,4,,,48,,,,,,0,,0,,,,
120001,,,,,,,4,,,,,,,,,,42,,,,0,,,,,9,,,,,0,,,1,,,37,,,,,,0,,1,,,,
121001,,,,,,,21,,,,,,,,,,241,,,,0,,,,,24,,,,,1,,,3,,,116,,,,,,0,,2,,,,
121003,,,,,,,24,,,,,,,,,,196,,,,0,,,,,33,,,,,0,,,4,,,150,,,,,,2,,1,,,,
121007,,,,,,,27,,,,,,,,,,143,,,,0,,,,,17,,,,,0,,,1,,,105,,,,,,0,,0,,,,
123001,,,,,,,1,,,,,,,,,,24,,,,0,,,,,4,,,,,1,,,0,,,18,,,,,,0,,0,,,,
123004,,,,,,,2,,,,,,,,,,123,,,,1,,,,,16,,,,,0,,,1,,,50,,,,,,1,,3,,,,
123005,,,,,,,0,,,,,,,,,,34,,,,0,,,,,6,,,,,0,,,0,,,14,,,,,,0,,0,,,,
124001,,,,,,,8,,,,,,,,,,297,,,,0,,,,,12,,,,,0,,,2,,,92,,,,,,0,,0,,,,
124003,,,,,,,11,,,,,,,,,,271,,,,0,,,,,13,,,,,1,,,2,,,71,,,,,,0,,2,,,,
124004,,,,,,,3,,,,,,,,,,87,,,,1,,,,,11,,,,,0,,,0,,,50,,,,,,0,,0,,,,
124008,,,,,,,5,,,,,,,,,,287,,,,0,,,,,15,,,,,0,,,0,,,92,,,,,,0,,1,,,,
126001,,,,,,,5,,,,,,,,,,251,,,,0,,,,,15,,,,,0,,,1,,,83,,,,,,0,,0,,,,
126002,,,,,,,8,,,,,,,,,,255,,,,0,,,,,17,,,,,1,,,2,,,91,,,,,,0,,0,,,,
126004,,,,,,,11,,,,,,,,,,145,,,,0,,,,,10,,,,,0,,,2,,,77,,,,,,1,,0,,,,
126008,,,,,,,16,,,,,,,,,,265,,,,0,,,,,11,,,,,0,,,0,,,108,,,,,,0,,0,,,,
127001,,,,,,,10,,,,,,,,,,191,,,,0,,,,,22,,,,,0,,,2,,,73,,,,,,0,,2,,,,
127003,,,,,,,5,,,,,,,,,,246,,,,1,,,,,12,,,,,0,,,3,,,83,,,,,,0,,0,,,,
127007,,,,,,,10,,,,,,,,,,123,,,,0,,,,,8,,,,,0,,,0,,,31,,,,,,0,,0,,,,
127008,,,,,,,4,,,,,,,,,,9,,,,0,,,,,1,,,,,0,,,1,,,4,,,,,,0,,0,,,,
128001,,,,,,,4,,,,,,,,,,152,,,,1,,,,,7,,,,,0,,,1,,,66,,,,,,1,,0,,,,
128003,,,,,,,4,,,,,,,,,,297,,,,0,,,,,9,,,,,1,,,5,,,89,,,,,,0,,1,,,,
128005,,,,,,,17,,,,,,,,,,196,,,,1,,,,,12,,,,,2,,,1,,,52,,,,,,0,,0,,,,
128006,,,,,,,42,,,,,,,,,,165,,,,0,,,,,17,,,,,0,,,1,,,142,,,,,,1,,2,,,,
128010,,,,,,,9,,,,,,,,,,138,,,,1,,,,,12,,,,,0,,,0,,,45,,,,,,0,,0,,,,
128012,,,,,,,10,,,,,,,,,,83,,,,1,,,,,7,,,,,0,,,1,,,49,,,,,,0,,0,,,,
128013,,,,,,,3,,,,,,,,,,179,,,,0,,,,,13,,,,,0,,,1,,,60,,,,,,0,,4,,,,
128014,,,,,,,7,,,,,,,,,,230,,,,0,,,,,23,,,,,0,,,1,,,105,,,,,,0,,0,,,,
128016,,,,,,,10,,,,,,,,,,226,,,,0,,,,,8,,,,,0,,,0,,,61,,,,,,0,,0,,,,
128017,,,,,,,18,,,,,,,,,,241,,,,0,,,,,8,,,,,0,,,1,,,68,,,,,,0,,1,,,,
128019,,,,,,,17,,,,,,,,,,210,,,,0,,,,,20,,,,,0,,,0,,,88,,,,,,1,,2,,,,
128026,,,,,,,14,,,,,,,,,,99,,,,0,,,,,10,,,,,0,,,0,,,57,,,,,,0,,2,,,,
128031,,,,,,,11,,,,,,,,,,140,,,,0,,,,,12,,,,,1,,,0,,,64,,,,,,0,,0,,,,
128040,,,,,,,11,,,,,,,,,,222,,,,1,,,,,8,,,,,1,,,0,,,50,,,,,,0,,0,,,,
129001,,,,,,,10,,,,,,,,,,163,,,,0,,,,,15,,,,,1,,,3,,,53,,,,,,1,,1,,,,
129003,,,,,,,5,,,,,,,,,,54,,,,0,,,,,4,,,,,1,,,0,,,32,,,,,,0,,0,,,,
131002,,,,,,,3,,,,,,,,,,16,,,,0,,,,,5,,,,,0,,,0,,,13,,,,,,0,,0,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Pete Buttigieg,,,,,Joseph R. Biden,,,,,,,Tulsi Gabbard,,,,,Mark Stewart Greenstein,,,,,,,,,,,,,,,,,,,,,,,,,
117059,,,,,,,43,,,,,178,,,,,,,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
117068,,,,,,,35,,,,,,,,,,178,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117069,,,,,,,47,,,,,,,,,,322,,,,9,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117073,,,,,,,9,,,,,,,,,,57,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117074,,,,,,,65,,,,,,,,,,307,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117076,,,,,,,16,,,,,,,,,,191,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117079,,,,,,,52,,,,,,,,,,177,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117083,,,,,,,36,,,,,,,,,,237,,,,10,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117084,,,,,,,26,,,,,,,,,,168,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117091,,,,,,,58,,,,,,,,,,230,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
117095,,,,,,,35,,,,,,,,,,215,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117101,,,,,,,37,,,,,,,,,,239,,,,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117104,,,,,,,16,,,,,,,,,,148,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117105,,,,,,,10,,,,,,,,,,102,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117112,,,,,,,42,,,,,,,,,,213,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117136,,,,,,,44,,,,,,,,,,297,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117169,,,,,,,2,,,,,,,,,,21,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
117179,,,,,,,6,,,,,,,,,,46,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
119001,,,,,,,14,,,,,,,,,,108,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
119003,,,,,,,15,,,,,,,,,,88,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
119004,,,,,,,14,,,,,,,,,,81,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
120001,,,,,,,11,,,,,,,,,,80,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
121001,,,,,,,35,,,,,,,,,,189,,,,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
121003,,,,,,,68,,,,,,,,,,166,,,,9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
121007,,,,,,,38,,,,,,,,,,172,,,,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
123001,,,,,,,4,,,,,,,,,,31,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
123004,,,,,,,8,,,,,,,,,,63,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
123005,,,,,,,1,,,,,,,,,,14,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
124001,,,,,,,22,,,,,,,,,,182,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
124003,,,,,,,15,,,,,,,,,,173,,,,7,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
124004,,,,,,,9,,,,,,,,,,64,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
124008,,,,,,,18,,,,,,,,,,233,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
126001,,,,,,,15,,,,,,,,,,141,,,,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
126002,,,,,,,17,,,,,,,,,,121,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
126004,,,,,,,22,,,,,,,,,,137,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
126008,,,,,,,23,,,,,,,,,,201,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
127001,,,,,,,30,,,,,,,,,,140,,,,9,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
127003,,,,,,,19,,,,,,,,,,159,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
127007,,,,,,,18,,,,,,,,,,89,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
127008,,,,,,,3,,,,,,,,,,17,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128001,,,,,,,23,,,,,,,,,,94,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128003,,,,,,,19,,,,,,,,,,116,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128005,,,,,,,21,,,,,,,,,,128,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128006,,,,,,,52,,,,,,,,,,259,,,,11,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128010,,,,,,,15,,,,,,,,,,59,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128012,,,,,,,20,,,,,,,,,,95,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128013,,,,,,,15,,,,,,,,,,140,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128014,,,,,,,26,,,,,,,,,,167,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128016,,,,,,,26,,,,,,,,,,144,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128017,,,,,,,34,,,,,,,,,,171,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128019,,,,,,,26,,,,,,,,,,164,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128026,,,,,,,21,,,,,,,,,,104,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128031,,,,,,,24,,,,,,,,,,136,,,,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
128040,,,,,,,22,,,,,,,,,,167,,,,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
129001,,,,,,,11,,,,,,,,,,94,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
129003,,,,,,,8,,,,,,,,,,60,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
131002,,,,,,,2,,,,,,,,,,7,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Party Member Registration,,,Party Member Ballots Cast,,,,,,Turnout (%),,,Declined to State Voter Ballots Cast,,,Julián Castro,,,,,Michael A. Ellinger,,,,,Elizabeth Warren,,,Marianne Williamson,,,Andrew Yang,,,,"Roque ""Rocky"" De La Fuente III",,,,John K. Delaney,,,
131003,,,,,,,92,,,57,,,,,,62.0,,,0,,,0,,,,,0,,,,,6,,,0,,,1,,,,0,,,,0,,,
131005,,,,,,,134,,,77,,,,,,57.5,,,4,,,2,,,,,0,,,,,6,,,0,,,0,,,,1,,,,0,,,
132002,,,,,,,511,,,279,,,,,,54.6,,,42,,,0,,,,,0,,,,,27,,,0,,,3,,,,1,,,,0,,,
901001,,,,,,,17,,,8,,,,,,47.1,,,3,,,0,,,,,0,,,,,0,,,0,,,1,,,,0,,,,0,,,
902007,,,,,,,79,,,38,,,,,,48.1,,,5,,,0,,,,,0,,,,,4,,,0,,,0,,,,0,,,,0,,,
902010,,,,,,,58,,,28,,,,,,48.3,,,1,,,0,,,,,0,,,,,5,,,0,,,0,,,,0,,,,0,,,
903011,,,,,,,89,,,31,,,,,,34.8,,,0,,,0,,,,,1,,,,,0,,,0,,,1,,,,0,,,,0,,,
903027,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
903047,,,,,,,5,,,2,,,,,,40.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
904002,,,,,,,67,,,30,,,,,,44.8,,,3,,,0,,,,,0,,,,,2,,,0,,,0,,,,0,,,,0,,,
905005,,,,,,,81,,,49,,,,,,60.5,,,0,,,1,,,,,0,,,,,0,,,0,,,0,,,,1,,,,0,,,
906002,,,,,,,61,,,34,,,,,,55.7,,,1,,,0,,,,,0,,,,,1,,,0,,,0,,,,0,,,,0,,,
906008,,,,,,,46,,,22,,,,,,47.8,,,2,,,1,,,,,0,,,,,7,,,0,,,0,,,,0,,,,0,,,
906010,,,,,,,47,,,21,,,,,,44.7,,,7,,,0,,,,,0,,,,,2,,,0,,,0,,,,0,,,,0,,,
906016,,,,,,,4,,,3,,,,,,75.0,,,1,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
907001,,,,,,,21,,,12,,,,,,57.1,,,1,,,0,,,,,0,,,,,3,,,0,,,0,,,,0,,,,0,,,
907010,,,,,,,66,,,48,,,,,,72.7,,,5,,,0,,,,,0,,,,,6,,,0,,,0,,,,0,,,,0,,,
907011,,,,,,,70,,,46,,,,,,65.7,,,3,,,0,,,,,0,,,,,3,,,0,,,0,,,,0,,,,0,,,
908001,,,,,,,6,,,2,,,,,,33.3,,,0,,,0,,,,,0,,,,,2,,,0,,,0,,,,0,,,,0,,,
908003,,,,,,,2,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
910003,,,,,,,72,,,27,,,,,,37.5,,,1,,,0,,,,,0,,,,,0,,,0,,,1,,,,0,,,,0,,,
910017,,,,,,,78,,,31,,,,,,39.7,,,2,,,0,,,,,1,,,,,3,,,0,,,0,,,,0,,,,0,,,
911010,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
912003,,,,,,,92,,,40,,,,,,43.5,,,3,,,0,,,,,0,,,,,2,,,1,,,0,,,,0,,,,0,,,
912004,,,,,,,107,,,41,,,,,,38.3,,,4,,,0,,,,,0,,,,,2,,,0,,,1,,,,0,,,,0,,,
913002,,,,,,,60,,,36,,,,,,60.0,,,6,,,0,,,,,0,,,,,3,,,0,,,0,,,,0,,,,0,,,
914004,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
916002,,,,,,,22,,,16,,,,,,72.7,,,1,,,0,,,,,0,,,,,3,,,0,,,0,,,,0,,,,0,,,
917012,,,,,,,62,,,22,,,,,,35.5,,,0,,,0,,,,,0,,,,,3,,,0,,,0,,,,0,,,,0,,,
917049,,,,,,,59,,,19,,,,,,32.2,,,1,,,1,,,,,0,,,,,1,,,0,,,0,,,,0,,,,0,,,
917087,,,,,,,16,,,4,,,,,,25.0,,,1,,,0,,,,,0,,,,,1,,,0,,,0,,,,0,,,,1,,,
917167,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
917191,,,,,,,16,,,8,,,,,,50.0,,,1,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
917194,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
917196,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
917212,,,,,,,2,,,1,,,,,,50.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
917214,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
918003,,,,,,,46,,,20,,,,,,43.5,,,3,,,1,,,,,0,,,,,1,,,0,,,0,,,,0,,,,0,,,
919009,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
921009,,,,,,,14,,,9,,,,,,64.3,,,3,,,0,,,,,0,,,,,2,,,0,,,1,,,,0,,,,0,,,
923004,,,,,,,83,,,29,,,,,,34.9,,,1,,,0,,,,,0,,,,,3,,,0,,,0,,,,0,,,,0,,,
923015,,,,,,,37,,,17,,,,,,45.9,,,3,,,1,,,,,0,,,,,1,,,0,,,0,,,,0,,,,0,,,
923020,,,,,,,122,,,36,,,,,,29.5,,,1,,,0,,,,,0,,,,,6,,,0,,,0,,,,0,,,,0,,,
923022,,,,,,,20,,,7,,,,,,35.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
924007,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
927011,,,,,,,7,,,3,,,,,,42.9,,,0,,,0,,,,,0,,,,,0,,,1,,,0,,,,0,,,,0,,,
928021,,,,,,,18,,,11,,,,,,61.1,,,1,,,0,,,,,0,,,,,1,,,0,,,0,,,,0,,,,0,,,
928023,,,,,,,42,,,26,,,,,,61.9,,,0,,,0,,,,,0,,,,,4,,,0,,,0,,,,0,,,,0,,,
928067,,,,,,,0,,,0,,,,,,0.0,,,0,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
930003,,,,,,,53,,,25,,,,,,47.2,,,1,,,0,,,,,0,,,,,0,,,0,,,0,,,,0,,,,0,,,
932006,,,,,,,2,,,1,,,,,,50.0,,,0,,,0,,,,,0,,,,,1,,,0,,,0,,,,0,,,,0,,,
"Mail Precinct Totals Vote By Mail Totals Election Day Totals
Grand Totals",,,,,,,"99,356
99,356
99,356
99,356",,,"832
40,582
7,242
48,656",,,,,,"0.8
40.8
7.3
49.0",,,"68
3,224
1,086
4,378",,,"5
134
24
163",,,,,"2
25
4
31",,,,,"75
3,157
556
3,788",,,"2
39
8
49",,,"5
302
18
325",,,,"1
61
19
81",,,,"1
33
7
41",,,
President of the United States Presidential Preference - DEMOCRATIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumulative Totals
Precinct",,,,,,,Amy Klobuchar,,,,,Bernie Sanders,,,,,,,Joe Sestak,,,,,Tom Steyer,,,,Deval Patrick,,,,,Michael Bennet,,,Michael R. Bloomberg,,,,Mosie Boyd,,,,Cory Booker,,,,,
