district,BALLOTS CAST,JOSEPH R. BIDEN,ELIZABETH WARREN,BERNIE SANDERS
60,36634,10433,2068,16424
58,40268,10903,3170,18822
63,49699,15961,4140,18293
71,26424,8449,2546,8953
47,44930,17129,5135,12779
36,20807,6645,1493,8282
