district,BALLOTS CAST,JOSEPH R. BIDEN,ELIZABETH WARREN,BERNIE SANDERS
26,95612,18576,11019,25850
24,29987,5531,2097,8958
23,94806,23391,14727,20049
28,104295,23265,10335,22833
29,15411,3072,942,3526
25,81109,14522,5555,27877
