,District,area_col,Code,percent
336,3,6.540113561165348e-05,9007864A,0.9998528566455664
338,3,6.3109035230599405e-06,9007935D,0.9979046548041164
340,3,8.565289574660399e-05,9006434A,1.0000000000000002
341,3,8.51263227004158e-05,9006426A,1.0000000000000002
342,3,8.961785019085747e-05,9006429D,0.9986737560629144
344,3,0.00015670785708001649,9006496A,0.9990295664145277
346,3,7.72250179762955e-05,9006440A,0.9999999999999993
347,3,9.235467457874863e-05,9006477A,0.9999897333888262
349,3,0.0001027794084276537,9006438A,1.0000000000000004
350,3,5.9982162741302574e-05,9006428A,0.9999999999999998
351,3,0.00010286209815929938,9000100B,1.0000000000000007
352,3,0.00010092572500929342,9001877A,1.0000000000000002
353,3,7.236202786419871e-05,9000124A,0.8388810923400783
354,4,1.3898144793097213e-05,9000124A,0.16111890765988646
355,3,7.686686755455248e-05,9000182A,1.0000000000000009
356,3,9.240209152708725e-05,9006441B,1.0000000000000002
357,3,4.9047036320984516e-05,9002307A,0.9999999999999994
358,3,0.0002050069240131039,9000429A,1.0000000000000009
359,3,0.00013635109882300538,9006495A,0.9998176380722068
361,3,0.0001278109683332746,9000359B,1.0000000000000007
362,3,5.200807741770905e-05,9000711A,0.6653097364098144
363,4,2.616314806045684e-05,9000711A,0.33469026359021764
364,3,9.176971435376811e-05,9000175A,0.9984604855492282
366,3,9.461448597453249e-05,9006411A,1.0000000000000004
367,3,0.00010774017679119767,9000423A,0.9999999999999998
368,3,5.810817412758708e-05,9007884A,1.0000000000000007
369,3,0.0001295621148995495,9001808A,0.999118028752671
371,3,0.00020302062476054337,9006602A,0.9995836861056648
373,3,4.8741360971476335e-05,9000206A,0.9999999999999999
374,3,8.942096678799154e-05,9000098A,1.0000000000000002
375,3,8.337114286167924e-05,9000181A,0.9494785956335452
377,3,9.538680914277363e-05,9001695A,1.0000000000000004
378,3,0.00013657191461573573,9006490A,0.9993239596594005
380,3,0.00010619876761706449,9000096B,0.9999123737253088
382,3,0.00010937512467787274,9006436A,0.9994092120192596
384,3,0.0001099994994291175,9000525B,1.0
385,3,9.006882567240854e-05,9000187A,0.9999999999999992
386,3,0.0001349187693814253,9007886A,0.878962217825734
387,4,1.853245492643682e-05,9007886A,0.12073433339615802
389,3,8.474093704628158e-05,9000128A,1.0000000000000002
390,3,0.00020256671894380778,9007939A,0.9996071692677764
391,3,6.221418966928593e-05,9006410A,0.988353919090254
393,3,4.982174831136391e-05,9000393C,0.9944168452049099
395,3,0.00013051930304628541,9003681B,0.9979726429249505
397,3,0.0001557758124944699,9006618B,0.9999230512099856
398,3,8.257939173170532e-05,9006445B,1.0
399,3,0.00012692783709367518,9006615A,1.0
400,3,4.162408467327924e-05,9000227A,1.0000000000000002
401,3,0.000300374186293953,9000527A,1.0000000000000013
402,3,0.00016170941495968793,9001039A,1.0
403,3,0.0001014828119681867,9007960A,0.9999999999999996
405,4,0.00010466177349804339,9000065A,0.9382912160245978
407,3,0.0006478506168061028,9001036B,0.9996585264425356
409,3,0.00027160555256604567,9006651A,1.0
410,3,1.5709080661590297e-05,9000063B,0.19591500781853025
411,4,6.447406016313487e-05,9000063B,0.8040849921814727
412,3,7.167287142002859e-05,9004240A,1.0000000000000007
413,3,3.184323802069455e-05,9000133A,0.29574986305451356
414,4,7.581267597027806e-05,9000133A,0.7041240128103309
417,3,0.00019011152998986116,9006623C,1.0000000000000004
418,3,0.00025412243780895317,9007954A,0.9999999999999998
419,3,0.00015807652119243697,9001999A,1.0
420,3,0.00020674469255471057,9006626A,0.9999999999999991
421,3,0.00022186034275872664,9007971A,1.0000000000000002
422,3,0.00024082406408514967,9001037A,0.9999999999999993
423,3,0.00013344673515342838,9001019A,0.9937776929313437
424,3,0.00012316825962559405,9006611A,0.9999999999999993
425,3,4.686885484759187e-05,9000226A,0.9999999999999999
426,3,0.00011686023955733075,9007902B,1.0000000000000004
427,3,0.0006829482970295776,9007975A,0.9993527162732329
430,3,0.00015716441900243808,9006614A,1.0000000000000004
432,12,0.0004888056247572834,9000191A,0.9999859754612564
434,12,8.90817856119741e-05,9000084A,0.9990243499446404
436,12,0.0006634200253782587,9006421A,0.9999114409143823
438,12,0.00014784209612830266,9006279A,0.9963246219142439
445,4,0.00043368161608901953,9001049A,0.9996694364306207
448,12,0.0001299126513444027,9006468A,0.9999990968940008
450,12,9.564249978053356e-05,9006483A,0.9999121717321202
452,12,0.00025615118967743726,9006297A,0.9996376643122928
454,12,0.00010541559058549913,9000092B,0.9997623527078431
456,4,7.483577822271915e-05,9000131A,0.9989092526064896
459,12,0.0001590279322000516,9006471A,0.9999848913318102
461,12,0.00011385668005711528,9006487B,0.9989306674609877
463,12,0.00012688578272658296,9000207A,0.9987223223828151
466,11,0.003952735942910079,9007693D,0.9997636022494252
467,4,3.639057950800527e-05,9000262A,0.9999999999999998
468,4,3.250387229015829e-05,9000317A,0.9999887620761452
470,4,0.0002392590684012996,9001184A,0.9998023076513551
471,4,0.00024710523675901237,9001191A,0.9999999999999982
472,4,7.141286058520949e-05,9005117A,1.0000000000000007
473,4,0.0015992507007585464,9001824A,0.9883300875131875
475,4,2.6179882865141042e-05,9000587B,1.0000000000000002
476,4,7.841769232491679e-05,9000697A,1.0000000000000002
477,4,1.0737516113524516e-05,9000866A,0.151275411286413
478,13,6.024240072963462e-05,9000866A,0.848724588713566
479,4,9.275423204302748e-05,9002171A,0.8949078694586754
480,13,1.0892450714540742e-05,9002171A,0.10509213054140142
481,4,6.199747525469378e-05,9002745A,1.0000000000000002
482,4,2.6237198577989345e-05,9005118A,0.9992677225990385
484,4,4.7992138614367133e-05,9000874A,0.9999026024859008
486,4,7.799152845855257e-05,9000699B,1.0000000000000004
487,4,6.274366483018122e-05,9000753A,1.0000000000000002
488,4,3.432033870648625e-05,9005124A,0.9993195843996927
490,4,3.47366892152152e-05,9004239A,1.0000000000000002
491,4,0.00026691946386283883,9001187A,1.000000000000002
492,4,0.000240053907111165,9000410A,0.9996766361101098
494,4,0.0003438835882107568,9001176A,0.9993831267017967
496,4,7.591599845405935e-05,9001928B,1.0000000000000004
497,4,0.0001274358882163896,9001173A,1.000000000000001
498,4,6.418023011282021e-05,9001934A,1.0
499,4,0.0002845523466509305,9001203A,1.0000000000000016
500,4,0.00029534312085623344,9001180A,0.9999999999999997
501,4,0.00030825336030533936,9001199A,0.9999933359796027
504,13,1.8447000069439075e-05,9000240A,0.9995977020661506
506,13,1.5683992740005563e-05,9000530A,0.9934429779876396
508,12,0.0001313375355024666,9000837A,0.9999322467182846
509,4,8.88285274444158e-09,7300001B,0.14602999470968117
511,13,0.00018230399503623112,9000369A,0.9982295323058015
514,12,0.00010901299039949186,9000086A,0.9984097233799502
515,4,4.987909794371605e-05,9001924B,1.0000000000000002
516,4,8.73908307459605e-05,9001015D,0.9874038988643435
518,4,8.927677141323333e-05,9001083A,1.0000000000000002
519,4,8.234798294115837e-05,9000402A,0.9999999999999997
520,4,0.00033805757126671916,9000260A,0.9978700783507001
522,4,7.554821062056456e-05,9000268A,0.9999999999999998
523,4,6.0569316337954735e-05,9005549A,1.0000000000000013
524,4,8.50772824238857e-05,9000745B,0.999999999999999
525,4,4.686215843028856e-05,9001087A,0.999999999999999
526,4,5.6557276985668973e-05,9003228A,0.9999999999999999
527,4,7.630927976063872e-05,9001931A,1.0
528,4,3.890311097145334e-05,9001126A,1.0000000000000004
529,4,6.806005605691419e-05,9001016A,0.9835585658064346
531,4,0.0002389078286894517,9001103A,0.99844329358697
533,4,7.984389672080593e-05,9001092A,0.9999999999999991
534,4,9.47144262063006e-05,9001122A,0.9999999999999993
535,4,0.00027420627517723856,9001127A,0.9990713906723183
537,4,0.00010984204138448076,9001109A,1.0000000000000002
539,4,9.170324937054048e-05,9000742A,0.9954675062048942
543,4,7.755925042281277e-05,9000255A,0.9999999999999998
544,4,0.0001347370165718487,9001073A,0.9997201143848097
546,4,9.000763145619957e-05,9000419A,0.9977213136438168
548,4,8.253485471034461e-05,9000132A,0.9999999999999997
549,4,0.0001063545983633942,9005187A,0.9985206083303291
552,13,2.043295129199243e-05,9002883A,0.962527093048572
554,13,2.7438233463331103e-05,9001949A,0.9713651387693175
555,4,1.9569978439022676e-05,9001426A,0.9990803385584736
557,4,4.750646234236385e-05,9000484A,0.5504767415614265
558,13,3.874496818824946e-05,9000484A,0.44895373784019443
559,4,0.00022180668172418986,9001233A,0.9999984706176699
560,4,2.5410927577138816e-05,9001733A,0.9987408937323405
562,4,0.00023206498840106356,9001224A,0.9987725243190118
563,4,5.095822663711957e-05,9001196A,0.9997290117796697
565,4,1.4101699286215616e-05,9001421A,0.5835661665306302
566,13,1.0062997186940702e-05,9001421A,0.41643383346940216
571,5,0.0007966361436756852,9003206A,0.9984394792611624
574,5,0.0006322028131863642,9001218A,0.9993463675078423
576,5,0.0003376335339252104,9001100A,0.9969874587272128
577,4,8.68227565744394e-05,9001212A,0.1214404445012886
578,5,0.0006274596499733853,9001212A,0.8776383266990606
579,4,7.22966287836406e-05,9001213A,1.000000000000001
581,5,8.626657520758213e-06,9000810A,0.9890859141186195
582,4,0.000129596431008325,9003981A,0.9999662156313005
584,4,5.3828348894226756e-05,9000263A,0.9999999999999992
585,4,0.0006686555520569482,9000684A,1.0000000000000007
586,4,7.006820014917795e-05,9000062A,0.9981773270439837
589,6,0.0007913771995801499,9002804A,0.9939150281552527
591,13,3.9123591357968546e-05,9000239B,0.996798765953853
593,13,3.891054196325132e-05,9004216A,0.9977577860565369
595,13,1.8281286066084303e-05,9001576A,0.994980602880717
597,13,6.691275517356828e-05,9000940A,0.9993424705119744
599,13,7.160253895223673e-05,9007434A,0.9997764460262242
601,13,4.9885798375015296e-05,9000784A,0.998498587735562
602,4,1.36314639914189e-05,9001647A,0.8125277242901142
603,13,3.1451500045275985e-06,9001647A,0.18747227570997294
604,4,1.2724100787196154e-05,9000507A,0.8555195737035922
605,13,2.148850315617651e-06,9000507A,0.14448042629621008
607,13,3.842945816888688e-05,9001128A,0.9999946516360309
609,13,3.423219281273483e-05,9000551A,0.9998467240806104
610,4,1.3028899188130666e-06,9002560A,0.8149329025017042
611,13,2.9587964223106026e-07,9002560A,0.18506709749829522
613,4,2.5576797528944226e-05,9000225A,1.0000000000000004
614,4,3.828859907325782e-05,9006644A,0.9999999999999997
615,4,0.0004740556964837082,9006652A,1.0000000000000002
616,4,0.0001710397889953337,9005520A,1.0000000000000002
617,4,0.00014351651430859235,9000253A,0.9999999999999997
618,4,0.0002199309444826688,9001090A,0.9999999999999998
619,4,0.00015906568151300104,9006656A,1.0000000000000002
620,4,1.7913960429903616e-05,9001893A,0.9999999999999998
621,4,0.00020366962963708527,9006666A,0.9999999999999988
622,4,0.00029865436236722496,9007985A,0.9957833275036121
625,4,2.4843332820382005e-05,9000064A,0.21264751513151944
626,12,9.198536750568029e-05,9000064A,0.7873524848684836
629,11,0.0015498473419900836,9003468A,0.9985195043460764
632,13,9.431587621788416e-05,9001759A,0.9991809334127316
634,13,7.869781021424394e-05,9002046A,0.9512825826826358
636,13,2.0284721647415962e-05,9000395B,0.9968727657250405
640,5,8.35310625351955e-08,0900033B,0.17248933801594324
641,5,1.7549885395395876e-05,9002262B,0.9999999999999989
642,5,5.375007072016014e-05,9002250A,1.0000000000000002
643,5,2.1451232629836627e-05,9007230A,0.9999999999999999
644,5,0.00014897039871108767,9000272A,0.6989202923038755
645,13,6.417321773769233e-05,9000272A,0.3010797076961163
646,5,8.643446313150433e-05,9001190A,1.0000000000000007
647,5,2.4671440671626026e-05,9002252A,0.9999999999999999
648,5,6.186819101358639e-05,9001249A,0.9993296004751089
650,5,9.028164960562102e-05,9001452A,0.9987834985796018
652,5,0.00011703943077166804,9001253B,0.9993393342181225
653,5,4.3783141097022674e-05,9001250A,1.0000000000000002
654,5,4.089669734443342e-05,9002287A,0.9847407214739317
656,5,8.198735015428325e-05,9001450A,0.9989908186220595
658,5,8.712671424568834e-08,0900014A,0.9516824330344479
659,5,0.00013547544517663172,9003077A,0.9999999999999986
660,5,0.00023515780530154658,9001332A,0.9992862864676489
661,5,5.139511042491247e-05,9003078B,1.0
662,5,8.973095756187824e-06,9001336A,1.0
663,5,1.6931933441682084e-05,9003552A,1.0000000000000009
664,5,4.935104692864343e-05,9001330A,0.9937628755311925
666,5,6.076297138682083e-05,9001360A,0.9999999999999998
667,5,4.166214804016237e-05,9001339A,0.9690408822874584
669,5,1.1136346603625747e-05,9000555A,1.0000000000000007
670,5,1.908854388761413e-06,9000701A,1.0
671,5,2.0541360002414383e-05,9001359A,0.9999999999999999
672,5,3.424787512717058e-06,9002602A,0.9987562275590476
674,5,3.511964166409907e-05,9002280A,1.0000000000000004
675,5,4.138805112231161e-05,9002279A,1.0000000000000002
677,10,3.3792199137123354e-05,9001492A,0.9965042930762571
679,10,5.0672500117913817e-05,9005319A,0.9997742641903632
681,10,5.919123699789427e-05,9002297B,0.9395646384412211
684,13,2.650235822421691e-05,9001625A,0.9996742451461408
686,10,4.4864977260216824e-05,9005321A,0.9979836104940395
688,10,7.465667307505452e-05,9001490A,0.9996430802470534
690,10,6.010898275386642e-05,9002362A,0.9999886382098061
692,10,5.972170115991051e-05,9001470A,0.9989432555045606
694,10,6.885777936821029e-05,9002839A,0.9981133880195361
695,5,9.989946721328091e-05,9001454A,0.9999999999999999
696,5,8.465006421385835e-05,9001257A,0.994065062007656
698,10,4.603382704903205e-05,9003763A,0.9989546827582736
703,5,5.432727172639323e-05,9001458A,0.9988880121716576
704,5,4.93322992861229e-05,9001461A,0.9965926166305138
706,11,3.105061627016606e-05,9001284A,0.9955390998464851
707,5,6.298497368904801e-05,9005299A,0.9990594938661963
710,5,5.733242775731951e-05,9002247A,0.999998988253767
712,5,3.554021985989753e-05,9007228B,0.9886460783612451
714,5,8.615142908294693e-05,9000006A,0.9999680748001485
716,5,0.00010869879034987865,9000567A,0.9996122562490953
717,5,5.816700644855174e-05,9001220C,1.0000000000000002
718,5,5.495196576954925e-05,9001279A,1.0000000000000002
719,5,4.3410599501357193e-05,9001271A,1.0000000000000009
720,5,4.300185696501513e-05,9001274A,0.9805817789486492
723,11,6.39517120552203e-05,9007385A,0.9963940410278576
724,5,5.433846744383203e-05,9001175A,0.9993085435955325
726,5,8.93730314163773e-05,9003036A,0.9892673003379663
728,5,0.00010303233356944051,9001472A,0.9991656205222808
730,5,2.1264290024217138e-05,9007367A,0.372926923731306
731,13,3.5755701483650544e-05,9007367A,0.6270730762685599
732,5,3.044922053899917e-05,9002373A,0.9852125899191336
733,5,3.761861474791563e-05,9002064A,0.9992747955595902
735,5,6.614544226926786e-05,9001525A,0.9545347229197543
737,5,4.829353785663264e-05,9001111A,0.9928400637412289
739,5,6.757750643275709e-05,9001522A,1.000000000000001
740,5,4.954998507885561e-05,9002890A,0.9999999999999996
741,5,5.812214364023331e-05,9003741A,0.9999667123986861
743,5,8.545956032926585e-05,9001467A,0.9999261177049142
745,5,1.4675973851951699e-05,9000544A,0.15903723356644925
746,13,7.75961250980752e-05,9000544A,0.8408759238442541
747,5,2.7165729693000083e-05,9001377A,0.9846317666650068
748,5,0.00012364785921171776,9002358A,1.0000000000000004
752,5,3.071894073012761e-05,9001984B,1.0
753,5,4.4783829360327954e-05,9000944B,1.0000000000000002
754,5,2.5442834851301474e-05,9001533A,1.0000000000000002
755,5,0.00023903521165133157,9001456A,0.9999999999999999
757,5,7.358535098986207e-05,9005424A,0.9999999999999992
758,5,2.7209134269390938e-05,9001983A,0.9999999999999996
