Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,1 Presidential Preference DEM,,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,1,1,
Precinct,Type,Registered Voters,Voters Cast,Turnout (%),,,TOM STEYER,DEVAL PATRICK,,MICHAEL BENNET,MICHAEL R. BLOOMBERG,MOSIE BOYD,CORY BOOKER,PETE BUTTIGIEG,JOSEPH R. BIDEN,TULSI GABBARD,MARK STEWART GREENSTEIN,
10020,Vote by Mail,1301,443,34.05 %,,,4,,,1,34,,,14,87,6,,
10020,Polling Place,1301,250,19.22 %,,,1,,,,7,,,,72,1,,
10020,Total,1301,693,53.27 %,,,5,,,1,41,,,14,159,7,,
10060,Vote by Mail,1261,467,37.03 %,,,13,,,,42,,,17,96,1,,
10060,Polling Place,1261,231,18.32 %,,,1,,,,13,,,1,59,4,,
10060,Total,1261,698,55.35 %,,,14,,,,55,,,18,155,5,,
10080,Vote by Mail,1196,408,34.11 %,,,11,,,,34,,1,29,76,3,,
10080,Polling Place,1196,199,16.64 %,,,2,,,,15,,,,34,,,
10080,Total,1196,607,50.75 %,,,13,,,,49,,1,29,110,3,,
10090,Vote by Mail,1240,390,31.45 %,,,14,,,,25,,,21,79,2,,
10090,Polling Place,1240,227,18.31 %,,,1,,,,10,,,1,55,,,
10090,Total,1240,617,49.76 %,,,15,,,,35,,,22,134,2,,
10110,Vote by Mail,1264,380,30.06 %,,,9,,,,37,,,25,66,1,,
10110,Polling Place,1264,219,17.33 %,,,2,,,1,10,,,1,64,,,
10110,Total,1264,599,47.39 %,,,11,,,1,47,,,26,130,1,,
10120,Vote by Mail,1298,433,33.36 %,,,10,,,,42,,,28,86,1,,
10120,Polling Place,1298,275,21.19 %,,,,,,,16,1,,,60,4,,
10120,Total,1298,708,54.55 %,,,10,,,,58,1,,28,146,5,,
10130,Vote by Mail,1481,497,33.56 %,,,17,,,,39,1,,32,113,4,,
10130,Polling Place,1481,228,15.40 %,,,,,,,6,,,,62,,,
10130,Total,1481,725,48.95 %,,,17,,,,45,1,,32,175,4,,
10141,Vote by Mail,405,172,42.47 %,,,7,,,,30,,,9,50,1,,
10141,Polling Place,405,55,13.58 %,,,,,,,4,,,,18,,,
10141,Total,405,227,56.05 %,,,7,,,,34,,,9,68,1,,
10143,Vote by Mail,104,50,48.08 %,,,,,,,5,,,3,9,,,
