Santa Cruz,,,,,,,,,Precinct Canvass,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 US Representative 20th Congressional District,,,,,,,,,,,
,,,,,,,1,1,,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - ADAM BOLAÑOS SCOW,DEM - JIMMY PANETTA,,REP - JEFF GORMAN,Write In,,
10521,Polling Place,114,6,5.26 %,,,1,3,,,,,
10521,Total,114,79,69.30 %,,,9,52,,15,,,
10541,Vote by Mail,265,181,68.30 %,,,28,105,,42,,,
10541,Polling Place,265,4,1.51 %,,,1,3,,,,,
10541,Total,265,185,69.81 %,,,29,108,,42,,,
10552,Vote by Mail,0,0,,,,,,,,,,
10552,Polling Place,0,0,,,,,,,,,,
10552,Total,0,0,,,,,,,,,,
10603,Vote by Mail,1199,552,46.04 %,,,61,372,,111,,,
10603,Polling Place,1199,269,22.44 %,,,41,178,,35,2,,
10603,Total,1199,821,68.47 %,,,102,550,,146,2,,
10620,Vote by Mail,1362,625,45.89 %,,,104,415,,85,,,
10620,Polling Place,1362,271,19.90 %,,,40,173,,48,,,
10620,Total,1362,896,65.79 %,,,144,588,,133,,,
10690,Vote by Mail,56,44,78.57 %,,,6,30,,7,,,
10690,Polling Place,56,1,1.79 %,,,1,,,,,,
10690,Total,56,45,80.36 %,,,7,30,,7,,,
10762,Vote by Mail,21,14,66.67 %,,,3,3,,8,,,
10762,Polling Place,21,0,0.00 %,,,,,,,,,
10762,Total,21,14,66.67 %,,,3,3,,8,,,
10781,Vote by Mail,304,202,66.45 %,,,31,126,,41,,,
10781,Polling Place,304,3,0.99 %,,,2,1,,,,,
10781,Total,304,205,67.43 %,,,33,127,,41,,,
11010,Vote by Mail,1559,776,49.78 %,,,91,530,,133,,,
11010,Polling Place,1559,402,25.79 %,,,53,292,,48,,,
11010,Total,1559,1178,75.56 %,,,144,822,,181,,,
11120,Vote by Mail,944,518,54.87 %,,,50,353,,98,,,
11120,Polling Place,944,164,17.37 %,,,28,112,,19,1,,
11120,Total,944,682,72.25 %,,,78,465,,117,1,,
12010,Vote by Mail,343,141,41.11 %,,,31,85,,23,,,
12010,Polling Place,343,41,11.95 %,,,13,22,,4,1,,
12010,Total,343,182,53.06 %,,,44,107,,27,1,,
12022,Vote by Mail,88,42,47.73 %,,,12,24,,3,,,
12022,Polling Place,88,1,1.14 %,,,1,,,,,,
12022,Total,88,43,48.86 %,,,13,24,,3,,,
12023,Vote by Mail,606,248,40.92 %,,,49,154,,40,,,
12023,Polling Place,606,115,18.98 %,,,23,66,,18,,,
12023,Total,606,363,59.90 %,,,72,220,,58,,,
12030,Vote by Mail,1620,744,45.93 %,,,126,495,,104,,,
12030,Polling Place,1620,290,17.90 %,,,50,197,,35,,,
12030,Total,1620,1034,63.83 %,,,176,692,,139,,,
14110,Vote by Mail,0,0,,,,,,,,,,
14110,Polling Place,0,0,,,,,,,,,,
14110,Total,0,0,,,,,,,,,,
14133,Vote by Mail,5,3,60.00 %,,,,,,3,,,
14133,Polling Place,5,0,0.00 %,,,,,,,,,
14133,Total,5,3,60.00 %,,,,,,3,,,
20011,Vote by Mail,1387,416,29.99 %,,,73,268,,67,,,
20011,Polling Place,1387,201,14.49 %,,,27,141,,32,,,
20011,Total,1387,617,44.48 %,,,100,409,,99,,,
20013,Vote by Mail,543,217,39.96 %,,,28,134,,48,,,
20013,Polling Place,543,72,13.26 %,,,16,29,,24,,,
20013,Total,543,289,53.22 %,,,44,163,,72,,,
20020,Vote by Mail,1662,621,37.36 %,,,86,382,,145,1,,
