Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"1 Member, County Central Committee Democratic Party (1st District) DEM",,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - TONY RUSSOMANNO,DEM - JOE HALL,,DEM - NORA HOCHMAN,DEM - DARRELL DARLING,DEM - ADAM SPICKLER,DEM - KEITH GUDGER,Write In,,
10020,Vote by Mail,729,384,52.67 %,,,175,172,,141,92,145,111,,,
10020,Polling Place,729,185,25.38 %,,,61,66,,58,49,58,47,1,,
10020,Total,729,569,78.05 %,,,236,238,,199,141,203,158,1,,
10060,Vote by Mail,754,406,53.85 %,,,181,176,,165,109,171,120,2,,
10060,Polling Place,754,183,24.27 %,,,71,74,,77,46,73,53,2,,
10060,Total,754,589,78.12 %,,,252,250,,242,155,244,173,4,,
10080,Vote by Mail,720,376,52.22 %,,,165,155,,170,78,153,106,3,,
10080,Polling Place,720,166,23.06 %,,,54,54,,60,37,63,47,2,,
10080,Total,720,542,75.28 %,,,219,209,,230,115,216,153,5,,
10090,Vote by Mail,722,351,48.61 %,,,182,164,,144,91,163,120,3,,
10090,Polling Place,722,180,24.93 %,,,59,50,,69,35,68,47,,,
10090,Total,722,531,73.55 %,,,241,214,,213,126,231,167,3,,
10110,Vote by Mail,719,346,48.12 %,,,172,152,,146,87,155,106,3,,
10110,Polling Place,719,177,24.62 %,,,67,58,,80,44,79,55,,,
10110,Total,719,523,72.74 %,,,239,210,,226,131,234,161,3,,
10120,Vote by Mail,812,395,48.65 %,,,207,197,,188,97,189,150,6,,
10120,Polling Place,812,227,27.96 %,,,81,80,,82,51,72,65,1,,
10120,Total,812,622,76.60 %,,,288,277,,270,148,261,215,7,,
10130,Vote by Mail,850,446,52.47 %,,,197,175,,173,105,194,137,6,,
10130,Polling Place,850,172,20.24 %,,,59,51,,58,38,72,42,1,,
10130,Total,850,618,72.71 %,,,256,226,,231,143,266,179,7,,
10141,Vote by Mail,241,159,65.98 %,,,81,75,,53,40,68,41,,,
10141,Polling Place,241,43,17.84 %,,,21,19,,13,14,16,6,,,
10141,Total,241,202,83.82 %,,,102,94,,66,54,84,47,,,
10143,Vote by Mail,56,47,83.93 %,,,19,15,,15,9,16,12,,,
10143,Polling Place,56,5,8.93 %,,,1,1,,,,3,,,,
10143,Total,56,52,92.86 %,,,20,16,,15,9,19,12,,,
10144,Vote by Mail,679,367,54.05 %,,,169,161,,145,90,167,108,3,,
10144,Polling Place,679,177,26.07 %,,,61,59,,64,39,53,46,1,,
10144,Total,679,544,80.12 %,,,230,220,,209,129,220,154,4,,
10151,Vote by Mail,18,14,77.78 %,,,6,6,,5,4,7,6,,,
10151,Polling Place,18,1,5.56 %,,,1,1,,,,,,,,
10151,Total,18,15,83.33 %,,,7,7,,5,4,7,6,,,
10161,Vote by Mail,362,209,57.73 %,,,112,99,,93,57,107,68,3,,
10161,Polling Place,362,84,23.20 %,,,23,21,,26,16,23,18,,,
10161,Total,362,293,80.94 %,,,135,120,,119,73,130,86,3,,
10164,Vote by Mail,120,86,71.67 %,,,39,34,,45,23,36,33,,,
10164,Polling Place,120,1,0.83 %,,,,,,,,,,,,
10164,Total,120,87,72.50 %,,,39,34,,45,23,36,33,,,
10170,Vote by Mail,488,233,47.75 %,,,103,117,,89,77,109,82,,,
10170,Polling Place,488,168,34.43 %,,,64,60,,63,29,53,55,1,,
10170,Total,488,401,82.17 %,,,167,177,,152,106,162,137,1,,
10190,Vote by Mail,784,405,51.66 %,,,188,177,,144,87,165,122,4,,
10190,Polling Place,784,202,25.77 %,,,78,72,,69,35,83,54,1,,
10190,Total,784,607,77.42 %,,,266,249,,213,122,248,176,5,,
10201,Vote by Mail,281,167,59.43 %,,,79,79,,68,33,67,49,,,
10201,Polling Place,281,59,21.00 %,,,19,15,,15,8,17,12,,,
10201,Total,281,226,80.43 %,,,98,94,,83,41,84,61,,,
10204,Vote by Mail,20,13,65.00 %,,,9,9,,7,5,8,6,1,,
10204,Polling Place,20,0,0.00 %,,,,,,,,,,,,
10204,Total,20,13,65.00 %,,,9,9,,7,5,8,6,1,,
10220,Vote by Mail,713,379,53.16 %,,,166,153,,147,82,161,112,1,,
10220,Polling Place,713,151,21.18 %,,,52,52,,61,25,56,41,1,,
10220,Total,713,530,74.33 %,,,218,205,,208,107,217,153,2,,
10231,Vote by Mail,95,71,74.74 %,,,26,27,,23,10,22,17,,,
10231,Polling Place,95,1,1.05 %,,,1,,,1,,1,1,,,
10231,Total,95,72,75.79 %,,,27,27,,24,10,23,18,,,
10232,Vote by Mail,67,51,76.12 %,,,29,24,,31,8,28,20,,,
10232,Polling Place,67,4,5.97 %,,,,,,1,,,,,,
