Santa Cruz,,,,,,,,,Precinct Canvass,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,
,,,,,,,,,,,
,,,,,,,,,,,
,,"1 Supervisor, 5th District",,,,,,,,,
,,,,,,,1,1,,,
,,Registered Voters,Voters Cast,Turnout (%),,,BRUCE MCPHERSON,Write In,,,
50011,Vote by Mail,6,3,50.00 %,,,3,,,,
50011,Polling Place,6,0,0.00 %,,,,,,,
50011,Total,6,3,50.00 %,,,3,,,,
50021,Vote by Mail,1364,533,39.08 %,,,415,12,,,
50021,Polling Place,1364,382,28.01 %,,,297,8,,,
50021,Total,1364,915,67.08 %,,,712,20,,,
50040,Vote by Mail,1118,447,39.98 %,,,356,10,,,
50040,Polling Place,1118,324,28.98 %,,,254,10,,,
50040,Total,1118,771,68.96 %,,,610,20,,,
50061,Vote by Mail,870,363,41.72 %,,,267,16,,,
50061,Polling Place,870,187,21.49 %,,,141,6,,,
50061,Total,870,550,63.22 %,,,408,22,,,
50090,Vote by Mail,0,0,,,,,,,,
50090,Polling Place,0,0,,,,,,,,
50090,Total,0,0,,,,,,,,
50091,Vote by Mail,1126,555,49.29 %,,,426,14,,,
50091,Polling Place,1126,234,20.78 %,,,167,5,,,
50091,Total,1126,789,70.07 %,,,593,19,,,
50092,Vote by Mail,938,374,39.87 %,,,298,5,,,
50092,Polling Place,938,256,27.29 %,,,198,5,,,
50092,Total,938,630,67.16 %,,,496,10,,,
50093,Vote by Mail,0,0,,,,,,,,
50093,Polling Place,0,0,,,,,,,,
50093,Total,0,0,,,,,,,,
50102,Vote by Mail,1497,652,43.55 %,,,472,29,,,
50102,Polling Place,1497,345,23.05 %,,,251,11,,,
50102,Total,1497,997,66.60 %,,,723,40,,,
50111,Vote by Mail,679,287,42.27 %,,,219,5,,,
50111,Polling Place,679,176,25.92 %,,,135,4,,,
50111,Total,679,463,68.19 %,,,354,9,,,
50113,Vote by Mail,541,200,36.97 %,,,155,5,,,
50113,Polling Place,541,135,24.95 %,,,112,3,,,
50113,Total,541,335,61.92 %,,,267,8,,,
50114,Vote by Mail,29,19,65.52 %,,,16,,,,
50114,Polling Place,29,1,3.45 %,,,1,,,,
50114,Total,29,20,68.97 %,,,17,,,,
50115,Vote by Mail,0,0,,,,,,,,
50115,Polling Place,0,0,,,,,,,,
50115,Total,0,0,,,,,,,,
50121,Vote by Mail,1175,453,38.55 %,,,348,11,,,
50121,Polling Place,1175,336,28.60 %,,,260,16,,,
50121,Total,1175,789,67.15 %,,,608,27,,,
50141,Vote by Mail,226,158,69.91 %,,,117,3,,,
50141,Polling Place,226,4,1.77 %,,,4,,,,
50141,Total,226,162,71.68 %,,,121,3,,,
50143,Vote by Mail,1102,472,42.83 %,,,354,24,,,
50143,Polling Place,1102,223,20.24 %,,,161,12,,,
50143,Total,1102,695,63.07 %,,,515,36,,,
50147,Vote by Mail,498,257,51.61 %,,,210,6,,,
50147,Polling Place,498,94,18.88 %,,,70,1,,,
50147,Total,498,351,70.48 %,,,280,7,,,
50154,Vote by Mail,1,1,100.00 %,,,1,,,,
50154,Polling Place,1,0,0.00 %,,,,,,,
50154,Total,1,1,100.00 %,,,1,,,,
50157,Vote by Mail,961,411,42.77 %,,,296,8,,,
50157,Polling Place,961,191,19.88 %,,,125,5,,,
50157,Total,961,602,62.64 %,,,421,13,,,
50161,Vote by Mail,1526,635,41.61 %,,,496,21,,,
50161,Polling Place,1526,356,23.33 %,,,284,6,,,
50161,Total,1526,991,64.94 %,,,780,27,,,
50172,Vote by Mail,0,0,,,,,,,,
50172,Polling Place,0,0,,,,,,,,
50172,Total,0,0,,,,,,,,
50181,Vote by Mail,122,65,53.28 %,,,48,5,,,
50181,Polling Place,122,11,9.02 %,,,6,,,,
50181,Total,122,76,62.30 %,,,54,5,,,
50183,Vote by Mail,888,407,45.83 %,,,340,6,,,
50183,Polling Place,888,152,17.12 %,,,116,7,,,
