Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1 Presidential Preference GRN,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DAVID ROLDE,HOWIE HAWKINS,,DARIO HUNTER,DENNIS LAMBERT,SEDINAM MOYOWASIFZA-CURRY,Write In,Kent Mesplay,,
10291,Total,9,6,66.67 %,,,,1,,1,,,1,,,
10310,Vote by Mail,11,3,27.27 %,,,,,,,1,,1,,,
10310,Polling Place,11,2,18.18 %,,,,,,,,,1,,,
10310,Total,11,5,45.45 %,,,,,,,1,,2,,,
10351,Vote by Mail,5,2,40.00 %,,,,,,,1,,,,,
10351,Polling Place,5,0,0.00 %,,,,,,,,,,,,
10351,Total,5,2,40.00 %,,,,,,,1,,,,,
10381,Vote by Mail,10,3,30.00 %,,,,,,1,,1,,,,
10381,Polling Place,10,0,0.00 %,,,,,,,,,,,,
10381,Total,10,3,30.00 %,,,,,,1,,1,,,,
10410,Vote by Mail,6,1,16.67 %,,,,,,1,,,,,,
10410,Polling Place,6,0,0.00 %,,,,,,,,,,,,
10410,Total,6,1,16.67 %,,,,,,1,,,,,,
10442,Vote by Mail,0,0,,,,,,,,,,,,,
10442,Polling Place,0,0,,,,,,,,,,,,,
10442,Total,0,0,,,,,,,,,,,,,
10521,Vote by Mail,0,0,,,,,,,,,,,,,
10521,Polling Place,0,0,,,,,,,,,,,,,
10521,Total,0,0,,,,,,,,,,,,,
10541,Vote by Mail,4,2,50.00 %,,,,1,,,,1,,,,
10541,Polling Place,4,0,0.00 %,,,,,,,,,,,,
10541,Total,4,2,50.00 %,,,,1,,,,1,,,,
10550,Vote by Mail,0,0,,,,,,,,,,,,,
10550,Polling Place,0,0,,,,,,,,,,,,,
10550,Total,0,0,,,,,,,,,,,,,
10552,Vote by Mail,0,0,,,,,,,,,,,,,
10552,Polling Place,0,0,,,,,,,,,,,,,
10552,Total,0,0,,,,,,,,,,,,,
10603,Vote by Mail,10,0,0.00 %,,,,,,,,,,,,
10603,Polling Place,10,3,30.00 %,,,,1,,,,,1,,,
10603,Total,10,3,30.00 %,,,,1,,,,,1,,,
10620,Vote by Mail,10,5,50.00 %,,,,1,,1,,,,,,
10620,Polling Place,10,1,10.00 %,,,,,,,,,,,,
10620,Total,10,6,60.00 %,,,,1,,1,,,,,,
10690,Vote by Mail,0,0,,,,,,,,,,,,,
10690,Polling Place,0,0,,,,,,,,,,,,,
10690,Total,0,0,,,,,,,,,,,,,
10762,Vote by Mail,0,0,,,,,,,,,,,,,
10762,Polling Place,0,0,,,,,,,,,,,,,
10762,Total,0,0,,,,,,,,,,,,,
10781,Vote by Mail,4,1,25.00 %,,,,,,,,1,,,,
10781,Polling Place,4,0,0.00 %,,,,,,,,,,,,
10781,Total,4,1,25.00 %,,,,,,,,1,,,,
11010,Vote by Mail,10,3,30.00 %,,,,1,,1,1,,,,,
11010,Polling Place,10,2,20.00 %,,,,,,,,,1,,,
11010,Total,10,5,50.00 %,,,,1,,1,1,,1,,,
11120,Vote by Mail,4,0,0.00 %,,,,,,,,,,,,
11120,Polling Place,4,0,0.00 %,,,,,,,,,,,,
11120,Total,4,0,0.00 %,,,,,,,,,,,,
12010,Vote by Mail,2,0,0.00 %,,,,,,,,,,,,
12010,Polling Place,2,0,0.00 %,,,,,,,,,,,,
12010,Total,2,0,0.00 %,,,,,,,,,,,,
12022,Vote by Mail,0,0,,,,,,,,,,,,,
12022,Polling Place,0,0,,,,,,,,,,,,,
12022,Total,0,0,,,,,,,,,,,,,
12023,Vote by Mail,8,1,12.50 %,,,,,,,,,1,,,
12023,Polling Place,8,2,25.00 %,,,,,,,,,,,,
12023,Total,8,3,37.50 %,,,,,,,,,1,,,
12030,Vote by Mail,9,4,44.44 %,,,,,,,1,1,2,,,
