Santa Cruz,,,,,,,,,Precinct Canvass,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1 State Senator 17th District,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - JOHN LAIRD,DEM - MARIA CADENAS,,REP - VICKI NOHRDEN,DEM - JOHN M. NEVILL,Write In,,
10287,Total,13,12,92.31 %,,,6,1,,5,,,,
10291,Vote by Mail,1560,797,51.09 %,,,426,126,,178,17,1,,
10291,Polling Place,1560,296,18.97 %,,,149,42,,67,12,,,
10291,Total,1560,1093,70.06 %,,,575,168,,245,29,1,,
10310,Vote by Mail,1464,679,46.38 %,,,419,123,,74,9,2,,
10310,Polling Place,1464,302,20.63 %,,,156,66,,21,11,2,,
10310,Total,1464,981,67.01 %,,,575,189,,95,20,4,,
10351,Vote by Mail,990,479,48.38 %,,,266,66,,99,21,1,,
10351,Polling Place,990,265,26.77 %,,,154,38,,44,8,,,
10351,Total,990,744,75.15 %,,,420,104,,143,29,1,,
10381,Vote by Mail,1410,626,44.40 %,,,321,108,,136,20,,,
10381,Polling Place,1410,276,19.57 %,,,145,30,,67,7,1,,
10381,Total,1410,902,63.97 %,,,466,138,,203,27,1,,
10410,Vote by Mail,704,302,42.90 %,,,169,56,,46,3,1,,
10410,Polling Place,704,166,23.58 %,,,108,23,,20,6,,,
10410,Total,704,468,66.48 %,,,277,79,,66,9,1,,
10442,Vote by Mail,50,28,56.00 %,,,16,6,,1,,,,
10442,Polling Place,50,3,6.00 %,,,1,1,,,,,,
10442,Total,50,31,62.00 %,,,17,7,,1,,,,
10521,Vote by Mail,114,73,64.04 %,,,44,10,,18,1,,,
10521,Polling Place,114,6,5.26 %,,,5,1,,,,,,
10521,Total,114,79,69.30 %,,,49,11,,18,1,,,
10541,Vote by Mail,265,181,68.30 %,,,81,33,,39,11,,,
10541,Polling Place,265,4,1.51 %,,,2,1,,,1,,,
10541,Total,265,185,69.81 %,,,83,34,,39,12,,,
10550,Vote by Mail,16,7,43.75 %,,,,1,,5,,,,
10550,Polling Place,16,1,6.25 %,,,,1,,,,,,
10550,Total,16,8,50.00 %,,,,2,,5,,,,
10552,Vote by Mail,0,0,,,,,,,,,,,
10552,Polling Place,0,0,,,,,,,,,,,
10552,Total,0,0,,,,,,,,,,,
10603,Vote by Mail,1199,552,46.04 %,,,300,78,,125,17,,,
10603,Polling Place,1199,269,22.44 %,,,145,46,,36,15,3,,
10603,Total,1199,821,68.47 %,,,445,124,,161,32,3,,
10620,Vote by Mail,1362,625,45.89 %,,,371,114,,99,13,1,,
10620,Polling Place,1362,271,19.90 %,,,145,47,,46,8,,,
10620,Total,1362,896,65.79 %,,,516,161,,145,21,1,,
10690,Vote by Mail,56,44,78.57 %,,,24,7,,5,3,,,
10690,Polling Place,56,1,1.79 %,,,,,,,1,,,
10690,Total,56,45,80.36 %,,,24,7,,5,4,,,
10762,Vote by Mail,21,14,66.67 %,,,5,,,8,,,,
10762,Polling Place,21,0,0.00 %,,,,,,,,,,
10762,Total,21,14,66.67 %,,,5,,,8,,,,
10781,Vote by Mail,304,202,66.45 %,,,115,25,,44,6,,,
10781,Polling Place,304,3,0.99 %,,,3,,,,,,,
10781,Total,304,205,67.43 %,,,118,25,,44,6,,,
11010,Vote by Mail,1559,776,49.78 %,,,465,95,,148,14,,,
11010,Polling Place,1559,402,25.79 %,,,227,73,,65,8,,,
11010,Total,1559,1178,75.56 %,,,692,168,,213,22,,,
11120,Vote by Mail,944,518,54.87 %,,,293,74,,115,9,,,
11120,Polling Place,944,164,17.37 %,,,97,30,,25,3,1,,
11120,Total,944,682,72.25 %,,,390,104,,140,12,1,,
12010,Vote by Mail,343,141,41.11 %,,,70,36,,27,3,,,
12010,Polling Place,343,41,11.95 %,,,16,18,,6,,1,,
12010,Total,343,182,53.06 %,,,86,54,,33,3,1,,
12022,Vote by Mail,88,42,47.73 %,,,24,13,,1,1,,,
12022,Polling Place,88,1,1.14 %,,,,1,,,,,,
12022,Total,88,43,48.86 %,,,24,14,,1,1,,,
12023,Vote by Mail,606,248,40.92 %,,,133,57,,40,4,,,
12023,Polling Place,606,115,18.98 %,,,60,24,,17,1,,,
12023,Total,606,363,59.90 %,,,193,81,,57,5,,,
12030,Vote by Mail,1620,744,45.93 %,,,408,162,,106,22,,,
12030,Polling Place,1620,290,17.90 %,,,161,67,,40,4,,,
12030,Total,1620,1034,63.83 %,,,569,229,,146,26,,,
14110,Vote by Mail,0,0,,,,,,,,,,,
14110,Polling Place,0,0,,,,,,,,,,,
14110,Total,0,0,,,,,,,,,,,
14121,Vote by Mail,1416,681,48.09 %,,,316,104,,200,10,1,,
14121,Polling Place,1416,233,16.45 %,,,100,48,,61,6,3,,
14121,Total,1416,914,64.55 %,,,416,152,,261,16,4,,
14123,Vote by Mail,0,0,,,,,,,,,,,
14123,Polling Place,0,0,,,,,,,,,,,
14123,Total,0,0,,,,,,,,,,,
14133,Vote by Mail,5,3,60.00 %,,,,,,3,,,,
14133,Polling Place,5,0,0.00 %,,,,,,,,,,
14133,Total,5,3,60.00 %,,,,,,3,,,,
14141,Vote by Mail,191,112,58.64 %,,,36,21,,48,,,,
14141,Polling Place,191,4,2.09 %,,,2,,,2,,,,
14141,Total,191,116,60.73 %,,,38,21,,50,,,,
20011,Vote by Mail,1387,416,29.99 %,,,182,124,,80,11,1,,
20011,Polling Place,1387,201,14.49 %,,,82,61,,38,8,,,
20011,Total,1387,617,44.48 %,,,264,185,,118,19,1,,
20013,Vote by Mail,543,217,39.96 %,,,105,33,,58,7,,,
20013,Polling Place,543,72,13.26 %,,,25,14,,26,2,,,
20013,Total,543,289,53.22 %,,,130,47,,84,9,,,
20020,Vote by Mail,1662,621,37.36 %,,,261,133,,170,21,,,
20020,Polling Place,1662,208,12.52 %,,,88,56,,47,8,,,
20020,Total,1662,829,49.88 %,,,349,189,,217,29,,,
20041,Vote by Mail,1078,462,42.86 %,,,242,48,,139,11,,,
20041,Polling Place,1078,184,17.07 %,,,93,25,,47,4,1,,
20041,Total,1078,646,59.93 %,,,335,73,,186,15,1,,
20044,Vote by Mail,1000,458,45.80 %,,,255,53,,117,13,,,
20044,Polling Place,1000,212,21.20 %,,,109,29,,48,8,1,,
20044,Total,1000,670,67.00 %,,,364,82,,165,21,1,,
20061,Vote by Mail,854,394,46.14 %,,,199,54,,113,7,2,,
20061,Polling Place,854,201,23.54 %,,,108,27,,53,7,,,
20061,Total,854,595,69.67 %,,,307,81,,166,14,2,,
20093,Vote by Mail,1,0,0.00 %,,,,,,,,,,
20093,Polling Place,1,1,100.00 %,,,1,,,,,,,
20093,Total,1,1,100.00 %,,,1,,,,,,,
20096,Vote by Mail,9,7,77.78 %,,,1,3,,2,,,,
20096,Polling Place,9,1,11.11 %,,,1,,,,,,,
20096,Total,9,8,88.89 %,,,2,3,,2,,,,
20101,Vote by Mail,1147,539,46.99 %,,,258,81,,160,12,,,
20101,Polling Place,1147,187,16.30 %,,,94,32,,39,6,,,
20101,Total,1147,726,63.30 %,,,352,113,,199,18,,,
20150,Vote by Mail,691,295,42.69 %,,,174,39,,59,4,,,
20150,Polling Place,691,158,22.87 %,,,87,28,,31,7,,,
20150,Total,691,453,65.56 %,,,261,67,,90,11,,,
20221,Vote by Mail,1437,667,46.42 %,,,386,100,,131,9,,,
20221,Polling Place,1437,308,21.43 %,,,181,47,,48,8,,,
20221,Total,1437,975,67.85 %,,,567,147,,179,17,,,
20232,Vote by Mail,1226,599,48.86 %,,,345,65,,135,13,4,,
20232,Polling Place,1226,258,21.04 %,,,154,33,,45,7,,,
20232,Total,1226,857,69.90 %,,,499,98,,180,20,4,,
20241,Vote by Mail,90,52,57.78 %,,,28,8,,11,,,,
20241,Polling Place,90,3,3.33 %,,,2,1,,,,,,
20241,Total,90,55,61.11 %,,,30,9,,11,,,,
20242,Vote by Mail,1397,690,49.39 %,,,396,79,,159,14,,,
20242,Polling Place,1397,276,19.76 %,,,161,37,,43,16,1,,
20242,Total,1397,966,69.15 %,,,557,116,,202,30,1,,
20251,Vote by Mail,1208,547,45.28 %,,,304,79,,120,13,,,
20251,Polling Place,1208,267,22.10 %,,,153,44,,48,8,,,
