Santa Cruz,,,,,,,,,Precinct Canvass,,,,,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1 Presidential Preference DEM,,,,,,,,,,,,,,,
,,,,,,,1,1,,1,1,1,1,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,Write In,Nakia L. Anthony,,Daphne Denise Bradford,Willie Felix Carter,Michael Dename,Jeffrey H. Drobman,Robert Jordan,Heather Marie Stagg,,
10287,Total,13,7,53.85 %,,,,,,,,,,,,,
10291,Vote by Mail,1560,544,34.87 %,,,,,,,,,,,,,
10291,Polling Place,1560,231,14.81 %,,,1,,,,,,,,,,
10291,Total,1560,775,49.68 %,,,1,,,,,,,,,,
10310,Vote by Mail,1464,555,37.91 %,,,,,,,,,,,,,
10310,Polling Place,1464,272,18.58 %,,,1,,,,,,,,,,
10310,Total,1464,827,56.49 %,,,1,,,,,,,,,,
10351,Vote by Mail,990,333,33.64 %,,,1,,,,,,,,,,
10351,Polling Place,990,223,22.53 %,,,,,,,,,,,,,
10351,Total,990,556,56.16 %,,,1,,,,,,,,,,
10381,Vote by Mail,1410,422,29.93 %,,,2,,,,,,,,,,
10381,Polling Place,1410,211,14.96 %,,,,,,,,,,,,,
10381,Total,1410,633,44.89 %,,,2,,,,,,,,,,
10410,Vote by Mail,704,237,33.66 %,,,,,,,,,,,,,
10410,Polling Place,704,142,20.17 %,,,,,,,,,,,,,
10410,Total,704,379,53.84 %,,,,,,,,,,,,,
10442,Vote by Mail,50,23,46.00 %,,,,,,,,,,,,,
10442,Polling Place,50,3,6.00 %,,,,,,,,,,,,,
10442,Total,50,26,52.00 %,,,,,,,,,,,,,
10521,Vote by Mail,114,49,42.98 %,,,,,,,,,,,,,
10521,Polling Place,114,6,5.26 %,,,,,,,,,,,,,
10521,Total,114,55,48.25 %,,,,,,,,,,,,,
10541,Vote by Mail,265,121,45.66 %,,,,,,,,,,,,,
10541,Polling Place,265,4,1.51 %,,,,,,,,,,,,,
10541,Total,265,125,47.17 %,,,,,,,,,,,,,
10550,Vote by Mail,16,3,18.75 %,,,,,,,,,,,,,
10550,Polling Place,16,1,6.25 %,,,,,,,,,,,,,
10550,Total,16,4,25.00 %,,,,,,,,,,,,,
10552,Vote by Mail,0,0,,,,,,,,,,,,,,
10552,Polling Place,0,0,,,,,,,,,,,,,,
10552,Total,0,0,,,,,,,,,,,,,,
10603,Vote by Mail,1199,386,32.19 %,,,1,,,,,,,,,,
10603,Polling Place,1199,223,18.60 %,,,,,,,,,,,,,
10603,Total,1199,609,50.79 %,,,1,,,,,,,,,,
10620,Vote by Mail,1362,458,33.63 %,,,,,,,,,,,,,
10620,Polling Place,1362,225,16.52 %,,,2,,,,,,,,,,
10620,Total,1362,683,50.15 %,,,2,,,,,,,,,,
10690,Vote by Mail,56,29,51.79 %,,,,,,,,,,,,,
10690,Polling Place,56,1,1.79 %,,,,,,,,,,,,,
10690,Total,56,30,53.57 %,,,,,,,,,,,,,
10762,Vote by Mail,21,6,28.57 %,,,,,,,,,,,,,
10762,Polling Place,21,0,0.00 %,,,,,,,,,,,,,
10762,Total,21,6,28.57 %,,,,,,,,,,,,,
10781,Vote by Mail,304,146,48.03 %,,,,,,,,,,,,,
10781,Polling Place,304,3,0.99 %,,,,,,,,,,,,,
10781,Total,304,149,49.01 %,,,,,,,,,,,,,
11010,Vote by Mail,1559,560,35.92 %,,,2,,,,,,,,,,
11010,Polling Place,1559,341,21.87 %,,,,,,,,,,,,,
11010,Total,1559,901,57.79 %,,,2,,,,,,,,,,
11120,Vote by Mail,944,370,39.19 %,,,3,,,,,,,,,,
11120,Polling Place,944,145,15.36 %,,,,,,,,,,,,,
11120,Total,944,515,54.56 %,,,3,,,,,,,,,,
12010,Vote by Mail,343,105,30.61 %,,,,,,,,,,,,,
12010,Polling Place,343,35,10.20 %,,,,,,,,,,,,,
12010,Total,343,140,40.82 %,,,,,,,,,,,,,
12022,Vote by Mail,88,34,38.64 %,,,,,,,,,,,,,
12022,Polling Place,88,1,1.14 %,,,,,,,,,,,,,
12022,Total,88,35,39.77 %,,,,,,,,,,,,,
12023,Vote by Mail,606,188,31.02 %,,,,,,,,,,,,,
12023,Polling Place,606,98,16.17 %,,,,,,,,,,,,,
12023,Total,606,286,47.19 %,,,,,,,,,,,,,
12030,Vote by Mail,1620,563,34.75 %,,,,,,,,,,,,,
12030,Polling Place,1620,253,15.62 %,,,1,,,,,,,,,,
12030,Total,1620,816,50.37 %,,,1,,,,,,,,,,
14110,Vote by Mail,0,0,,,,,,,,,,,,,,
14110,Polling Place,0,0,,,,,,,,,,,,,,
14110,Total,0,0,,,,,,,,,,,,,,
14121,Vote by Mail,1416,402,28.39 %,,,1,,,,,,,,,,
14121,Polling Place,1416,174,12.29 %,,,,,,,,,,,,,
14121,Total,1416,576,40.68 %,,,1,,,,,,,,,,
14123,Vote by Mail,0,0,,,,,,,,,,,,,,
14123,Polling Place,0,0,,,,,,,,,,,,,,
14123,Total,0,0,,,,,,,,,,,,,,
14133,Vote by Mail,5,0,0.00 %,,,,,,,,,,,,,
14133,Polling Place,5,0,0.00 %,,,,,,,,,,,,,
14133,Total,5,0,0.00 %,,,,,,,,,,,,,
14141,Vote by Mail,191,53,27.75 %,,,,,,,,,,,,,
14141,Polling Place,191,3,1.57 %,,,,,,,,,,,,,
14141,Total,191,56,29.32 %,,,,,,,,,,,,,
20011,Vote by Mail,1387,300,21.63 %,,,,,,,,,,,,,
20011,Polling Place,1387,166,11.97 %,,,1,,,,,,,,,,
20011,Total,1387,466,33.60 %,,,1,,,,,,,,,,
20013,Vote by Mail,543,144,26.52 %,,,,,,,,,,,,,
20013,Polling Place,543,44,8.10 %,,,,,,,,,,,,,
20013,Total,543,188,34.62 %,,,,,,,,,,,,,
20020,Vote by Mail,1662,415,24.97 %,,,5,,,,,,,,,,
20020,Polling Place,1662,149,8.97 %,,,2,,,,,,,,,,
20020,Total,1662,564,33.94 %,,,7,,,,,,,,,,
20041,Vote by Mail,1078,284,26.35 %,,,,,,,,,,,,,
20041,Polling Place,1078,133,12.34 %,,,,,,,,,,,,,
20041,Total,1078,417,38.68 %,,,,,,,,,,,,,
20044,Vote by Mail,1000,308,30.80 %,,,,,,,,,,,,,
20044,Polling Place,1000,161,16.10 %,,,1,,,,,,,,,,
20044,Total,1000,469,46.90 %,,,1,,,,,,,,,,
20061,Vote by Mail,854,251,29.39 %,,,,,,,,,,,,,
20061,Polling Place,854,140,16.39 %,,,1,,,,,,,,,,
20061,Total,854,391,45.78 %,,,1,,,,,,,,,,
20093,Vote by Mail,1,0,0.00 %,,,,,,,,,,,,,
20093,Polling Place,1,1,100.00 %,,,,,,,,,,,,,
20093,Total,1,1,100.00 %,,,,,,,,,,,,,
20096,Vote by Mail,9,6,66.67 %,,,,,,,,,,,,,
20096,Polling Place,9,1,11.11 %,,,,,,,,,,,,,
20096,Total,9,7,77.78 %,,,,,,,,,,,,,
20101,Vote by Mail,1147,342,29.82 %,,,1,,,,,,,,,,
20101,Polling Place,1147,145,12.64 %,,,,,,,,,,,,,
20101,Total,1147,487,42.46 %,,,1,,,,,,,,,,
20150,Vote by Mail,691,217,31.40 %,,,2,,,,,,,,,,
20150,Polling Place,691,124,17.95 %,,,2,,,,,,,,,,
20150,Total,691,341,49.35 %,,,4,,,,,,,,,,
20221,Vote by Mail,1437,468,32.57 %,,,,,,,,,,,,,
20221,Polling Place,1437,248,17.26 %,,,1,,,,,,,,,,
