Democratic Party Presidential Preference (Vote For 1)
                                                            BERNIE SANDERS                                                                            JOSEPH R. BIDEN                                                                           MICHAEL R. BLOOMBERG                                                                      ELIZABETH WARREN                                                                          TOM STEYER                                                                                PETE BUTTIGIEG                                                                            AMY KLOBUCHAR                                                                             Write-in                                                                                  ANDREW YANG                                                                               JULIÁN CASTRO                                                                             TULSI GABBARD                                                                             MICHAEL BENNET                                                                            MARIANNE WILLIAMSON                                                                       ROQUE "ROCKY" DE LA FUENTE III                                                            MICHAEL A. ELLINGER                                                                       JOHN K. DELANEY                                                                           CORY BOOKER                                                                               MARK STEWART GREENSTEIN                                                                   JOE SESTAK                                                                                DEVAL PATRICK                                                                             MOSIE BOYD                                                                                
County                        Registered Voters             Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Total                         
01012                         429                           30                            5                             35                            12                            5                             17                            6                             2                             8                             7                             3                             10                            4                             0                             4                             1                             0                             1                             1                             0                             1                             0                             1                             1                             1                             0                             1                             0                             0                             0                             2                             0                             2                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             81                            
01013                         467                           34                            9                             43                            18                            4                             22                            8                             0                             8                             4                             2                             6                             1                             0                             1                             0                             0                             0                             1                             0                             1                             3                             3                             6                             2                             0                             2                             6                             0                             6                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             96                            
01014                         297                           35                            2                             37                            14                            6                             20                            6                             3                             9                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             68                            
01015                         605                           73                            22                            95                            33                            15                            48                            24                            15                            39                            4                             2                             6                             7                             1                             8                             2                             0                             2                             0                             0                             0                             2                             0                             2                             0                             0                             0                             5                             1                             6                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             207                           
01016                         672                           43                            23                            66                            36                            12                            48                            19                            7                             26                            7                             1                             8                             3                             1                             4                             3                             0                             3                             0                             0                             0                             2                             0                             2                             1                             0                             1                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             160                           
01017                         386                           6                             2                             8                             14                            1                             15                            5                             2                             7                             0                             1                             1                             2                             0                             2                             6                             0                             6                             2                             0                             2                             2                             0                             2                             0                             0                             0                             0                             0                             0                             2                             1                             3                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             47                            
02018                         509                           38                            11                            49                            14                            20                            34                            19                            6                             25                            19                            15                            34                            4                             1                             5                             6                             1                             7                             5                             0                             5                             3                             0                             3                             5                             0                             5                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             167                           
02019                         404                           18                            3                             21                            23                            9                             32                            12                            1                             13                            9                             1                             10                            2                             0                             2                             7                             0                             7                             4                             0                             4                             2                             1                             3                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             1                             94                            
02020                         391                           14                            2                             16                            16                            14                            30                            9                             4                             13                            5                             2                             7                             2                             0                             2                             1                             0                             1                             6                             0                             6                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             77                            
02021                         589                           41                            13                            54                            21                            7                             28                            17                            4                             21                            6                             2                             8                             1                             0                             1                             3                             0                             3                             1                             0                             1                             0                             1                             1                             3                             1                             4                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             121                           
02022                         330                           21                            6                             27                            16                            10                            26                            10                            3                             13                            6                             2                             8                             1                             0                             1                             8                             0                             8                             2                             0                             2                             1                             1                             2                             1                             0                             1                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             89                            
