Democratic Party Presidential Preference (Vote For 1)
                                                            BERNIE SANDERS                                                                            JOSEPH R. BIDEN                                                                           MICHAEL R. BLOOMBERG                                                                      ELIZABETH WARREN                                                                          TOM STEYER                                                                                PETE BUTTIGIEG                                                                            AMY KLOBUCHAR                                                                             Write-in                                                                                  ANDREW YANG                                                                               JULIÁN CASTRO                                                                             TULSI GABBARD                                                                             MICHAEL BENNET                                                                            MARIANNE WILLIAMSON                                                                       ROQUE "ROCKY" DE LA FUENTE III                                                            MICHAEL A. ELLINGER                                                                       JOHN K. DELANEY                                                                           CORY BOOKER                                                                               MARK STEWART GREENSTEIN                                                                   JOE SESTAK                                                                                DEVAL PATRICK                                                                             MOSIE BOYD                                                                                
County                        Registered Voters             Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Vote By Mail                  Election Day                  Choice Total                  Total                         
03062                         1111                          56                            13                            69                            30                            21                            51                            13                            5                             18                            6                             3                             9                             8                             1                             9                             5                             0                             5                             3                             1                             4                             3                             0                             3                             0                             0                             0                             2                             0                             2                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             172                           
03063                         503                           21                            8                             29                            23                            10                            33                            10                            4                             14                            3                             1                             4                             5                             1                             6                             6                             0                             6                             3                             0                             3                             1                             0                             1                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             98                            
03064                         1063                          37                            35                            72                            43                            28                            71                            11                            8                             19                            8                             4                             12                            9                             0                             9                             7                             0                             7                             1                             0                             1                             7                             1                             8                             2                             2                             4                             2                             0                             2                             0                             5                             5                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             0                             0                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             214                           
03065                         934                           42                            23                            65                            48                            28                            76                            16                            6                             22                            14                            2                             16                            8                             0                             8                             8                             1                             9                             2                             0                             2                             4                             0                             4                             0                             0                             0                             0                             0                             0                             2                             1                             3                             1                             0                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             208                           
03066                         871                           43                            8                             51                            26                            15                            41                            7                             0                             7                             5                             0                             5                             5                             0                             5                             3                             0                             3                             0                             1                             1                             0                             0                             0                             3                             0                             3                             2                             0                             2                             1                             1                             2                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             121                           
03067                         565                           33                            7                             40                            34                            5                             39                            19                            6                             25                            16                            3                             19                            3                             0                             3                             10                            0                             10                            2                             0                             2                             3                             0                             3                             0                             0                             0                             1                             0                             1                             2                             0                             2                             0                             0                             0                             0                             1                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             147                           
03068                         1000                          53                            5                             58                            44                            15                            59                            29                            1                             30                            16                            4                             20                            11                            0                             11                            13                            0                             13                            5                             0                             5                             0                             0                             0                             0                             0                             0                             1                             0                             1                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             200                           
03069                         441                           31                            8                             39                            10                            3                             13                            8                             3                             11                            8                             1                             9                             3                             0                             3                             1                             0                             1                             0                             0                             0                             2                             0                             2                             5                             0                             5                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             84                            
03070                         844                           22                            7                             29                            25                            14                            39                            13                            5                             18                            1                             2                             3                             2                             1                             3                             7                             1                             8                             5                             0                             5                             5                             1                             6                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             114                           
03071                         338                           13                            2                             15                            13                            4                             17                            6                             1                             7                             2                             0                             2                             3                             1                             4                             2                             0                             2                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             50                            
03072                         1025                          74                            21                            95                            32                            19                            51                            15                            3                             18                            9                             5                             14                            6                             0                             6                             8                             0                             8                             2                             1                             3                             2                             0                             2                             11                            0                             11                            3                             0                             3                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             215                           
03073                         1080                          66                            19                            85                            36                            16                            52                            9                             2                             11                            4                             3                             7                             10                            0                             10                            6                             0                             6                             1                             0                             1                             7                             0                             7                             12                            0                             12                            1                             0                             1                             2                             0                             2                             0                             0                             0                             0                             0                             0                             1                             0                             1                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             197                           
03074                         956                           24                            8                             32                            54                            15                            69                            21                            6                             27                            11                            1                             12                            6                             0                             6                             12                            0                             12                            4                             0                             4                             1                             1                             2                             3                             0                             3                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             169                           
03075                         675                           22                            7                             29                            13                            12                            25                            6                             4                             10                            8                             1                             9                             0                             0                             0                             5                             0                             5                             5                             0                             5                             3                             0                             3                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             89                            
03076                         326                           10                            5                             15                            5                             3                             8                             4                             0                             4                             3                             1                             4                             4                             0                             4                             3                             0                             3                             2                             0                             2                             0                             0                             0                             1                             0                             1                             2                             0                             2                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             46                            
03077                         1222                          120                           18                            138                           42                            14                            56                            18                            5                             23                            14                            4                             18                            12                            1                             13                            4                             1                             5                             1                             0                             1                             0                             0                             0                             12                            2                             14                            5                             0                             5                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             275                           
03078                         1125                          88                            23                            111                           48                            33                            81                            30                            3                             33                            25                            11                            36                            6                             1                             7                             14                            0                             14                            6                             0                             6                             3                             0                             3                             0                             0                             0                             1                             1                             2                             5                             0                             5                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             299                           
03079                         923                           87                            24                            111                           29                            12                            41                            10                            0                             10                            15                            0                             15                            3                             0                             3                             7                             0                             7                             3                             0                             3                             4                             0                             4                             6                             0                             6                             1                             1                             2                             0                             2                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             204                           
03080                         738                           96                            14                            110                           12                            5                             17                            9                             0                             9                             8                             4                             12                            3                             0                             3                             4                             0                             4                             1                             0                             1                             0                             0                             0                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             158                           
03081                         620                           37                            12                            49                            23                            7                             30                            15                            0                             15                            4                             3                             7                             7                             1                             8                             7                             1                             8                             0                             0                             0                             3                             1                             4                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             123                           
04082                         299                           12                            7                             19                            3                             2                             5                             7                             0                             7                             2                             1                             3                             0                             1                             1                             5                             0                             5                             2                             0                             2                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             44                            
04083                         454                           20                            5                             25                            8                             6                             14                            11                            5                             16                            8                             1                             9                             0                             0                             0                             1                             0                             1                             0                             1                             1                             2                             0                             2                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             69                            
04084                         369                           22                            6                             28                            10                            5                             15                            8                             2                             10                            2                             2                             4                             2                             0                             2                             7                             0                             7                             2                             0                             2                             2                             0                             2                             1                             0                             1                             2                             0                             2                             1                             0                             1                             1                             0                             1                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             75                            
