Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
Vote by Mail,109,810,,0,0.00%,0,0.00%,7,6.48%,,0,0.00%,2,1.85%,,0,0.00%,0,0.00%,0,0.00%,73,67.59%,1,0.93%,5,4.63%,0,0.00%,0,0.00%,5,4.63%,0,0.00%,0,0.00%,3,2.78%,12,11.11%,0,0.00%,0,0.00%,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,810,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,189,810,,1,0.54%,0,0.00%,7,3.80%,,0,0.00%,2,1.09%,,0,0.00%,0,0.00%,0,0.00%,120,65.22%,1,0.54%,6,3.26%,0,0.00%,0,0.00%,14,7.61%,0,0.00%,0,0.00%,3,1.63%,30,16.30%,0,0.00%,0,0.00%,184,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,72,963,,0,0.00%,0,0.00%,2,2.86%,,0,0.00%,1,1.43%,,0,0.00%,0,0.00%,0,0.00%,40,57.14%,1,1.43%,0,0.00%,0,0.00%,1,1.43%,5,7.14%,0,0.00%,0,0.00%,0,0.00%,20,28.57%,0,0.00%,0,0.00%,70,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,157,963,,1,0.65%,0,0.00%,11,7.19%,,0,0.00%,2,1.31%,,0,0.00%,0,0.00%,1,0.65%,80,52.29%,0,0.00%,9,5.88%,0,0.00%,0,0.00%,12,7.84%,1,0.65%,0,0.00%,3,1.96%,31,20.26%,1,0.65%,1,0.65%,153,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,963,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,229,963,,1,0.45%,0,0.00%,13,5.83%,,0,0.00%,3,1.35%,,0,0.00%,0,0.00%,1,0.45%,120,53.81%,1,0.45%,9,4.04%,0,0.00%,1,0.45%,17,7.62%,1,0.45%,0,0.00%,3,1.35%,51,22.87%,1,0.45%,1,0.45%,223,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,135,"1,732",,1,0.76%,1,0.76%,3,2.29%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,97,74.05%,1,0.76%,1,0.76%,0,0.00%,0,0.00%,14,10.69%,0,0.00%,0,0.00%,0,0.00%,13,9.92%,0,0.00%,0,0.00%,131,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
