Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
Total,351,"1,467",,3,0.87%,0,0.00%,29,8.45%,,0,0.00%,4,1.17%,,1,0.29%,1,0.29%,6,1.75%,151,44.02%,0,0.00%,8,2.33%,0,0.00%,0,0.00%,45,13.12%,2,0.58%,0,0.00%,9,2.62%,84,24.49%,0,0.00%,0,0.00%,343,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,81,806,,0,0.00%,0,0.00%,9,11.11%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,50,61.73%,0,0.00%,2,2.47%,0,0.00%,1,1.23%,4,4.94%,0,0.00%,0,0.00%,0,0.00%,15,18.52%,0,0.00%,0,0.00%,81,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,154,806,,1,0.66%,0,0.00%,13,8.55%,,0,0.00%,2,1.32%,,0,0.00%,0,0.00%,2,1.32%,69,45.39%,0,0.00%,8,5.26%,0,0.00%,1,0.66%,13,8.55%,0,0.00%,0,0.00%,7,4.61%,36,23.68%,0,0.00%,0,0.00%,152,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,806,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,235,806,,1,0.43%,0,0.00%,22,9.44%,,0,0.00%,2,0.86%,,0,0.00%,0,0.00%,2,0.86%,119,51.07%,0,0.00%,10,4.29%,0,0.00%,2,0.86%,17,7.30%,0,0.00%,0,0.00%,7,3.00%,51,21.89%,0,0.00%,0,0.00%,233,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,87,"1,267",,0,0.00%,0,0.00%,3,3.49%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,43,50.00%,0,0.00%,1,1.16%,0,0.00%,1,1.16%,8,9.30%,0,0.00%,0,0.00%,0,0.00%,30,34.88%,0,0.00%,0,0.00%,86,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,255,"1,267",,0,0.00%,0,0.00%,14,5.58%,,0,0.00%,2,0.80%,,0,0.00%,0,0.00%,5,1.99%,104,41.43%,0,0.00%,10,3.98%,0,0.00%,0,0.00%,39,15.54%,0,0.00%,0,0.00%,14,5.58%,61,24.30%,2,0.80%,0,0.00%,251,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,267",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,342,"1,267",,0,0.00%,0,0.00%,17,5.04%,,0,0.00%,2,0.59%,,0,0.00%,0,0.00%,5,1.48%,147,43.62%,0,0.00%,11,3.26%,0,0.00%,1,0.30%,47,13.95%,0,0.00%,0,0.00%,14,4.15%,91,27.00%,2,0.59%,0,0.00%,337,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,68,855,,0,0.00%,0,0.00%,1,1.54%,,0,0.00%,0,0.00%,,0,0.00%,1,1.54%,0,0.00%,39,60.00%,0,0.00%,1,1.54%,0,0.00%,0,0.00%,8,12.31%,0,0.00%,0,0.00%,0,0.00%,15,23.08%,0,0.00%,0,0.00%,65,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,135,855,,0,0.00%,0,0.00%,7,5.22%,,0,0.00%,1,0.75%,,0,0.00%,0,0.00%,2,1.49%,62,46.27%,1,0.75%,11,8.21%,0,0.00%,0,0.00%,12,8.96%,0,0.00%,0,0.00%,5,3.73%,33,24.63%,0,0.00%,0,0.00%,134,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,855,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,203,855,,0,0.00%,0,0.00%,8,4.02%,,0,0.00%,1,0.50%,,0,0.00%,1,0.50%,2,1.01%,101,50.75%,1,0.50%,12,6.03%,0,0.00%,0,0.00%,20,10.05%,0,0.00%,0,0.00%,5,2.51%,48,24.12%,0,0.00%,0,0.00%,199,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,42,615,,0,0.00%,0,0.00%,3,7.69%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,19,48.72%,0,0.00%,1,2.56%,0,0.00%,0,0.00%,3,7.69%,0,0.00%,0,0.00%,0,0.00%,13,33.33%,0,0.00%,0,0.00%,39,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,116,615,,2,1.75%,0,0.00%,4,3.51%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.88%,50,43.86%,0,0.00%,6,5.26%,0,0.00%,0,0.00%,15,13.16%,0,0.00%,0,0.00%,2,1.75%,33,28.95%,0,0.00%,1,0.88%,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,615,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,158,615,,2,1.31%,0,0.00%,7,4.58%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.65%,69,45.10%,0,0.00%,7,4.58%,0,0.00%,0,0.00%,18,11.76%,0,0.00%,0,0.00%,2,1.31%,46,30.07%,0,0.00%,1,0.65%,153,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,60,968,,1,1.67%,0,0.00%,3,5.00%,,1,1.67%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,32,53.33%,0,0.00%,1,1.67%,0,0.00%,0,0.00%,8,13.33%,0,0.00%,0,0.00%,0,0.00%,14,23.33%,0,0.00%,0,0.00%,60,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,183,968,,2,1.10%,0,0.00%,8,4.42%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,4,2.21%,67,37.02%,1,0.55%,14,7.73%,0,0.00%,1,0.55%,29,16.02%,0,0.00%,0,0.00%,5,2.76%,49,27.07%,1,0.55%,0,0.00%,181,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,968,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,243,968,,3,1.24%,0,0.00%,11,4.56%,,1,0.41%,0,0.00%,,0,0.00%,0,0.00%,4,1.66%,99,41.08%,1,0.41%,15,6.22%,0,0.00%,1,0.41%,37,15.35%,0,0.00%,0,0.00%,5,2.07%,63,26.14%,1,0.41%,0,0.00%,241,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,86,"1,094",,0,0.00%,0,0.00%,3,3.57%,,0,0.00%,2,2.38%,,0,0.00%,0,0.00%,0,0.00%,40,47.62%,0,0.00%,1,1.19%,0,0.00%,0,0.00%,11,13.10%,0,0.00%,0,0.00%,0,0.00%,27,32.14%,0,0.00%,0,0.00%,84,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,208,"1,094",,0,0.00%,1,0.50%,13,6.47%,,2,1.00%,1,0.50%,,0,0.00%,0,0.00%,4,1.99%,89,44.28%,1,0.50%,12,5.97%,0,0.00%,1,0.50%,25,12.44%,0,0.00%,0,0.00%,6,2.99%,44,21.89%,2,1.00%,0,0.00%,201,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,094",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,294,"1,094",,0,0.00%,1,0.35%,16,5.61%,,2,0.70%,3,1.05%,,0,0.00%,0,0.00%,4,1.40%,129,45.26%,1,0.35%,13,4.56%,0,0.00%,1,0.35%,36,12.63%,0,0.00%,0,0.00%,6,2.11%,71,24.91%,2,0.70%,0,0.00%,285,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,67,604,,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,37,60.66%,0,0.00%,0,0.00%,0,0.00%,1,1.64%,4,6.56%,0,0.00%,0,0.00%,0,0.00%,18,29.51%,0,0.00%,1,1.64%,61,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,102,604,,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,1.98%,63,62.38%,0,0.00%,3,2.97%,0,0.00%,0,0.00%,8,7.92%,0,0.00%,0,0.00%,3,2.97%,22,21.78%,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,604,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,169,604,,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,1.23%,100,61.73%,0,0.00%,3,1.85%,0,0.00%,1,0.62%,12,7.41%,0,0.00%,0,0.00%,3,1.85%,40,24.69%,0,0.00%,1,0.62%,162,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,104,"1,235",,2,1.98%,0,0.00%,4,3.96%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,68,67.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,4.95%,0,0.00%,0,0.00%,1,0.99%,21,20.79%,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,243,"1,235",,0,0.00%,0,0.00%,30,12.77%,,0,0.00%,1,0.43%,,0,0.00%,0,0.00%,11,4.68%,135,57.45%,0,0.00%,10,4.26%,0,0.00%,0,0.00%,19,8.09%,0,0.00%,0,0.00%,4,1.70%,25,10.64%,0,0.00%,0,0.00%,235,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,235",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,347,"1,235",,2,0.60%,0,0.00%,34,10.12%,,0,0.00%,1,0.30%,,0,0.00%,0,0.00%,11,3.27%,203,60.42%,0,0.00%,10,2.98%,0,0.00%,0,0.00%,24,7.14%,0,0.00%,0,0.00%,5,1.49%,46,13.69%,0,0.00%,0,0.00%,336,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,123,"1,403",,0,0.00%,1,0.82%,5,4.10%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,59,48.36%,0,0.00%,3,2.46%,0,0.00%,0,0.00%,11,9.02%,0,0.00%,0,0.00%,0,0.00%,43,35.25%,0,0.00%,0,0.00%,122,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,272,"1,403",,1,0.37%,0,0.00%,23,8.52%,,0,0.00%,1,0.37%,,0,0.00%,0,0.00%,6,2.22%,113,41.85%,0,0.00%,10,3.70%,0,0.00%,1,0.37%,39,14.44%,0,0.00%,0,0.00%,12,4.44%,61,22.59%,3,1.11%,0,0.00%,270,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,403",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,395,"1,403",,1,0.26%,1,0.26%,28,7.14%,,0,0.00%,1,0.26%,,0,0.00%,0,0.00%,6,1.53%,172,43.88%,0,0.00%,13,3.32%,0,0.00%,1,0.26%,50,12.76%,0,0.00%,0,0.00%,12,3.06%,104,26.53%,3,0.77%,0,0.00%,392,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,168,"1,707",,1,0.61%,0,0.00%,23,14.02%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,59,35.98%,0,0.00%,1,0.61%,0,0.00%,0,0.00%,18,10.98%,0,0.00%,0,0.00%,3,1.83%,58,35.37%,1,0.61%,0,0.00%,164,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,423,"1,707",,0,0.00%,0,0.00%,45,11.03%,,1,0.25%,4,0.98%,,0,0.00%,0,0.00%,27,6.62%,148,36.27%,0,0.00%,18,4.41%,0,0.00%,1,0.25%,46,11.27%,0,0.00%,0,0.00%,25,6.13%,89,21.81%,3,0.74%,1,0.25%,408,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,707",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,591,"1,707",,1,0.17%,0,0.00%,68,11.89%,,1,0.17%,4,0.70%,,0,0.00%,0,0.00%,27,4.72%,207,36.19%,0,0.00%,19,3.32%,0,0.00%,1,0.17%,64,11.19%,0,0.00%,0,0.00%,28,4.90%,147,25.70%,4,0.70%,1,0.17%,572,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,125,"1,578",,0,0.00%,0,0.00%,10,8.13%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,64,52.03%,1,0.81%,1,0.81%,0,0.00%,1,0.81%,11,8.94%,0,0.00%,0,0.00%,1,0.81%,33,26.83%,1,0.81%,0,0.00%,123,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,332,"1,578",,0,0.00%,0,0.00%,24,7.38%,,0,0.00%,5,1.54%,,0,0.00%,0,0.00%,8,2.46%,158,48.62%,0,0.00%,12,3.69%,0,0.00%,0,0.00%,27,8.31%,0,0.00%,0,0.00%,15,4.62%,72,22.15%,3,0.92%,1,0.31%,325,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,578",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,457,"1,578",,0,0.00%,0,0.00%,34,7.59%,,0,0.00%,5,1.12%,,0,0.00%,0,0.00%,8,1.79%,222,49.55%,1,0.22%,13,2.90%,0,0.00%,1,0.22%,38,8.48%,0,0.00%,0,0.00%,16,3.57%,105,23.44%,4,0.89%,1,0.22%,448,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,132,"2,024",,0,0.00%,0,0.00%,18,13.95%,,0,0.00%,1,0.78%,,0,0.00%,0,0.00%,1,0.78%,44,34.11%,0,0.00%,3,2.33%,0,0.00%,0,0.00%,10,7.75%,0,0.00%,0,0.00%,3,2.33%,47,36.43%,2,1.55%,0,0.00%,129,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,450,"2,024",,0,0.00%,0,0.00%,52,11.85%,,1,0.23%,2,0.46%,,0,0.00%,2,0.46%,16,3.64%,140,31.89%,0,0.00%,26,5.92%,0,0.00%,0,0.00%,53,12.07%,0,0.00%,0,0.00%,21,4.78%,124,28.25%,2,0.46%,0,0.00%,439,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"2,024",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,582,"2,024",,0,0.00%,0,0.00%,70,12.32%,,1,0.18%,3,0.53%,,0,0.00%,2,0.35%,17,2.99%,184,32.39%,0,0.00%,29,5.11%,0,0.00%,0,0.00%,63,11.09%,0,0.00%,0,0.00%,24,4.23%,171,30.11%,4,0.70%,0,0.00%,568,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,142,"1,773",,0,0.00%,0,0.00%,1,0.74%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,80,58.82%,0,0.00%,0,0.00%,0,0.00%,1,0.74%,19,13.97%,0,0.00%,0,0.00%,0,0.00%,34,25.00%,1,0.74%,0,0.00%,136,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,291,"1,773",,2,0.69%,0,0.00%,14,4.86%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.35%,154,53.47%,0,0.00%,10,3.47%,0,0.00%,1,0.35%,35,12.15%,0,0.00%,0,0.00%,5,1.74%,64,22.22%,2,0.69%,0,0.00%,288,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,773",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,433,"1,773",,2,0.47%,0,0.00%,15,3.54%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.24%,234,55.19%,0,0.00%,10,2.36%,0,0.00%,2,0.47%,54,12.74%,0,0.00%,0,0.00%,5,1.18%,98,23.11%,3,0.71%,0,0.00%,424,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,34,533,,0,0.00%,0,0.00%,1,3.23%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,14,45.16%,0,0.00%,1,3.23%,0,0.00%,0,0.00%,4,12.90%,0,0.00%,0,0.00%,0,0.00%,10,32.26%,0,0.00%,1,3.23%,31,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,94,533,,0,0.00%,0,0.00%,1,1.09%,,0,0.00%,1,1.09%,,0,0.00%,0,0.00%,0,0.00%,56,60.87%,0,0.00%,4,4.35%,0,0.00%,0,0.00%,9,9.78%,0,0.00%,0,0.00%,3,3.26%,18,19.57%,0,0.00%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,533,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,128,533,,0,0.00%,0,0.00%,2,1.63%,,0,0.00%,1,0.81%,,0,0.00%,0,0.00%,0,0.00%,70,56.91%,0,0.00%,5,4.07%,0,0.00%,0,0.00%,13,10.57%,0,0.00%,0,0.00%,3,2.44%,28,22.76%,0,0.00%,1,0.81%,123,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,152,"1,457",,0,0.00%,0,0.00%,14,9.40%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,61,40.94%,1,0.67%,6,4.03%,0,0.00%,0,0.00%,13,8.72%,0,0.00%,0,0.00%,0,0.00%,54,36.24%,0,0.00%,0,0.00%,149,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,363,"1,457",,1,0.28%,0,0.00%,40,11.17%,,0,0.00%,1,0.28%,,0,0.00%,1,0.28%,12,3.35%,94,26.26%,0,0.00%,14,3.91%,0,0.00%,0,0.00%,68,18.99%,0,0.00%,0,0.00%,25,6.98%,98,27.37%,4,1.12%,0,0.00%,358,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,457",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,515,"1,457",,1,0.20%,0,0.00%,54,10.65%,,0,0.00%,1,0.20%,,0,0.00%,1,0.20%,12,2.37%,155,30.57%,1,0.20%,20,3.94%,0,0.00%,0,0.00%,81,15.98%,0,0.00%,0,0.00%,25,4.93%,152,29.98%,4,0.79%,0,0.00%,507,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,95,"1,352",,0,0.00%,0,0.00%,13,14.13%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,37,40.22%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,15.22%,0,0.00%,0,0.00%,0,0.00%,28,30.43%,0,0.00%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,232,"1,352",,2,0.88%,0,0.00%,21,9.21%,,0,0.00%,2,0.88%,,1,0.44%,0,0.00%,6,2.63%,68,29.82%,0,0.00%,12,5.26%,0,0.00%,0,0.00%,33,14.47%,0,0.00%,0,0.00%,21,9.21%,61,26.75%,1,0.44%,0,0.00%,228,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,352",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,327,"1,352",,2,0.63%,0,0.00%,34,10.63%,,0,0.00%,2,0.63%,,1,0.31%,0,0.00%,6,1.88%,105,32.81%,0,0.00%,12,3.75%,0,0.00%,0,0.00%,47,14.69%,0,0.00%,0,0.00%,21,6.56%,89,27.81%,1,0.31%,0,0.00%,320,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,105,"1,689",,0,0.00%,0,0.00%,11,10.68%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.97%,43,41.75%,0,0.00%,1,0.97%,0,0.00%,0,0.00%,7,6.80%,0,0.00%,0,0.00%,0,0.00%,40,38.83%,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,330,"1,689",,0,0.00%,0,0.00%,24,7.41%,,0,0.00%,3,0.93%,,1,0.31%,0,0.00%,13,4.01%,83,25.62%,0,0.00%,23,7.10%,0,0.00%,0,0.00%,50,15.43%,0,0.00%,0,0.00%,30,9.26%,90,27.78%,4,1.23%,3,0.93%,324,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,689",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
