Page: 2 of 35,,,,,,,,,,,3/27/2020 3:38:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEMOCRATIC PARTY PRESIDENTIAL PREFERENCE (Vote for  1) 
DEM  **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,36,37,,Total,0,0.00%,0,0.00%,6,17.14%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,5.71%,9,25.71%,0,0.00%,1,2.86%,0,0.00%,0,0.00%,5,14.29%,0,0.00%,0,0.00%,5,14.29%,7,20.00%,0,0.00%,0,0.00%,35,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALHA803,,,,ALHA803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,3,3,,Vote By Mail,****,****,****,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
Election Day,0,3,,Election Day,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,3,3,,Total,****,****,****,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
ALHA804 0,,,,ALHA804 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,65,84,,Vote By Mail,0,0.00%,0,0.00%,7,11.11%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,3.17%,8,12.70%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,30.16%,0,0.00%,0,0.00%,9,14.29%,18,28.57%,0,0.00%,0,0.00%,63,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,84,,Election Day,****,****,****,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
Total,66,84,,Total,0,0.00%,0,0.00%,7,10.94%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,3.13%,9,14.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,29.69%,0,0.00%,0,0.00%,9,14.06%,18,28.13%,0,0.00%,0,0.00%,64,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALHA805 0,,,,ALHA805 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,26,36,,Vote By Mail,0,0.00%,0,0.00%,4,16.67%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,3,12.50%,3,12.50%,0,0.00%,1,4.17%,0,0.00%,0,0.00%,3,12.50%,0,0.00%,0,0.00%,1,4.17%,9,37.50%,0,0.00%,0,0.00%,24,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,36,,Election Day,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,26,36,,Total,0,0.00%,0,0.00%,4,16.67%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,3,12.50%,3,12.50%,0,0.00%,1,4.17%,0,0.00%,0,0.00%,3,12.50%,0,0.00%,0,0.00%,1,4.17%,9,37.50%,0,0.00%,0,0.00%,24,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
ALHA806 0,,,,ALHA806 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote By Mail,0,0,,Vote By Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
