Page: 2 of 28,,,,,,,,,,,4/3/2020 3:21:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the US DEM (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,Kern County,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,
0011530,,0011530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,890,Poll Place,,0,0.00%,0,0.00%,3,5.17%,0,,0.00%,1,1.72%,0,,0.00%,1,1.72%,0,0.00%,35,60.34%,0,0.00%,0,0.00%,0,0.00%,2,3.45%,10,17.24%,0,0.00%,0,0.00%,0,0.00%,6,10.34%,0,0.00%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,890,Vote by Mail,,1,0.70%,0,0.00%,11,7.69%,0,,0.00%,1,0.70%,0,,0.00%,0,0.00%,2,1.40%,73,51.05%,0,0.00%,6,4.20%,3,2.10%,1,0.70%,13,9.09%,0,0.00%,0,0.00%,4,2.80%,28,19.58%,0,0.00%,0,0.00%,143,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,890,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,890,Total,,1,0.50%,0,0.00%,14,6.97%,0,,0.00%,2,1.00%,0,,0.00%,1,0.50%,2,1.00%,108,53.73%,0,0.00%,6,2.99%,3,1.49%,3,1.49%,23,11.44%,0,0.00%,0,0.00%,4,1.99%,34,16.92%,0,0.00%,0,0.00%,201,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011540,,0011540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,001",Poll Place,,2,3.08%,0,0.00%,2,3.08%,0,,0.00%,1,1.54%,0,,0.00%,0,0.00%,0,0.00%,33,50.77%,0,0.00%,1,1.54%,0,0.00%,1,1.54%,6,9.23%,0,0.00%,0,0.00%,0,0.00%,18,27.69%,1,1.54%,0,0.00%,65,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,001",Vote by Mail,,0,0.00%,0,0.00%,5,4.13%,0,,0.00%,1,0.83%,0,,0.00%,0,0.00%,1,0.83%,59,48.76%,1,0.83%,4,3.31%,1,0.83%,0,0.00%,26,21.49%,0,0.00%,0,0.00%,3,2.48%,18,14.88%,2,1.65%,0,0.00%,121,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,001",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,001",Total,,2,1.08%,0,0.00%,7,3.76%,0,,0.00%,2,1.08%,0,,0.00%,0,0.00%,1,0.54%,92,49.46%,1,0.54%,5,2.69%,1,0.54%,1,0.54%,32,17.20%,0,0.00%,0,0.00%,3,1.61%,36,19.35%,3,1.61%,0,0.00%,186,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011546,,0011546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,061",Poll Place,,0,0.00%,0,0.00%,2,2.82%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,41,57.75%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,8.45%,0,0.00%,1,1.41%,0,0.00%,21,29.58%,0,0.00%,0,0.00%,71,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,061",Vote by Mail,,3,2.29%,0,0.00%,1,0.76%,0,,0.00%,1,0.76%,0,,0.00%,0,0.00%,1,0.76%,58,44.27%,0,0.00%,7,5.34%,0,0.00%,2,1.53%,20,15.27%,0,0.00%,0,0.00%,5,3.82%,31,23.66%,1,0.76%,1,0.76%,131,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,061",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,061",Total,,3,1.49%,0,0.00%,3,1.49%,0,,0.00%,1,0.50%,0,,0.00%,0,0.00%,1,0.50%,99,49.01%,0,0.00%,7,3.47%,0,0.00%,2,0.99%,26,12.87%,0,0.00%,1,0.50%,5,2.48%,52,25.74%,1,0.50%,1,0.50%,202,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011548,,0011548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,541",Poll Place,,0,0.00%,0,0.00%,4,4.17%,0,,0.00%,0,0.00%,2,,2.08%,0,0.00%,0,0.00%,46,47.92%,0,0.00%,2,2.08%,0,0.00%,1,1.04%,8,8.33%,0,0.00%,0,0.00%,0,0.00%,33,34.38%,0,0.00%,0,0.00%,96,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,541",Vote by Mail,,0,0.00%,0,0.00%,10,4.10%,0,,0.00%,6,2.46%,0,,0.00%,0,0.00%,1,0.41%,104,42.62%,0,0.00%,12,4.92%,0,0.00%,0,0.00%,37,15.16%,1,0.41%,0,0.00%,4,1.64%,68,27.87%,1,0.41%,0,0.00%,244,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,541",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,541",Total,,0,0.00%,0,0.00%,14,4.12%,0,,0.00%,6,1.76%,2,,0.59%,0,0.00%,1,0.29%,150,44.12%,0,0.00%,14,4.12%,0,0.00%,1,0.29%,45,13.24%,1,0.29%,0,0.00%,4,1.18%,101,29.71%,1,0.29%,0,0.00%,340,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011550,,0011550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,341",Poll Place,,1,1.20%,0,0.00%,6,7.23%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,41,49.40%,0,0.00%,2,2.41%,0,0.00%,3,3.61%,8,9.64%,1,1.20%,2,2.41%,1,1.20%,18,21.69%,0,0.00%,0,0.00%,83,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,341",Vote by Mail,,2,0.89%,0,0.00%,15,6.67%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,3,1.33%,85,37.78%,0,0.00%,14,6.22%,1,0.44%,3,1.33%,29,12.89%,0,0.00%,0,0.00%,10,4.44%,63,28.00%,0,0.00%,0,0.00%,225,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,341",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,341",Total,,3,0.97%,0,0.00%,21,6.82%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,3,0.97%,126,40.91%,0,0.00%,16,5.19%,1,0.32%,6,1.95%,37,12.01%,1,0.32%,2,0.65%,11,3.57%,81,26.30%,0,0.00%,0,0.00%,308,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011552,,0011552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,315",Poll Place,,0,0.00%,0,0.00%,2,3.51%,0,,0.00%,0,0.00%,0,,0.00%,1,1.75%,0,0.00%,30,52.63%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,24.56%,0,0.00%,0,0.00%,0,0.00%,10,17.54%,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,315",Vote by Mail,,2,1.29%,0,0.00%,9,5.81%,0,,0.00%,0,0.00%,1,,0.65%,0,0.00%,1,0.65%,47,30.32%,2,1.29%,9,5.81%,0,0.00%,2,1.29%,34,21.94%,0,0.00%,0,0.00%,7,4.52%,40,25.81%,0,0.00%,1,0.65%,155,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,315",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,315",Total,,2,0.94%,0,0.00%,11,5.19%,0,,0.00%,0,0.00%,1,,0.47%,1,0.47%,1,0.47%,77,36.32%,2,0.94%,9,4.25%,0,0.00%,2,0.94%,48,22.64%,0,0.00%,0,0.00%,7,3.30%,50,23.58%,0,0.00%,1,0.47%,212,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011554,,0011554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,596",Poll Place,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,52,65.82%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,10.13%,0,0.00%,0,0.00%,0,0.00%,18,22.78%,1,1.27%,0,0.00%,79,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,596",Vote by Mail,,1,0.47%,0,0.00%,11,5.21%,0,,0.00%,2,0.95%,2,,0.95%,0,0.00%,0,0.00%,110,52.13%,0,0.00%,4,1.90%,0,0.00%,7,3.32%,28,13.27%,0,0.00%,0,0.00%,2,0.95%,42,19.91%,0,0.00%,2,0.95%,211,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,596",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,596",Total,,1,0.34%,0,0.00%,11,3.79%,0,,0.00%,2,0.69%,2,,0.69%,0,0.00%,0,0.00%,162,55.86%,0,0.00%,4,1.38%,0,0.00%,7,2.41%,36,12.41%,0,0.00%,0,0.00%,2,0.69%,60,20.69%,1,0.34%,2,0.69%,290,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0011557,,0011557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,500",Poll Place,,2,2.38%,1,1.19%,4,4.76%,0,,0.00%,0,0.00%,1,,1.19%,1,1.19%,0,0.00%,37,44.05%,0,0.00%,0,0.00%,1,1.19%,2,2.38%,14,16.67%,0,0.00%,0,0.00%,0,0.00%,21,25.00%,0,0.00%,0,0.00%,84,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
