Page: 2 of 28,,,,,,,,,,,4/3/2020 3:21:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the US DEM (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,Kern County,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,
0015113,,0015113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,067",Poll Place,,0,0.00%,0,0.00%,1,2.78%,0,,0.00%,0,0.00%,0,,0.00%,1,2.78%,0,0.00%,19,52.78%,0,0.00%,1,2.78%,0,0.00%,0,0.00%,1,2.78%,0,0.00%,0,0.00%,1,2.78%,11,30.56%,1,2.78%,0,0.00%,36,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,067",Vote by Mail,,0,0.00%,0,0.00%,6,6.59%,0,,0.00%,1,1.10%,0,,0.00%,0,0.00%,6,6.59%,23,25.27%,0,0.00%,4,4.40%,0,0.00%,0,0.00%,13,14.29%,0,0.00%,0,0.00%,7,7.69%,30,32.97%,1,1.10%,0,0.00%,91,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,067",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,067",Total,,0,0.00%,0,0.00%,7,5.51%,0,,0.00%,1,0.79%,0,,0.00%,1,0.79%,6,4.72%,42,33.07%,0,0.00%,5,3.94%,0,0.00%,0,0.00%,14,11.02%,0,0.00%,0,0.00%,8,6.30%,41,32.28%,2,1.57%,0,0.00%,127,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0015114,,0015114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,726,Poll Place,,0,0.00%,0,0.00%,3,9.09%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,20,60.61%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,6.06%,0,0.00%,0,0.00%,0,0.00%,8,24.24%,0,0.00%,0,0.00%,33,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,726,Vote by Mail,,0,0.00%,0,0.00%,4,6.45%,0,,0.00%,1,1.61%,0,,0.00%,0,0.00%,4,6.45%,21,33.87%,0,0.00%,1,1.61%,0,0.00%,0,0.00%,15,24.19%,0,0.00%,0,0.00%,3,4.84%,13,20.97%,0,0.00%,0,0.00%,62,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,726,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,726,Total,,0,0.00%,0,0.00%,7,7.37%,0,,0.00%,1,1.05%,0,,0.00%,0,0.00%,4,4.21%,41,43.16%,0,0.00%,1,1.05%,0,0.00%,0,0.00%,17,17.89%,0,0.00%,0,0.00%,3,3.16%,21,22.11%,0,0.00%,0,0.00%,95,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0015123,,0015123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,986,Poll Place,,0,0.00%,0,0.00%,2,5.71%,0,,0.00%,1,2.86%,0,,0.00%,0,0.00%,0,0.00%,17,48.57%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,11.43%,0,0.00%,0,0.00%,0,0.00%,11,31.43%,0,0.00%,0,0.00%,35,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,986,Vote by Mail,,0,0.00%,0,0.00%,3,5.26%,0,,0.00%,1,1.75%,0,,0.00%,0,0.00%,1,1.75%,24,42.11%,0,0.00%,1,1.75%,0,0.00%,0,0.00%,9,15.79%,0,0.00%,0,0.00%,2,3.51%,15,26.32%,1,1.75%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,986,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,986,Total,,0,0.00%,0,0.00%,5,5.43%,0,,0.00%,2,2.17%,0,,0.00%,0,0.00%,1,1.09%,41,44.57%,0,0.00%,1,1.09%,0,0.00%,0,0.00%,13,14.13%,0,0.00%,0,0.00%,2,2.17%,26,28.26%,1,1.09%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0015124,,0015124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,011",Poll Place,,0,0.00%,0,0.00%,2,8.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,5,20.00%,0,0.00%,1,4.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,68.00%,0,0.00%,0,0.00%,25,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,011",Vote by Mail,,0,0.00%,0,0.00%,8,9.52%,0,,0.00%,1,1.19%,0,,0.00%,0,0.00%,1,1.19%,24,28.57%,0,0.00%,1,1.19%,0,0.00%,0,0.00%,17,20.24%,0,0.00%,0,0.00%,12,14.29%,18,21.43%,2,2.38%,0,0.00%,84,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,011",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,011",Total,,0,0.00%,0,0.00%,10,9.17%,0,,0.00%,1,0.92%,0,,0.00%,0,0.00%,1,0.92%,29,26.61%,0,0.00%,2,1.83%,0,0.00%,0,0.00%,17,15.60%,0,0.00%,0,0.00%,12,11.01%,35,32.11%,2,1.83%,0,0.00%,109,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0015132,,0015132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,999,Poll Place,,0,0.00%,0,0.00%,6,13.04%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,7,15.22%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,6.52%,0,0.00%,0,0.00%,1,2.17%,29,63.04%,0,0.00%,0,0.00%,46,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,999,Vote by Mail,,0,0.00%,0,0.00%,10,9.26%,0,,0.00%,5,4.63%,0,,0.00%,0,0.00%,5,4.63%,21,19.44%,0,0.00%,2,1.85%,0,0.00%,0,0.00%,20,18.52%,0,0.00%,0,0.00%,9,8.33%,32,29.63%,4,3.70%,0,0.00%,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,999,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,999,Total,,0,0.00%,0,0.00%,16,10.39%,0,,0.00%,5,3.25%,0,,0.00%,0,0.00%,5,3.25%,28,18.18%,0,0.00%,2,1.30%,0,0.00%,0,0.00%,23,14.94%,0,0.00%,0,0.00%,10,6.49%,61,39.61%,4,2.60%,0,0.00%,154,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0015133,,0015133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,864,Poll Place,,0,0.00%,0,0.00%,3,10.34%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,11,37.93%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,51.72%,0,0.00%,0,0.00%,29,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,864,Vote by Mail,,0,0.00%,0,0.00%,6,12.24%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,17,34.69%,0,0.00%,4,8.16%,0,0.00%,0,0.00%,7,14.29%,0,0.00%,0,0.00%,3,6.12%,12,24.49%,0,0.00%,0,0.00%,49,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,864,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,864,Total,,0,0.00%,0,0.00%,9,11.54%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,28,35.90%,0,0.00%,4,5.13%,0,0.00%,0,0.00%,7,8.97%,0,0.00%,0,0.00%,3,3.85%,27,34.62%,0,0.00%,0,0.00%,78,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0015135,,0015135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,046",Poll Place,,0,0.00%,0,0.00%,5,8.47%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,34,57.63%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,6.78%,0,0.00%,0,0.00%,0,0.00%,15,25.42%,1,1.69%,0,0.00%,59,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,046",Vote by Mail,,0,0.00%,0,0.00%,5,3.94%,0,,0.00%,1,0.79%,0,,0.00%,0,0.00%,0,0.00%,64,50.39%,0,0.00%,4,3.15%,0,0.00%,0,0.00%,11,8.66%,0,0.00%,2,1.57%,8,6.30%,32,25.20%,0,0.00%,0,0.00%,127,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,046",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,046",Total,,0,0.00%,0,0.00%,10,5.38%,0,,0.00%,1,0.54%,0,,0.00%,0,0.00%,0,0.00%,98,52.69%,0,0.00%,4,2.15%,0,0.00%,0,0.00%,15,8.06%,0,0.00%,2,1.08%,8,4.30%,47,25.27%,1,0.54%,0,0.00%,186,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020121,,0020121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,697,Poll Place,,1,2.50%,0,0.00%,4,10.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,15,37.50%,0,0.00%,3,7.50%,0,0.00%,0,0.00%,4,10.00%,0,0.00%,0,0.00%,0,0.00%,13,32.50%,0,0.00%,0,0.00%,40,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,697,Vote by Mail,,0,0.00%,0,0.00%,7,12.07%,0,,0.00%,1,1.72%,0,,0.00%,0,0.00%,0,0.00%,20,34.48%,0,0.00%,2,3.45%,0,0.00%,0,0.00%,6,10.34%,1,1.72%,0,0.00%,3,5.17%,18,31.03%,0,0.00%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,697,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,697,Total,,1,1.02%,0,0.00%,11,11.22%,0,,0.00%,1,1.02%,0,,0.00%,0,0.00%,0,0.00%,35,35.71%,0,0.00%,5,5.10%,0,0.00%,0,0.00%,10,10.20%,1,1.02%,0,0.00%,3,3.06%,31,31.63%,0,0.00%,0,0.00%,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020232,,0020232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,686,Poll Place,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,22,64.71%,0,0.00%,0,0.00%,1,2.94%,0,0.00%,2,5.88%,0,0.00%,0,0.00%,0,0.00%,9,26.47%,0,0.00%,0,0.00%,34,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,686,Vote by Mail,,1,1.10%,0,0.00%,8,8.79%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,44,48.35%,0,0.00%,3,3.30%,0,0.00%,0,0.00%,8,8.79%,0,0.00%,0,0.00%,1,1.10%,25,27.47%,1,1.10%,0,0.00%,91,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,686,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,686,Total,,1,0.80%,0,0.00%,8,6.40%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,66,52.80%,0,0.00%,3,2.40%,1,0.80%,0,0.00%,10,8.00%,0,0.00%,0,0.00%,1,0.80%,34,27.20%,1,0.80%,0,0.00%,125,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020236,,0020236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,462",Poll Place,,1,1.75%,0,0.00%,1,1.75%,0,,0.00%,0,0.00%,0,,0.00%,1,1.75%,0,0.00%,27,47.37%,0,0.00%,3,5.26%,0,0.00%,1,1.75%,10,17.54%,0,0.00%,0,0.00%,0,0.00%,13,22.81%,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,462",Vote by Mail,,2,1.41%,0,0.00%,8,5.63%,1,,0.70%,0,0.00%,1,,0.70%,0,0.00%,1,0.70%,58,40.85%,0,0.00%,10,7.04%,0,0.00%,4,2.82%,23,16.20%,0,0.00%,0,0.00%,6,4.23%,28,19.72%,0,0.00%,0,0.00%,142,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,462",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,462",Total,,3,1.51%,0,0.00%,9,4.52%,1,,0.50%,0,0.00%,1,,0.50%,1,0.50%,1,0.50%,85,42.71%,0,0.00%,13,6.53%,0,0.00%,5,2.51%,33,16.58%,0,0.00%,0,0.00%,6,3.02%,41,20.60%,0,0.00%,0,0.00%,199,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020243,,0020243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,514",Poll Place,,0,0.00%,0,0.00%,3,3.30%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,55,60.44%,1,1.10%,0,0.00%,0,0.00%,0,0.00%,7,7.69%,0,0.00%,0,0.00%,0,0.00%,24,26.37%,0,0.00%,1,1.10%,91,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,514",Vote by Mail,,2,1.29%,0,0.00%,4,2.58%,0,,0.00%,0,0.00%,3,,1.94%,1,0.65%,2,1.29%,66,42.58%,0,0.00%,5,3.23%,0,0.00%,0,0.00%,25,16.13%,0,0.00%,0,0.00%,9,5.81%,37,23.87%,1,0.65%,0,0.00%,155,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,514",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,514",Total,,2,0.81%,0,0.00%,7,2.85%,0,,0.00%,0,0.00%,3,,1.22%,1,0.41%,2,0.81%,121,49.19%,1,0.41%,5,2.03%,0,0.00%,0,0.00%,32,13.01%,0,0.00%,0,0.00%,9,3.66%,61,24.80%,1,0.41%,1,0.41%,246,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020245,,0020245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,439",Poll Place,,1,1.41%,0,0.00%,3,4.23%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,34,47.89%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,12.68%,0,0.00%,0,0.00%,0,0.00%,24,33.80%,0,0.00%,0,0.00%,71,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,439",Vote by Mail,,0,0.00%,0,0.00%,8,5.52%,0,,0.00%,1,0.69%,1,,0.69%,0,0.00%,2,1.38%,71,48.97%,0,0.00%,4,2.76%,0,0.00%,0,0.00%,16,11.03%,0,0.00%,2,1.38%,4,2.76%,36,24.83%,0,0.00%,0,0.00%,145,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,439",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,439",Total,,1,0.46%,0,0.00%,11,5.09%,0,,0.00%,1,0.46%,1,,0.46%,0,0.00%,2,0.93%,105,48.61%,0,0.00%,4,1.85%,0,0.00%,0,0.00%,25,11.57%,0,0.00%,2,0.93%,4,1.85%,60,27.78%,0,0.00%,0,0.00%,216,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020246,,0020246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,018",Poll Place,,0,0.00%,0,0.00%,1,2.17%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,19,41.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,10.87%,0,0.00%,0,0.00%,0,0.00%,21,45.65%,0,0.00%,0,0.00%,46,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,018",Vote by Mail,,0,0.00%,0,0.00%,4,4.08%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,37,37.76%,0,0.00%,3,3.06%,0,0.00%,1,1.02%,13,13.27%,1,1.02%,0,0.00%,4,4.08%,34,34.69%,1,1.02%,0,0.00%,98,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,018",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,018",Total,,0,0.00%,0,0.00%,5,3.47%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,56,38.89%,0,0.00%,3,2.08%,0,0.00%,1,0.69%,18,12.50%,1,0.69%,0,0.00%,4,2.78%,55,38.19%,1,0.69%,0,0.00%,144,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020248,,0020248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,280",Poll Place,,0,0.00%,0,0.00%,2,5.26%,0,,0.00%,2,5.26%,1,,2.63%,0,0.00%,0,0.00%,21,55.26%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,18.42%,0,0.00%,0,0.00%,0,0.00%,5,13.16%,0,0.00%,0,0.00%,38,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,280",Vote by Mail,,4,2.92%,0,0.00%,8,5.84%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,9,6.57%,75,54.74%,0,0.00%,2,1.46%,0,0.00%,0,0.00%,10,7.30%,0,0.00%,0,0.00%,4,2.92%,25,18.25%,0,0.00%,0,0.00%,137,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,280",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,280",Total,,4,2.29%,0,0.00%,10,5.71%,0,,0.00%,2,1.14%,1,,0.57%,0,0.00%,9,5.14%,96,54.86%,0,0.00%,2,1.14%,0,0.00%,0,0.00%,17,9.71%,0,0.00%,0,0.00%,4,2.29%,30,17.14%,0,0.00%,0,0.00%,175,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020249,,0020249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,836,Poll Place,,0,0.00%,0,0.00%,7,13.73%,0,,0.00%,0,0.00%,1,,1.96%,0,0.00%,0,0.00%,16,31.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,11.76%,0,0.00%,1,1.96%,0,0.00%,20,39.22%,0,0.00%,0,0.00%,51,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,836,Vote by Mail,,0,0.00%,0,0.00%,7,10.61%,0,,0.00%,1,1.52%,0,,0.00%,0,0.00%,0,0.00%,23,34.85%,0,0.00%,3,4.55%,0,0.00%,0,0.00%,7,10.61%,0,0.00%,0,0.00%,3,4.55%,21,31.82%,1,1.52%,0,0.00%,66,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,836,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,836,Total,,0,0.00%,0,0.00%,14,11.97%,0,,0.00%,1,0.85%,1,,0.85%,0,0.00%,0,0.00%,39,33.33%,0,0.00%,3,2.56%,0,0.00%,0,0.00%,13,11.11%,0,0.00%,1,0.85%,3,2.56%,41,35.04%,1,0.85%,0,0.00%,117,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020253,,0020253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,629,Poll Place,,0,0.00%,0,0.00%,3,6.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,26,52.00%,0,0.00%,1,2.00%,0,0.00%,0,0.00%,5,10.00%,0,0.00%,0,0.00%,1,2.00%,14,28.00%,0,0.00%,0,0.00%,50,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,629,Vote by Mail,,0,0.00%,0,0.00%,7,10.61%,0,,0.00%,2,3.03%,0,,0.00%,0,0.00%,0,0.00%,24,36.36%,1,1.52%,2,3.03%,1,1.52%,1,1.52%,12,18.18%,0,0.00%,0,0.00%,5,7.58%,10,15.15%,1,1.52%,0,0.00%,66,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,629,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,629,Total,,0,0.00%,0,0.00%,10,8.62%,0,,0.00%,2,1.72%,0,,0.00%,0,0.00%,0,0.00%,50,43.10%,1,0.86%,3,2.59%,1,0.86%,1,0.86%,17,14.66%,0,0.00%,0,0.00%,6,5.17%,24,20.69%,1,0.86%,0,0.00%,116,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0020254,,0020254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,499",Poll Place,,0,0.00%,0,0.00%,6,6.52%,0,,0.00%,1,1.09%,0,,0.00%,0,0.00%,0,0.00%,37,40.22%,1,1.09%,2,2.17%,0,0.00%,2,2.17%,7,7.61%,0,0.00%,0,0.00%,1,1.09%,34,36.96%,1,1.09%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
