COUNTY OF LOS ANGELES,GENERAL ELECTION,11/05/2024,,,,,,,,
L A UNIFIED SCH-BOE 5,Non Partisan,N,cc9499,1,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KARLA GRIEGO,GRACIELA ORTIZ,
MAYWOOD,4200005A,518,690,N,2156,TOTAL,1099,437,527, 
MAYWOOD,4200008A,519,690,N, ,POLLING PLACE,509,199,243, 
MAYWOOD,4200008A,519,690,N, ,VBM PORTION,1086,487,493, 
MAYWOOD,4200008A,519,690,N,3039,TOTAL,1595,686,736, 
MAYWOOD,4200011A,520,690,N, ,POLLING PLACE,409,155,194, 
MAYWOOD,4200011A,520,690,N, ,VBM PORTION,892,373,416, 
MAYWOOD,4200011A,520,690,N,2549,TOTAL,1301,528,610, 
MAYWOOD,4200015A,521,690,N, ,POLLING PLACE,612,264,267, 
MAYWOOD,4200015A,521,690,N, ,VBM PORTION,1016,470,454, 
MAYWOOD,4200015A,521,690,N,3109,TOTAL,1628,734,721, 
SOUTH GATE,6550003A,743,705,N, ,POLLING PLACE,470,214,197, 
SOUTH GATE,6550003A,743,705,N, ,VBM PORTION,855,329,453, 
SOUTH GATE,6550003A,743,705,N,2652,TOTAL,1325,543,650, 
SOUTH GATE,6550006A,744,705,N, ,POLLING PLACE,563,229,234, 
SOUTH GATE,6550006A,744,705,N, ,VBM PORTION,1042,437,472, 
SOUTH GATE,6550006A,744,705,N,2922,TOTAL,1605,666,706, 
SOUTH GATE,6550010A,745,705,N, ,POLLING PLACE,553,241,220, 
SOUTH GATE,6550010A,745,705,N, ,VBM PORTION,899,395,427, 
SOUTH GATE,6550010A,745,705,N,2842,TOTAL,1452,636,647, 
SOUTH GATE,6550013A,746,705,N, ,POLLING PLACE,735,329,291, 
SOUTH GATE,6550013A,746,705,N, ,VBM PORTION,1121,482,511, 
SOUTH GATE,6550013A,746,705,N,3553,TOTAL,1856,811,802, 
SOUTH GATE,6550018E,747,705,N, ,POLLING PLACE,466,205,187, 
SOUTH GATE,6550018E,747,705,N, ,VBM PORTION,1047,486,460, 
SOUTH GATE,6550018E,747,705,N,2951,TOTAL,1513,691,647, 
SOUTH GATE,6550019G,7212,705,N, ,POLLING PLACE,1,1,0, 
SOUTH GATE,6550019G,7212,705,N, ,VBM PORTION,1,0,1, 
SOUTH GATE,6550019G,7212,705,N,9,TOTAL,2,1,1, 
SOUTH GATE,6550021B,748,705,N, ,POLLING PLACE,488,209,212, 
SOUTH GATE,6550021B,748,705,N, ,VBM PORTION,736,292,361, 
SOUTH GATE,6550021B,748,705,N,2344,TOTAL,1224,501,573, 
SOUTH GATE,6550028A,749,705,N, ,POLLING PLACE,395,180,169, 
SOUTH GATE,6550028A,749,705,N, ,VBM PORTION,808,321,378, 
SOUTH GATE,6550028A,749,705,N,2263,TOTAL,1203,501,547, 
SOUTH GATE,6550029A,750,705,N, ,POLLING PLACE,620,267,276, 
SOUTH GATE,6550029A,750,705,N, ,VBM PORTION,1071,463,481, 
SOUTH GATE,6550029A,750,705,N,3325,TOTAL,1691,730,757, 
SOUTH GATE,6550033A,751,705,N, ,POLLING PLACE,433,169,182, 
SOUTH GATE,6550033A,751,705,N, ,VBM PORTION,1017,443,480, 
SOUTH GATE,6550033A,751,705,N,3010,TOTAL,1450,612,662, 
SOUTH GATE,6550035A,752,705,N, ,POLLING PLACE,528,234,215, 
SOUTH GATE,6550035A,752,705,N, ,VBM PORTION,944,414,430, 
SOUTH GATE,6550035A,752,705,N,2944,TOTAL,1472,648,645, 
SOUTH GATE,6550050A,753,705,N, ,POLLING PLACE,450,203,170, 
SOUTH GATE,6550050A,753,705,N, ,VBM PORTION,927,420,395, 
SOUTH GATE,6550050A,753,705,N,2453,TOTAL,1377,623,565, 
SOUTH GATE,6550052A,754,705,N, ,POLLING PLACE,638,287,239, 
SOUTH GATE,6550052A,754,705,N, ,VBM PORTION,1279,578,549, 
SOUTH GATE,6550052A,754,705,N,3348,TOTAL,1917,865,788, 
SOUTH GATE,6550053A,755,705,N, ,POLLING PLACE,602,280,233, 
SOUTH GATE,6550053A,755,705,N, ,VBM PORTION,1210,579,506, 
SOUTH GATE,6550053A,755,705,N,3159,TOTAL,1812,859,739, 
SOUTH GATE,6550083A,757,705,N, ,POLLING PLACE,401,167,155, 
SOUTH GATE,6550083A,757,705,N, ,VBM PORTION,841,363,364, 
SOUTH GATE,6550083A,757,705,N,2389,TOTAL,1242,530,519, 
VERNON,7450005A,7311,526,N, ,POLLING PLACE,14,6,4, 
VERNON,7450005A,7311,526,N, ,VBM PORTION,65,30,29, 
VERNON,7450005A,7311,526,N,113,TOTAL,79,36,33, 
WALNUT PARK,7650002A,7316,627,N, ,POLLING PLACE,103,47,47, 
WALNUT PARK,7650002A,7316,627,N, ,VBM PORTION,123,58,62, 
WALNUT PARK,7650002A,7316,627,N,401,TOTAL,226,105,109, 
WALNUT PARK,7650004B,815,691,N, ,POLLING PLACE,439,197,192, 
WALNUT PARK,7650004B,815,691,N, ,VBM PORTION,695,285,347, 
WALNUT PARK,7650004B,815,691,N,2219,TOTAL,1134,482,539, 
WALNUT PARK,7650005A,816,691,N, ,POLLING PLACE,513,193,277, 
WALNUT PARK,7650005A,816,691,N, ,VBM PORTION,872,392,390, 
WALNUT PARK,7650005A,816,691,N,2554,TOTAL,1385,585,667, 
WALNUT PARK,7650009A,817,691,N, ,POLLING PLACE,530,228,241, 
WALNUT PARK,7650009A,817,691,N, ,VBM PORTION,1000,433,484, 
WALNUT PARK,7650009A,817,691,N,2863,TOTAL,1530,661,725, 
LOS ANGELES,9000048A,881,453,N, ,POLLING PLACE,529,258,165, 
LOS ANGELES,9000048A,881,453,N, ,VBM PORTION,933,544,264, 
LOS ANGELES,9000048A,881,453,N,2291,TOTAL,1462,802,429, 
LOS ANGELES,9000239B,7399,454,N, ,POLLING PLACE,447,184,145, 
LOS ANGELES,9000239B,7399,454,N, ,VBM PORTION,804,448,205, 
LOS ANGELES,9000239B,7399,454,N,1985,TOTAL,1251,632,350, 
LOS ANGELES,9000263A,923,454,N, ,POLLING PLACE,828,429,207, 
LOS ANGELES,9000263A,923,454,N, ,VBM PORTION,2866,1658,583, 
LOS ANGELES,9000263A,923,454,N,4724,TOTAL,3694,2087,790, 
LOS ANGELES,9000357A,943,478,N, ,POLLING PLACE,580,327,153, 
LOS ANGELES,9000357A,943,478,N, ,VBM PORTION,1904,1177,396, 
LOS ANGELES,9000357A,943,478,N,3225,TOTAL,2484,1504,549, 
LOS ANGELES,9000369A,945,476,N, ,POLLING PLACE,717,371,196, 
LOS ANGELES,9000369A,945,476,N, ,VBM PORTION,2472,1504,598, 
LOS ANGELES,9000369A,945,476,N,4256,TOTAL,3189,1875,794, 
LOS ANGELES,9000387C,7408,453,N, ,POLLING PLACE,59,29,18, 
LOS ANGELES,9000387C,7408,453,N, ,VBM PORTION,89,43,27, 
LOS ANGELES,9000387C,7408,453,N,222,TOTAL,148,72,45, 
LOS ANGELES,9000426A,957,453,N, ,POLLING PLACE,975,419,296, 
LOS ANGELES,9000426A,957,453,N, ,VBM PORTION,2005,1068,525, 
LOS ANGELES,9000426A,957,453,N,4346,TOTAL,2980,1487,821, 
LOS ANGELES,9000454A,964,637,N, ,POLLING PLACE,344,181,106, 
LOS ANGELES,9000454A,964,637,N, ,VBM PORTION,562,288,185, 
LOS ANGELES,9000454A,964,637,N,1723,TOTAL,906,469,291, 
LOS ANGELES,9000481A,969,453,N, ,POLLING PLACE,916,461,249, 
LOS ANGELES,9000481A,969,453,N, ,VBM PORTION,1988,1119,545, 
LOS ANGELES,9000481A,969,453,N,4778,TOTAL,2904,1580,794, 
LOS ANGELES,9000495A,7416,453,N, ,POLLING PLACE,243,125,66, 
LOS ANGELES,9000495A,7416,453,N, ,VBM PORTION,543,305,153, 
