COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
L A UNIFIED SCH-BOE 2, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIA BRENES,ROCIO RIVAS,
LOS ANGELES,9002631A,1625,283,N, ,POLLING PLACE,167,77,76, 
LOS ANGELES,9002631A,1625,283,N, ,VBM PORTION,579,237,245, 
LOS ANGELES,9002631A,1625,283,N,2091,TOTAL,746,314,321, 
LOS ANGELES,9002719D,1629,298,N, ,POLLING PLACE,148,64,52, 
LOS ANGELES,9002719D,1629,298,N, ,VBM PORTION,581,285,252, 
LOS ANGELES,9002719D,1629,298,N,2390,TOTAL,729,349,304, 
LOS ANGELES,9002809A,1632,291,N, ,POLLING PLACE,148,51,75, 
LOS ANGELES,9002809A,1632,291,N, ,VBM PORTION,654,272,302, 
LOS ANGELES,9002809A,1632,291,N,1640,TOTAL,802,323,377, 
LOS ANGELES,9002813A,1633,291,N, ,POLLING PLACE,282,149,97, 
LOS ANGELES,9002813A,1633,291,N, ,VBM PORTION,974,403,426, 
LOS ANGELES,9002813A,1633,291,N,2899,TOTAL,1256,552,523, 
LOS ANGELES,9002842A,1635,291,N, ,POLLING PLACE,212,91,88, 
LOS ANGELES,9002842A,1635,291,N, ,VBM PORTION,760,316,322, 
LOS ANGELES,9002842A,1635,291,N,2264,TOTAL,972,407,410, 
LOS ANGELES,9002881A,1638,291,N, ,POLLING PLACE,237,126,85, 
LOS ANGELES,9002881A,1638,291,N, ,VBM PORTION,888,389,407, 
LOS ANGELES,9002881A,1638,291,N,2705,TOTAL,1125,515,492, 
LOS ANGELES,9003155A,7752,270,N, ,POLLING PLACE,1,0,1, 
LOS ANGELES,9003155A,7752,270,N, ,VBM PORTION,2,0,2, 
LOS ANGELES,9003155A,7752,270,N,6,TOTAL,3,0,3, 
LOS ANGELES,9003159A,7753,280,N, ,POLLING PLACE,0,0,0, 
LOS ANGELES,9003159A,7753,280,N, ,VBM PORTION,3,0,3, 
LOS ANGELES,9003159A,7753,280,N,3,TOTAL,3,0,3, 
LOS ANGELES,9003174B,7754,291,N, ,POLLING PLACE,34,10,13, 
LOS ANGELES,9003174B,7754,291,N, ,VBM PORTION,102,18,57, 
LOS ANGELES,9003174B,7754,291,N,240,TOTAL,136,28,70, 
LOS ANGELES,9003185A,1670,298,N, ,POLLING PLACE,246,119,75, 
LOS ANGELES,9003185A,1670,298,N, ,VBM PORTION,1167,514,367, 
LOS ANGELES,9003185A,1670,298,N,2948,TOTAL,1413,633,442, 
LOS ANGELES,9003251A,7764,298,N, ,POLLING PLACE,97,36,46, 
LOS ANGELES,9003251A,7764,298,N, ,VBM PORTION,501,197,171, 
LOS ANGELES,9003251A,7764,298,N,1601,TOTAL,598,233,217, 
LOS ANGELES,9003342A,7784,451,N, ,POLLING PLACE,132,53,56, 
LOS ANGELES,9003342A,7784,451,N, ,VBM PORTION,555,188,260, 
LOS ANGELES,9003342A,7784,451,N,1246,TOTAL,687,241,316, 
LOS ANGELES,9003520B,1676,278,N, ,POLLING PLACE,177,74,76, 
LOS ANGELES,9003520B,1676,278,N, ,VBM PORTION,871,324,417, 
LOS ANGELES,9003520B,1676,278,N,2231,TOTAL,1048,398,493, 
LOS ANGELES,9003574A,7801,280,N, ,POLLING PLACE,3,3,0, 
LOS ANGELES,9003574A,7801,280,N, ,VBM PORTION,13,4,8, 
LOS ANGELES,9003574A,7801,280,N,49,TOTAL,16,7,8, 
LOS ANGELES,9003814A,7806,278,N, ,POLLING PLACE,14,8,3, 
LOS ANGELES,9003814A,7806,278,N, ,VBM PORTION,92,26,51, 
LOS ANGELES,9003814A,7806,278,N,183,TOTAL,106,34,54, 
LOS ANGELES,9003886B,7809,485,N, ,POLLING PLACE,105,46,38, 
LOS ANGELES,9003886B,7809,485,N, ,VBM PORTION,295,119,113, 
LOS ANGELES,9003886B,7809,485,N,1109,TOTAL,400,165,151, 
LOS ANGELES,9003922A,7813,452,N, ,POLLING PLACE,132,70,33, 
LOS ANGELES,9003922A,7813,452,N, ,VBM PORTION,210,116,62, 
LOS ANGELES,9003922A,7813,452,N,1480,TOTAL,342,186,95, 
LOS ANGELES,9003955A,1683,485,N, ,POLLING PLACE,343,156,114, 
LOS ANGELES,9003955A,1683,485,N, ,VBM PORTION,1241,532,428, 
LOS ANGELES,9003955A,1683,485,N,4087,TOTAL,1584,688,542, 
LOS ANGELES,9003988A,1685,278,N, ,POLLING PLACE,322,126,151, 
LOS ANGELES,9003988A,1685,278,N, ,VBM PORTION,1332,372,769, 
LOS ANGELES,9003988A,1685,278,N,2982,TOTAL,1654,498,920, 
LOS ANGELES,9004120B,1688,298,N, ,POLLING PLACE,188,91,84, 
LOS ANGELES,9004120B,1688,298,N, ,VBM PORTION,684,340,292, 
LOS ANGELES,9004120B,1688,298,N,2749,TOTAL,872,431,376, 
LOS ANGELES,9004239A,1697,280,N, ,POLLING PLACE,441,168,189, 
LOS ANGELES,9004239A,1697,280,N, ,VBM PORTION,2129,726,1067, 
LOS ANGELES,9004239A,1697,280,N,3828,TOTAL,2570,894,1256, 
LOS ANGELES,9005016A,1700,298,N, ,POLLING PLACE,214,104,79, 
LOS ANGELES,9005016A,1700,298,N, ,VBM PORTION,902,356,379, 
LOS ANGELES,9005016A,1700,298,N,3392,TOTAL,1116,460,458, 
LOS ANGELES,9005118A,1703,276,N, ,POLLING PLACE,342,122,136, 
LOS ANGELES,9005118A,1703,276,N, ,VBM PORTION,1505,449,797, 
LOS ANGELES,9005118A,1703,276,N,3024,TOTAL,1847,571,933, 
LOS ANGELES,9005537A,1720,291,N, ,POLLING PLACE,117,48,53, 
LOS ANGELES,9005537A,1720,291,N, ,VBM PORTION,623,226,332, 
LOS ANGELES,9005537A,1720,291,N,1927,TOTAL,740,274,385, 
LOS ANGELES,9005538B,1721,291,N, ,POLLING PLACE,174,72,84, 
LOS ANGELES,9005538B,1721,291,N, ,VBM PORTION,554,236,268, 
LOS ANGELES,9005538B,1721,291,N,1904,TOTAL,728,308,352, 
LOS ANGELES,9005541A,1722,278,N, ,POLLING PLACE,358,136,164, 
LOS ANGELES,9005541A,1722,278,N, ,VBM PORTION,1409,452,770, 
LOS ANGELES,9005541A,1722,278,N,3116,TOTAL,1767,588,934, 
LOS ANGELES,9005543E,7834,298,N, ,POLLING PLACE,110,41,52, 
LOS ANGELES,9005543E,7834,298,N, ,VBM PORTION,393,113,204, 
LOS ANGELES,9005543E,7834,298,N,1207,TOTAL,503,154,256, 
LOS ANGELES,9005759A,7836,452,N, ,POLLING PLACE,87,40,36, 
LOS ANGELES,9005759A,7836,452,N, ,VBM PORTION,361,148,129, 
LOS ANGELES,9005759A,7836,452,N,1000,TOTAL,448,188,165, 
LOS ANGELES,9005769B,1729,298,N, ,POLLING PLACE,283,147,81, 
LOS ANGELES,9005769B,1729,298,N, ,VBM PORTION,872,370,317, 
LOS ANGELES,9005769B,1729,298,N,3529,TOTAL,1155,517,398, 
LOS ANGELES,9006314B,7846,291,N, ,POLLING PLACE,55,19,26, 
LOS ANGELES,9006314B,7846,291,N, ,VBM PORTION,255,96,136, 
LOS ANGELES,9006314B,7846,291,N,548,TOTAL,310,115,162, 
LOS ANGELES,9007015B,7855,298,N, ,POLLING PLACE,64,29,24, 
LOS ANGELES,9007015B,7855,298,N, ,VBM PORTION,365,126,161, 
LOS ANGELES,9007015B,7855,298,N,934,TOTAL,429,155,185, 
LOS ANGELES,9007017A,7856,300,N, ,POLLING PLACE,4,3,1, 
LOS ANGELES,9007017A,7856,300,N, ,VBM PORTION,2,1,0, 
LOS ANGELES,9007017A,7856,300,N,30,TOTAL,6,4,1, 
LOS ANGELES,9007114A,1786,298,N, ,POLLING PLACE,139,60,67, 
LOS ANGELES,9007114A,1786,298,N, ,VBM PORTION,506,248,210, 
LOS ANGELES,9007114A,1786,298,N,2230,TOTAL,645,308,277, 
