COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
L A UNIFIED SCH-BOE 2, , , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIA BRENES,ROCIO RIVAS,
SOUTH PASADENA,6600028J,7373,603,N,5,TOTAL,4,1,2, 
LOS ANGELES,9000029C,1093,298,N, ,POLLING PLACE,262,100,102, 
LOS ANGELES,9000029C,1093,298,N, ,VBM PORTION,1073,401,379, 
LOS ANGELES,9000029C,1093,298,N,3363,TOTAL,1335,501,481, 
LOS ANGELES,9000038C,1095,298,N, ,POLLING PLACE,192,94,86, 
LOS ANGELES,9000038C,1095,298,N, ,VBM PORTION,506,262,210, 
LOS ANGELES,9000038C,1095,298,N,2250,TOTAL,698,356,296, 
LOS ANGELES,9000052A,1098,298,N, ,POLLING PLACE,251,107,98, 
LOS ANGELES,9000052A,1098,298,N, ,VBM PORTION,922,364,404, 
LOS ANGELES,9000052A,1098,298,N,2994,TOTAL,1173,471,502, 
LOS ANGELES,9000243A,1149,291,N, ,POLLING PLACE,220,95,86, 
LOS ANGELES,9000243A,1149,291,N, ,VBM PORTION,778,281,385, 
LOS ANGELES,9000243A,1149,291,N,2341,TOTAL,998,376,471, 
LOS ANGELES,9000244A,1150,298,N, ,POLLING PLACE,118,59,44, 
LOS ANGELES,9000244A,1150,298,N, ,VBM PORTION,361,166,162, 
LOS ANGELES,9000244A,1150,298,N,2209,TOTAL,479,225,206, 
LOS ANGELES,9000249A,1152,291,N, ,POLLING PLACE,193,77,90, 
LOS ANGELES,9000249A,1152,291,N, ,VBM PORTION,732,323,327, 
LOS ANGELES,9000249A,1152,291,N,2912,TOTAL,925,400,417, 
LOS ANGELES,9000274A,1161,298,N, ,POLLING PLACE,193,94,79, 
LOS ANGELES,9000274A,1161,298,N, ,VBM PORTION,625,328,244, 
LOS ANGELES,9000274A,1161,298,N,2575,TOTAL,818,422,323, 
LOS ANGELES,9000277A,1162,298,N, ,POLLING PLACE,127,75,47, 
LOS ANGELES,9000277A,1162,298,N, ,VBM PORTION,325,148,150, 
LOS ANGELES,9000277A,1162,298,N,1383,TOTAL,452,223,197, 
LOS ANGELES,9000303A,1171,291,N, ,POLLING PLACE,261,121,100, 
LOS ANGELES,9000303A,1171,291,N, ,VBM PORTION,1476,635,602, 
LOS ANGELES,9000303A,1171,291,N,3157,TOTAL,1737,756,702, 
LOS ANGELES,9000336B,1180,291,N, ,POLLING PLACE,186,94,74, 
LOS ANGELES,9000336B,1180,291,N, ,VBM PORTION,744,316,330, 
LOS ANGELES,9000336B,1180,291,N,2627,TOTAL,930,410,404, 
LOS ANGELES,9000368C,1190,291,N, ,POLLING PLACE,259,89,129, 
LOS ANGELES,9000368C,1190,291,N, ,VBM PORTION,1045,322,590, 
LOS ANGELES,9000368C,1190,291,N,2620,TOTAL,1304,411,719, 
LOS ANGELES,9000507A,7590,276,N, ,POLLING PLACE,99,39,46, 
LOS ANGELES,9000507A,7590,276,N, ,VBM PORTION,522,161,265, 
LOS ANGELES,9000507A,7590,276,N,1196,TOTAL,621,200,311, 
LOS ANGELES,9000535A,7591,298,N, ,POLLING PLACE,83,43,30, 
LOS ANGELES,9000535A,7591,298,N, ,VBM PORTION,299,140,119, 
LOS ANGELES,9000535A,7591,298,N,1309,TOTAL,382,183,149, 
LOS ANGELES,9000550B,7592,296,N, ,POLLING PLACE,21,13,4, 
LOS ANGELES,9000550B,7592,296,N, ,VBM PORTION,62,26,28, 
LOS ANGELES,9000550B,7592,296,N,331,TOTAL,83,39,32, 
LOS ANGELES,9000580A,1240,278,N, ,POLLING PLACE,301,117,140, 
LOS ANGELES,9000580A,1240,278,N, ,VBM PORTION,967,314,515, 
LOS ANGELES,9000580A,1240,278,N,2951,TOTAL,1268,431,655, 
LOS ANGELES,9000593C,1243,291,N, ,POLLING PLACE,227,97,88, 
LOS ANGELES,9000593C,1243,291,N, ,VBM PORTION,1120,417,562, 
