COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
34TH CONGRESS DIST,Voter Nominated, , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DAVID KIM,JIMMY GOMEZ,
EAST LOS ANGELES,2000082A,279,287,N, ,VBM PORTION,550,204,282, 
EAST LOS ANGELES,2000082A,279,287,N,2574,TOTAL,701,254,354, 
EAST LOS ANGELES,2000085A,280,286,N, ,POLLING PLACE,149,49,82, 
EAST LOS ANGELES,2000085A,280,286,N, ,VBM PORTION,374,138,212, 
EAST LOS ANGELES,2000085A,280,286,N,1993,TOTAL,523,187,294, 
LOS ANGELES,9000029C,1093,298,N, ,POLLING PLACE,262,121,93, 
LOS ANGELES,9000029C,1093,298,N, ,VBM PORTION,1073,428,441, 
LOS ANGELES,9000029C,1093,298,N,3363,TOTAL,1335,549,534, 
LOS ANGELES,9000038C,1095,298,N, ,POLLING PLACE,192,63,107, 
LOS ANGELES,9000038C,1095,298,N, ,VBM PORTION,506,143,322, 
LOS ANGELES,9000038C,1095,298,N,2250,TOTAL,698,206,429, 
LOS ANGELES,9000050A,7572,297,N, ,POLLING PLACE,12,6,4, 
LOS ANGELES,9000050A,7572,297,N, ,VBM PORTION,74,53,17, 
LOS ANGELES,9000050A,7572,297,N,186,TOTAL,86,59,21, 
LOS ANGELES,9000052A,1098,298,N, ,POLLING PLACE,251,119,101, 
LOS ANGELES,9000052A,1098,298,N, ,VBM PORTION,922,474,355, 
LOS ANGELES,9000052A,1098,298,N,2994,TOTAL,1173,593,456, 
LOS ANGELES,9000243A,1149,291,N, ,POLLING PLACE,220,92,96, 
LOS ANGELES,9000243A,1149,291,N, ,VBM PORTION,778,298,397, 
LOS ANGELES,9000243A,1149,291,N,2341,TOTAL,998,390,493, 
LOS ANGELES,9000244A,1150,298,N, ,POLLING PLACE,118,42,54, 
LOS ANGELES,9000244A,1150,298,N, ,VBM PORTION,361,103,231, 
LOS ANGELES,9000244A,1150,298,N,2209,TOTAL,479,145,285, 
LOS ANGELES,9000249A,1152,291,N, ,POLLING PLACE,193,75,94, 
LOS ANGELES,9000249A,1152,291,N, ,VBM PORTION,732,297,360, 
LOS ANGELES,9000249A,1152,291,N,2912,TOTAL,925,372,454, 
LOS ANGELES,9000274A,1161,298,N, ,POLLING PLACE,193,58,110, 
LOS ANGELES,9000274A,1161,298,N, ,VBM PORTION,625,191,380, 
LOS ANGELES,9000274A,1161,298,N,2575,TOTAL,818,249,490, 
LOS ANGELES,9000277A,1162,298,N, ,POLLING PLACE,127,44,75, 
LOS ANGELES,9000277A,1162,298,N, ,VBM PORTION,325,89,212, 
LOS ANGELES,9000277A,1162,298,N,1383,TOTAL,452,133,287, 
LOS ANGELES,9000303A,1171,291,N, ,POLLING PLACE,261,102,120, 
LOS ANGELES,9000303A,1171,291,N, ,VBM PORTION,1476,581,724, 
LOS ANGELES,9000303A,1171,291,N,3157,TOTAL,1737,683,844, 
LOS ANGELES,9000336B,1180,291,N, ,POLLING PLACE,186,81,80, 
LOS ANGELES,9000336B,1180,291,N, ,VBM PORTION,744,298,385, 
LOS ANGELES,9000336B,1180,291,N,2627,TOTAL,930,379,465, 
LOS ANGELES,9000368C,1190,291,N, ,POLLING PLACE,259,143,80, 
LOS ANGELES,9000368C,1190,291,N, ,VBM PORTION,1045,586,338, 
LOS ANGELES,9000368C,1190,291,N,2620,TOTAL,1304,729,418, 
LOS ANGELES,9000456C,7588,290,N, ,POLLING PLACE,20,13,5, 
LOS ANGELES,9000456C,7588,290,N, ,VBM PORTION,80,46,28, 
LOS ANGELES,9000456C,7588,290,N,167,TOTAL,100,59,33, 
LOS ANGELES,9000535A,7591,298,N, ,POLLING PLACE,83,39,36, 
LOS ANGELES,9000535A,7591,298,N, ,VBM PORTION,299,103,159, 
LOS ANGELES,9000535A,7591,298,N,1309,TOTAL,382,142,195, 
LOS ANGELES,9000550B,7592,296,N, ,POLLING PLACE,21,8,9, 
LOS ANGELES,9000550B,7592,296,N, ,VBM PORTION,62,31,27, 
LOS ANGELES,9000550B,7592,296,N,331,TOTAL,83,39,36, 
LOS ANGELES,9000589A,1242,290,N, ,POLLING PLACE,241,105,98, 
LOS ANGELES,9000589A,1242,290,N, ,VBM PORTION,1120,467,521, 
LOS ANGELES,9000589A,1242,290,N,2388,TOTAL,1361,572,619, 
LOS ANGELES,9000593C,1243,291,N, ,POLLING PLACE,227,100,90, 
LOS ANGELES,9000593C,1243,291,N, ,VBM PORTION,1120,531,479, 
LOS ANGELES,9000593C,1243,291,N,2499,TOTAL,1347,631,569, 
LOS ANGELES,9000602C,1246,298,N, ,POLLING PLACE,192,85,85, 
LOS ANGELES,9000602C,1246,298,N, ,VBM PORTION,489,229,211, 
LOS ANGELES,9000602C,1246,298,N,1934,TOTAL,681,314,296, 
LOS ANGELES,9000605A,1247,296,N, ,POLLING PLACE,294,136,122, 
LOS ANGELES,9000605A,1247,296,N, ,VBM PORTION,1148,552,466, 
LOS ANGELES,9000605A,1247,296,N,3688,TOTAL,1442,688,588, 
LOS ANGELES,9000731A,1271,282,N, ,POLLING PLACE,178,87,72, 
LOS ANGELES,9000731A,1271,282,N, ,VBM PORTION,712,330,295, 
LOS ANGELES,9000731A,1271,282,N,2136,TOTAL,890,417,367, 
LOS ANGELES,9000760A,1277,290,N, ,POLLING PLACE,251,111,97, 
LOS ANGELES,9000760A,1277,290,N, ,VBM PORTION,1370,526,653, 
LOS ANGELES,9000760A,1277,290,N,2454,TOTAL,1621,637,750, 
LOS ANGELES,9000766A,1278,290,N, ,POLLING PLACE,262,124,88, 
LOS ANGELES,9000766A,1278,290,N, ,VBM PORTION,1245,536,555, 
LOS ANGELES,9000766A,1278,290,N,2625,TOTAL,1507,660,643, 
LOS ANGELES,9000770A,1279,288,N, ,POLLING PLACE,168,84,63, 
LOS ANGELES,9000770A,1279,288,N, ,VBM PORTION,844,378,375, 
LOS ANGELES,9000770A,1279,288,N,2585,TOTAL,1012,462,438, 
LOS ANGELES,9000774B,7604,290,N, ,POLLING PLACE,147,63,67, 
LOS ANGELES,9000774B,7604,290,N, ,VBM PORTION,609,283,254, 
LOS ANGELES,9000774B,7604,290,N,1352,TOTAL,756,346,321, 
LOS ANGELES,9000776A,1280,291,N, ,POLLING PLACE,183,89,71, 
LOS ANGELES,9000776A,1280,291,N, ,VBM PORTION,566,280,210, 
LOS ANGELES,9000776A,1280,291,N,2115,TOTAL,749,369,281, 
LOS ANGELES,9000785A,1283,291,N, ,POLLING PLACE,200,90,84, 
LOS ANGELES,9000785A,1283,291,N, ,VBM PORTION,1109,449,541, 
LOS ANGELES,9000785A,1283,291,N,2459,TOTAL,1309,539,625, 
LOS ANGELES,9000796B,1285,290,N, ,POLLING PLACE,279,149,96, 
LOS ANGELES,9000796B,1285,290,N, ,VBM PORTION,919,379,422, 
LOS ANGELES,9000796B,1285,290,N,2037,TOTAL,1198,528,518, 
LOS ANGELES,9000803D,1287,290,N, ,POLLING PLACE,250,126,78, 
LOS ANGELES,9000803D,1287,290,N, ,VBM PORTION,1431,651,626, 
LOS ANGELES,9000803D,1287,290,N,2942,TOTAL,1681,777,704, 
LOS ANGELES,9000817B,1289,291,N, ,POLLING PLACE,220,102,79, 
LOS ANGELES,9000817B,1289,291,N, ,VBM PORTION,1002,410,475, 
LOS ANGELES,9000817B,1289,291,N,2220,TOTAL,1222,512,554, 
LOS ANGELES,9000818A,1290,291,N, ,POLLING PLACE,314,170,111, 
LOS ANGELES,9000818A,1290,291,N, ,VBM PORTION,1166,590,467, 
LOS ANGELES,9000818A,1290,291,N,2924,TOTAL,1480,760,578, 
LOS ANGELES,9000821A,1292,291,N, ,POLLING PLACE,198,99,73, 
LOS ANGELES,9000821A,1292,291,N, ,VBM PORTION,801,348,375, 
LOS ANGELES,9000821A,1292,291,N,2215,TOTAL,999,447,448, 
LOS ANGELES,9000823A,1293,291,N, ,POLLING PLACE,252,137,81, 
LOS ANGELES,9000823A,1293,291,N, ,VBM PORTION,1071,559,430, 
LOS ANGELES,9000823A,1293,291,N,3239,TOTAL,1323,696,511, 
LOS ANGELES,9000830A,1295,291,N, ,POLLING PLACE,263,113,119, 
LOS ANGELES,9000830A,1295,291,N, ,VBM PORTION,1165,511,538, 
LOS ANGELES,9000830A,1295,291,N,2867,TOTAL,1428,624,657, 
LOS ANGELES,9000835A,1298,291,N, ,POLLING PLACE,310,138,122, 
LOS ANGELES,9000835A,1298,291,N, ,VBM PORTION,1324,630,533, 
LOS ANGELES,9000835A,1298,291,N,3207,TOTAL,1634,768,655, 
LOS ANGELES,9000843B,7609,290,N, ,POLLING PLACE,122,57,48, 
LOS ANGELES,9000843B,7609,290,N, ,VBM PORTION,693,329,295, 
LOS ANGELES,9000843B,7609,290,N,1641,TOTAL,815,386,343, 
LOS ANGELES,9000856A,1300,291,N, ,POLLING PLACE,281,121,119, 
LOS ANGELES,9000856A,1300,291,N, ,VBM PORTION,1126,496,512, 
LOS ANGELES,9000856A,1300,291,N,3005,TOTAL,1407,617,631, 
LOS ANGELES,9000870A,1301,298,N, ,POLLING PLACE,110,49,43, 
LOS ANGELES,9000870A,1301,298,N, ,VBM PORTION,529,271,207, 
LOS ANGELES,9000870A,1301,298,N,1819,TOTAL,639,320,250, 
LOS ANGELES,9000876A,1303,291,N, ,POLLING PLACE,228,120,85, 
LOS ANGELES,9000876A,1303,291,N, ,VBM PORTION,782,358,342, 
LOS ANGELES,9000876A,1303,291,N,2531,TOTAL,1010,478,427, 
LOS ANGELES,9000878D,7611,291,N, ,POLLING PLACE,40,18,12, 
LOS ANGELES,9000878D,7611,291,N, ,VBM PORTION,209,95,95, 
LOS ANGELES,9000878D,7611,291,N,470,TOTAL,249,113,107, 
LOS ANGELES,9000884B,7612,294,N, ,POLLING PLACE,147,77,50, 
LOS ANGELES,9000884B,7612,294,N, ,VBM PORTION,712,364,261, 
LOS ANGELES,9000884B,7612,294,N,1845,TOTAL,859,441,311, 
LOS ANGELES,9000885C,1304,291,N, ,POLLING PLACE,226,99,97, 
LOS ANGELES,9000885C,1304,291,N, ,VBM PORTION,863,366,427, 
LOS ANGELES,9000885C,1304,291,N,2034,TOTAL,1089,465,524, 
LOS ANGELES,9000892A,1305,291,N, ,POLLING PLACE,224,91,106, 
LOS ANGELES,9000892A,1305,291,N, ,VBM PORTION,778,297,420, 
LOS ANGELES,9000892A,1305,291,N,2470,TOTAL,1002,388,526, 
LOS ANGELES,9000896A,1306,291,N, ,POLLING PLACE,250,88,112, 
LOS ANGELES,9000896A,1306,291,N, ,VBM PORTION,881,332,465, 
LOS ANGELES,9000896A,1306,291,N,2840,TOTAL,1131,420,577, 
LOS ANGELES,9000902B,1307,291,N, ,POLLING PLACE,247,94,123, 
LOS ANGELES,9000902B,1307,291,N, ,VBM PORTION,581,197,331, 
LOS ANGELES,9000902B,1307,291,N,2461,TOTAL,828,291,454, 
LOS ANGELES,9000905A,1308,291,N, ,POLLING PLACE,262,88,142, 
LOS ANGELES,9000905A,1308,291,N, ,VBM PORTION,826,284,457, 
LOS ANGELES,9000905A,1308,291,N,2548,TOTAL,1088,372,599, 
LOS ANGELES,9000916A,1309,291,N, ,POLLING PLACE,259,96,112, 
LOS ANGELES,9000916A,1309,291,N, ,VBM PORTION,821,236,504, 
LOS ANGELES,9000916A,1309,291,N,2487,TOTAL,1080,332,616, 
LOS ANGELES,9000919B,7613,288,N, ,POLLING PLACE,58,25,25, 
LOS ANGELES,9000919B,7613,288,N, ,VBM PORTION,249,110,112, 
LOS ANGELES,9000919B,7613,288,N,748,TOTAL,307,135,137, 
LOS ANGELES,9000922D,1311,291,N, ,POLLING PLACE,253,113,110, 
LOS ANGELES,9000922D,1311,291,N, ,VBM PORTION,855,459,340, 
LOS ANGELES,9000922D,1311,291,N,2965,TOTAL,1108,572,450, 
LOS ANGELES,9001014A,7618,298,N, ,POLLING PLACE,93,46,37, 
LOS ANGELES,9001014A,7618,298,N, ,VBM PORTION,374,186,150, 
LOS ANGELES,9001014A,7618,298,N,1475,TOTAL,467,232,187, 
LOS ANGELES,9001023A,1327,296,N, ,POLLING PLACE,226,123,68, 
LOS ANGELES,9001023A,1327,296,N, ,VBM PORTION,1014,493,404, 
LOS ANGELES,9001023A,1327,296,N,2994,TOTAL,1240,616,472, 
LOS ANGELES,9001025A,7620,298,N, ,POLLING PLACE,13,9,2, 
LOS ANGELES,9001025A,7620,298,N, ,VBM PORTION,48,30,14, 
LOS ANGELES,9001025A,7620,298,N,144,TOTAL,61,39,16, 
LOS ANGELES,9001047B,1332,298,N, ,POLLING PLACE,165,57,85, 
LOS ANGELES,9001047B,1332,298,N, ,VBM PORTION,713,307,346, 
LOS ANGELES,9001047B,1332,298,N,2870,TOTAL,878,364,431, 
LOS ANGELES,9001078A,1336,296,N, ,POLLING PLACE,190,108,65, 
LOS ANGELES,9001078A,1336,296,N, ,VBM PORTION,594,307,229, 
LOS ANGELES,9001078A,1336,296,N,2132,TOTAL,784,415,294, 
LOS ANGELES,9001098A,1343,297,N, ,POLLING PLACE,294,172,95, 
LOS ANGELES,9001098A,1343,297,N, ,VBM PORTION,1127,654,374, 
LOS ANGELES,9001098A,1343,297,N,3659,TOTAL,1421,826,469, 
LOS ANGELES,9001210A,1361,291,N, ,POLLING PLACE,189,84,82, 
LOS ANGELES,9001210A,1361,291,N, ,VBM PORTION,575,271,250, 
LOS ANGELES,9001210A,1361,291,N,2733,TOTAL,764,355,332, 
LOS ANGELES,9001280A,1369,452,N, ,POLLING PLACE,309,158,107, 
LOS ANGELES,9001280A,1369,452,N, ,VBM PORTION,904,404,379, 
LOS ANGELES,9001280A,1369,452,N,3288,TOTAL,1213,562,486, 
LOS ANGELES,9001372A,1380,452,N, ,POLLING PLACE,47,18,20, 
LOS ANGELES,9001372A,1380,452,N, ,VBM PORTION,74,24,38, 
LOS ANGELES,9001372A,1380,452,N,1638,TOTAL,121,42,58, 
LOS ANGELES,9001410A,1386,298,N, ,POLLING PLACE,129,46,70, 
LOS ANGELES,9001410A,1386,298,N, ,VBM PORTION,332,98,210, 
LOS ANGELES,9001410A,1386,298,N,2020,TOTAL,461,144,280, 
LOS ANGELES,9001419A,1387,296,N, ,POLLING PLACE,239,116,86, 
LOS ANGELES,9001419A,1387,296,N, ,VBM PORTION,967,458,419, 
LOS ANGELES,9001419A,1387,296,N,2990,TOTAL,1206,574,505, 
LOS ANGELES,9001469A,1399,298,N, ,POLLING PLACE,162,46,93, 
LOS ANGELES,9001469A,1399,298,N, ,VBM PORTION,421,136,254, 
LOS ANGELES,9001469A,1399,298,N,2364,TOTAL,583,182,347, 
LOS ANGELES,9001470A,1400,297,N, ,POLLING PLACE,211,123,63, 
LOS ANGELES,9001470A,1400,297,N, ,VBM PORTION,1013,481,407, 
LOS ANGELES,9001470A,1400,297,N,3048,TOTAL,1224,604,470, 
LOS ANGELES,9001499A,1412,298,N, ,POLLING PLACE,200,85,94, 
LOS ANGELES,9001499A,1412,298,N, ,VBM PORTION,730,363,294, 
