COUNTY OF LOS ANGELES,GENERAL ELECTION,11/08/2022,,,,,,,,
34TH CONGRESS DIST,Voter Nominated, , , ,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DAVID KIM,JIMMY GOMEZ,
LOS ANGELES,9002053A,1513,290,N, ,VBM PORTION,678,299,312, 
LOS ANGELES,9002053A,1513,290,N,1834,TOTAL,835,369,371, 
LOS ANGELES,9002057A,7692,299,N, ,POLLING PLACE,30,7,13, 
LOS ANGELES,9002057A,7692,299,N, ,VBM PORTION,93,18,60, 
LOS ANGELES,9002057A,7692,299,N,450,TOTAL,123,25,73, 
LOS ANGELES,9002065A,1517,297,N, ,POLLING PLACE,270,149,89, 
LOS ANGELES,9002065A,1517,297,N, ,VBM PORTION,1097,619,373, 
LOS ANGELES,9002065A,1517,297,N,3261,TOTAL,1367,768,462, 
LOS ANGELES,9002098A,1526,291,N, ,POLLING PLACE,269,137,103, 
LOS ANGELES,9002098A,1526,291,N, ,VBM PORTION,1168,555,511, 
LOS ANGELES,9002098A,1526,291,N,3164,TOTAL,1437,692,614, 
LOS ANGELES,9002099A,1527,298,N, ,POLLING PLACE,134,51,69, 
LOS ANGELES,9002099A,1527,298,N, ,VBM PORTION,333,98,209, 
LOS ANGELES,9002099A,1527,298,N,1776,TOTAL,467,149,278, 
LOS ANGELES,9002146A,1538,298,N, ,POLLING PLACE,179,71,88, 
LOS ANGELES,9002146A,1538,298,N, ,VBM PORTION,491,185,271, 
LOS ANGELES,9002146A,1538,298,N,2347,TOTAL,670,256,359, 
LOS ANGELES,9002165A,1543,298,N, ,POLLING PLACE,145,46,83, 
LOS ANGELES,9002165A,1543,298,N, ,VBM PORTION,551,183,336, 
LOS ANGELES,9002165A,1543,298,N,2442,TOTAL,696,229,419, 
LOS ANGELES,9002169A,1544,290,N, ,POLLING PLACE,142,56,63, 
LOS ANGELES,9002169A,1544,290,N, ,VBM PORTION,554,265,228, 
LOS ANGELES,9002169A,1544,290,N,1744,TOTAL,696,321,291, 
LOS ANGELES,9002200A,1549,298,N, ,POLLING PLACE,144,48,84, 
LOS ANGELES,9002200A,1549,298,N, ,VBM PORTION,324,77,214, 
LOS ANGELES,9002200A,1549,298,N,1912,TOTAL,468,125,298, 
LOS ANGELES,9002248A,1559,290,N, ,POLLING PLACE,276,133,110, 
LOS ANGELES,9002248A,1559,290,N, ,VBM PORTION,1149,494,543, 
LOS ANGELES,9002248A,1559,290,N,2753,TOTAL,1425,627,653, 
LOS ANGELES,9002364A,1582,297,N, ,POLLING PLACE,121,51,60, 
LOS ANGELES,9002364A,1582,297,N, ,VBM PORTION,423,149,236, 
LOS ANGELES,9002364A,1582,297,N,2192,TOTAL,544,200,296, 
LOS ANGELES,9002445A,1595,298,N, ,POLLING PLACE,177,77,81, 
LOS ANGELES,9002445A,1595,298,N, ,VBM PORTION,611,230,328, 
LOS ANGELES,9002445A,1595,298,N,2383,TOTAL,788,307,409, 
LOS ANGELES,9002582A,7719,452,N, ,POLLING PLACE,51,22,18, 
LOS ANGELES,9002582A,7719,452,N, ,VBM PORTION,154,74,61, 
LOS ANGELES,9002582A,7719,452,N,808,TOTAL,205,96,79, 
LOS ANGELES,9002631A,1625,283,N, ,POLLING PLACE,167,82,66, 
LOS ANGELES,9002631A,1625,283,N, ,VBM PORTION,579,293,222, 
LOS ANGELES,9002631A,1625,283,N,2091,TOTAL,746,375,288, 
LOS ANGELES,9002719D,1629,298,N, ,POLLING PLACE,148,43,78, 
LOS ANGELES,9002719D,1629,298,N, ,VBM PORTION,581,193,357, 
LOS ANGELES,9002719D,1629,298,N,2390,TOTAL,729,236,435, 
LOS ANGELES,9002809A,1632,291,N, ,POLLING PLACE,148,68,58, 
LOS ANGELES,9002809A,1632,291,N, ,VBM PORTION,654,313,271, 
LOS ANGELES,9002809A,1632,291,N,1640,TOTAL,802,381,329, 
LOS ANGELES,9002813A,1633,291,N, ,POLLING PLACE,282,92,154, 
LOS ANGELES,9002813A,1633,291,N, ,VBM PORTION,974,334,520, 
LOS ANGELES,9002813A,1633,291,N,2899,TOTAL,1256,426,674, 
LOS ANGELES,9002835A,1634,294,N, ,POLLING PLACE,185,97,59, 
LOS ANGELES,9002835A,1634,294,N, ,VBM PORTION,761,445,235, 
LOS ANGELES,9002835A,1634,294,N,2544,TOTAL,946,542,294, 
LOS ANGELES,9002842A,1635,291,N, ,POLLING PLACE,212,95,93, 
LOS ANGELES,9002842A,1635,291,N, ,VBM PORTION,760,290,378, 
LOS ANGELES,9002842A,1635,291,N,2264,TOTAL,972,385,471, 
LOS ANGELES,9002881A,1638,291,N, ,POLLING PLACE,237,87,122, 
LOS ANGELES,9002881A,1638,291,N, ,VBM PORTION,888,280,509, 
LOS ANGELES,9002881A,1638,291,N,2705,TOTAL,1125,367,631, 
LOS ANGELES,9003168A,1668,288,N, ,POLLING PLACE,221,103,72, 
LOS ANGELES,9003168A,1668,288,N, ,VBM PORTION,1099,470,499, 
LOS ANGELES,9003168A,1668,288,N,2364,TOTAL,1320,573,571, 
LOS ANGELES,9003174B,7754,291,N, ,POLLING PLACE,34,16,7, 
LOS ANGELES,9003174B,7754,291,N, ,VBM PORTION,102,48,41, 
LOS ANGELES,9003174B,7754,291,N,240,TOTAL,136,64,48, 
LOS ANGELES,9003185A,1670,298,N, ,POLLING PLACE,246,118,95, 
LOS ANGELES,9003185A,1670,298,N, ,VBM PORTION,1167,544,463, 
LOS ANGELES,9003185A,1670,298,N,2948,TOTAL,1413,662,558, 
LOS ANGELES,9003192A,7758,295,N, ,POLLING PLACE,34,17,10, 
LOS ANGELES,9003192A,7758,295,N, ,VBM PORTION,175,91,61, 
LOS ANGELES,9003192A,7758,295,N,396,TOTAL,209,108,71, 
LOS ANGELES,9003251A,7764,298,N, ,POLLING PLACE,97,49,37, 
LOS ANGELES,9003251A,7764,298,N, ,VBM PORTION,501,278,181, 
LOS ANGELES,9003251A,7764,298,N,1601,TOTAL,598,327,218, 
LOS ANGELES,9003262A,7766,288,N, ,POLLING PLACE,18,11,0, 
LOS ANGELES,9003262A,7766,288,N, ,VBM PORTION,55,33,14, 
LOS ANGELES,9003262A,7766,288,N,117,TOTAL,73,44,14, 
LOS ANGELES,9003267A,7768,297,N, ,POLLING PLACE,1,0,1, 
LOS ANGELES,9003267A,7768,297,N, ,VBM PORTION,4,2,2, 
LOS ANGELES,9003267A,7768,297,N,19,TOTAL,5,2,3, 
LOS ANGELES,9003342A,7784,451,N, ,POLLING PLACE,132,72,42, 
LOS ANGELES,9003342A,7784,451,N, ,VBM PORTION,555,269,219, 
LOS ANGELES,9003342A,7784,451,N,1246,TOTAL,687,341,261, 
LOS ANGELES,9003922A,7813,452,N, ,POLLING PLACE,132,51,60, 
LOS ANGELES,9003922A,7813,452,N, ,VBM PORTION,210,74,105, 
LOS ANGELES,9003922A,7813,452,N,1480,TOTAL,342,125,165, 
LOS ANGELES,9003927A,7815,290,N, ,POLLING PLACE,3,3,0, 
LOS ANGELES,9003927A,7815,290,N, ,VBM PORTION,2,0,2, 
LOS ANGELES,9003927A,7815,290,N,6,TOTAL,5,3,2, 
LOS ANGELES,9003937B,7816,290,N, ,POLLING PLACE,169,74,74, 
LOS ANGELES,9003937B,7816,290,N, ,VBM PORTION,1001,409,497, 
LOS ANGELES,9003937B,7816,290,N,1770,TOTAL,1170,483,571, 
LOS ANGELES,9003952A,1682,297,N, ,POLLING PLACE,198,92,81, 
LOS ANGELES,9003952A,1682,297,N, ,VBM PORTION,832,444,295, 
LOS ANGELES,9003952A,1682,297,N,3272,TOTAL,1030,536,376, 
LOS ANGELES,9004120B,1688,298,N, ,POLLING PLACE,188,75,96, 
LOS ANGELES,9004120B,1688,298,N, ,VBM PORTION,684,212,425, 
LOS ANGELES,9004120B,1688,298,N,2749,TOTAL,872,287,521, 
LOS ANGELES,9005003A,1699,297,N, ,POLLING PLACE,244,134,83, 
LOS ANGELES,9005003A,1699,297,N, ,VBM PORTION,1275,747,410, 
LOS ANGELES,9005003A,1699,297,N,3778,TOTAL,1519,881,493, 
LOS ANGELES,9005016A,1700,298,N, ,POLLING PLACE,214,105,86, 
LOS ANGELES,9005016A,1700,298,N, ,VBM PORTION,902,464,340, 
LOS ANGELES,9005016A,1700,298,N,3392,TOTAL,1116,569,426, 
LOS ANGELES,9005401A,1715,297,N, ,POLLING PLACE,185,82,78, 
LOS ANGELES,9005401A,1715,297,N, ,VBM PORTION,750,396,267, 
LOS ANGELES,9005401A,1715,297,N,2995,TOTAL,935,478,345, 
LOS ANGELES,9005537A,1720,291,N, ,POLLING PLACE,117,39,55, 
LOS ANGELES,9005537A,1720,291,N, ,VBM PORTION,623,294,287, 
LOS ANGELES,9005537A,1720,291,N,1927,TOTAL,740,333,342, 
LOS ANGELES,9005538B,1721,291,N, ,POLLING PLACE,174,78,81, 
LOS ANGELES,9005538B,1721,291,N, ,VBM PORTION,554,227,288, 
LOS ANGELES,9005538B,1721,291,N,1904,TOTAL,728,305,369, 
LOS ANGELES,9005543E,7834,298,N, ,POLLING PLACE,110,60,40, 
LOS ANGELES,9005543E,7834,298,N, ,VBM PORTION,393,192,137, 
LOS ANGELES,9005543E,7834,298,N,1207,TOTAL,503,252,177, 
LOS ANGELES,9005759A,7836,452,N, ,POLLING PLACE,87,43,37, 
LOS ANGELES,9005759A,7836,452,N, ,VBM PORTION,361,163,134, 
LOS ANGELES,9005759A,7836,452,N,1000,TOTAL,448,206,171, 
LOS ANGELES,9005769B,1729,298,N, ,POLLING PLACE,283,139,106, 
LOS ANGELES,9005769B,1729,298,N, ,VBM PORTION,872,376,375, 
LOS ANGELES,9005769B,1729,298,N,3529,TOTAL,1155,515,481, 
LOS ANGELES,9006314B,7846,291,N, ,POLLING PLACE,55,21,25, 
LOS ANGELES,9006314B,7846,291,N, ,VBM PORTION,255,123,114, 
LOS ANGELES,9006314B,7846,291,N,548,TOTAL,310,144,139, 
LOS ANGELES,9006315A,1755,290,N, ,POLLING PLACE,285,124,125, 
LOS ANGELES,9006315A,1755,290,N, ,VBM PORTION,1766,755,812, 
LOS ANGELES,9006315A,1755,290,N,2933,TOTAL,2051,879,937, 
LOS ANGELES,9006317A,1756,290,N, ,POLLING PLACE,196,98,76, 
LOS ANGELES,9006317A,1756,290,N, ,VBM PORTION,1005,500,377, 
LOS ANGELES,9006317A,1756,290,N,2187,TOTAL,1201,598,453, 
LOS ANGELES,9006334A,1757,290,N, ,POLLING PLACE,299,129,116, 
LOS ANGELES,9006334A,1757,290,N, ,VBM PORTION,1475,630,677, 
LOS ANGELES,9006334A,1757,290,N,2963,TOTAL,1774,759,793, 
LOS ANGELES,9006337A,1758,290,N, ,POLLING PLACE,232,86,104, 
LOS ANGELES,9006337A,1758,290,N, ,VBM PORTION,1251,489,605, 
LOS ANGELES,9006337A,1758,290,N,2237,TOTAL,1483,575,709, 
LOS ANGELES,9007015B,7855,298,N, ,POLLING PLACE,64,27,29, 
LOS ANGELES,9007015B,7855,298,N, ,VBM PORTION,365,184,138, 
LOS ANGELES,9007015B,7855,298,N,934,TOTAL,429,211,167, 
LOS ANGELES,9007017A,7856,300,N, ,POLLING PLACE,4,4,0, 
LOS ANGELES,9007017A,7856,300,N, ,VBM PORTION,2,0,1, 
LOS ANGELES,9007017A,7856,300,N,30,TOTAL,6,4,1, 
LOS ANGELES,9007114A,1786,298,N, ,POLLING PLACE,139,44,76, 
LOS ANGELES,9007114A,1786,298,N, ,VBM PORTION,506,167,304, 
LOS ANGELES,9007114A,1786,298,N,2230,TOTAL,645,211,380, 
LOS ANGELES,9007542A,1797,297,N, ,POLLING PLACE,152,69,64, 
LOS ANGELES,9007542A,1797,297,N, ,VBM PORTION,492,176,275, 
LOS ANGELES,9007542A,1797,297,N,2383,TOTAL,644,245,339, 
