COUNTY OF LOS ANGELES,GENERAL ELECTION,11/3/20,,,,,,,,,,,,
PRES AND VICE PRES, , , , ,,,,,,,,,,
LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOSEPH R BIDEN,DONALD J TRUMP,GLORIA LA RIVA,ROQUE D GUERRA,HOWIE HAWKINS,JO JORGENSEN,
COMPTON,1450144C,6143,846,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
COMPTON,1450144C,6143,846,Y, ,VBM PORTION,1,0,1,0,0,0,0, 
COMPTON,1450144C,6143,846,Y,4,TOTAL,1,0,1,0,0,0,0, 
COMPTON,1450147A,279,854,N, ,POLLING PLACE,309,257,40,2,3,3,0, 
COMPTON,1450147A,279,854,N, ,VBM PORTION,1037,943,65,2,2,7,7, 
COMPTON,1450147A,279,854,N,2003,TOTAL,1346,1200,105,4,5,10,7, 
COMPTON,1450148A,280,854,N, ,POLLING PLACE,379,309,52,3,7,2,0, 
COMPTON,1450148A,280,854,N, ,VBM PORTION,1066,961,69,3,5,5,7, 
COMPTON,1450148A,280,854,N,1970,TOTAL,1445,1270,121,6,12,7,7, 
COMPTON,1450148B,6144,843,Y, ,POLLING PLACE,5,4,1,0,0,0,0, 
COMPTON,1450148B,6144,843,Y, ,VBM PORTION,27,23,3,0,0,0,0, 
COMPTON,1450148B,6144,843,Y,32,TOTAL,32,27,4,0,0,0,0, 
COMPTON,1450149A,6145,858,Y, ,POLLING PLACE,100,79,14,0,1,2,2, 
COMPTON,1450149A,6145,858,Y, ,VBM PORTION,257,223,21,1,5,1,2, 
COMPTON,1450149A,6145,858,Y,566,TOTAL,357,302,35,1,6,3,4, 
COMPTON,1450149C,6146,846,Y, ,POLLING PLACE,1,1,0,0,0,0,0, 
COMPTON,1450149C,6146,846,Y, ,VBM PORTION,10,8,2,0,0,0,0, 
COMPTON,1450149C,6146,846,Y,35,TOTAL,11,9,2,0,0,0,0, 
COMPTON,1450149E,6147,846,Y, ,POLLING PLACE,23,20,1,0,1,0,1, 
COMPTON,1450149E,6147,846,Y, ,VBM PORTION,67,63,4,0,0,0,0, 
COMPTON,1450149E,6147,846,Y,121,TOTAL,90,83,5,0,1,0,1, 
COMPTON,1450149F,6148,846,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
COMPTON,1450149F,6148,846,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
COMPTON,1450149F,6148,846,Y,0,TOTAL,0,0,0,0,0,0,0, 
COMPTON,1450149L,6149,846,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
COMPTON,1450149L,6149,846,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
COMPTON,1450149L,6149,846,Y,0,TOTAL,0,0,0,0,0,0,0, 
COMPTON,1450149M,6150,846,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
COMPTON,1450149M,6150,846,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
COMPTON,1450149M,6150,846,Y,0,TOTAL,0,0,0,0,0,0,0, 
COMPTON,1450149N,6151,847,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
COMPTON,1450149N,6151,847,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
COMPTON,1450149N,6151,847,Y,0,TOTAL,0,0,0,0,0,0,0, 
COMPTON,1450152A,281,858,N, ,POLLING PLACE,175,146,17,1,1,3,1, 
COMPTON,1450152A,281,858,N, ,VBM PORTION,878,779,66,3,5,4,5, 
COMPTON,1450152A,281,858,N,1617,TOTAL,1053,925,83,4,6,7,6, 
COMPTON,1450155A,282,858,N, ,POLLING PLACE,322,250,62,0,6,0,2, 
COMPTON,1450155A,282,858,N, ,VBM PORTION,949,849,65,5,3,9,5, 
COMPTON,1450155A,282,858,N,1972,TOTAL,1271,1099,127,5,9,9,7, 
COMPTON,1450160B,6152,846,Y, ,POLLING PLACE,52,45,4,1,0,0,1, 
COMPTON,1450160B,6152,846,Y, ,VBM PORTION,253,227,14,0,3,0,1, 
COMPTON,1450160B,6152,846,Y,440,TOTAL,305,272,18,1,3,0,2, 
COMPTON,1450163A,283,858,N, ,POLLING PLACE,268,197,61,0,2,1,0, 
COMPTON,1450163A,283,858,N, ,VBM PORTION,919,799,87,4,8,0,5, 
COMPTON,1450163A,283,858,N,1892,TOTAL,1187,996,148,4,10,1,5, 
COMPTON,1450167A,284,858,N, ,POLLING PLACE,245,201,33,1,4,2,1, 
COMPTON,1450167A,284,858,N, ,VBM PORTION,814,704,76,5,9,4,2, 
COMPTON,1450167A,284,858,N,1638,TOTAL,1059,905,109,6,13,6,3, 
COMPTON,1450305B,6153,842,Y, ,POLLING PLACE,60,44,13,1,1,0,0, 
COMPTON,1450305B,6153,842,Y, ,VBM PORTION,171,146,21,1,0,2,0, 
COMPTON,1450305B,6153,842,Y,398,TOTAL,231,190,34,2,1,2,0, 
COMPTON,1450305C,6154,853,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
COMPTON,1450305C,6154,853,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
COMPTON,1450305C,6154,853,Y,0,TOTAL,0,0,0,0,0,0,0, 
COVINA,1500001B,6155,373,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
COVINA,1500001B,6155,373,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
COVINA,1500001B,6155,373,Y,0,TOTAL,0,0,0,0,0,0,0, 
COVINA,1500004A,6156,374,Y, ,POLLING PLACE,213,96,113,1,0,0,0, 
COVINA,1500004A,6156,374,Y, ,VBM PORTION,737,487,217,1,3,5,8, 
COVINA,1500004A,6156,374,Y,1217,TOTAL,950,583,330,2,3,5,8, 
COVINA,1500009A,6157,375,Y, ,POLLING PLACE,234,96,134,0,0,0,2, 
COVINA,1500009A,6157,375,Y, ,VBM PORTION,651,397,221,2,1,5,8, 
COVINA,1500009A,6157,375,Y,1048,TOTAL,885,493,355,2,1,5,10, 
COVINA,1500012A,285,374,N, ,POLLING PLACE,599,242,342,0,0,4,7, 
COVINA,1500012A,285,374,N, ,VBM PORTION,1362,949,365,6,7,10,7, 
COVINA,1500012A,285,374,N,2388,TOTAL,1961,1191,707,6,7,14,14, 
COVINA,1500014A,286,375,N, ,POLLING PLACE,623,289,312,5,2,4,4, 
COVINA,1500014A,286,375,N, ,VBM PORTION,1265,903,324,5,3,7,12, 
COVINA,1500014A,286,375,N,2434,TOTAL,1888,1192,636,10,5,11,16, 
COVINA,1500016A,287,374,N, ,POLLING PLACE,528,251,265,2,1,0,4, 
COVINA,1500016A,287,374,N, ,VBM PORTION,1278,855,392,2,6,4,6, 
COVINA,1500016A,287,374,N,2213,TOTAL,1806,1106,657,4,7,4,10, 
COVINA,1500027E,6158,343,Y, ,POLLING PLACE,34,23,11,0,0,0,0, 
COVINA,1500027E,6158,343,Y, ,VBM PORTION,82,54,24,1,0,0,1, 
COVINA,1500027E,6158,343,Y,170,TOTAL,116,77,35,1,0,0,1, 
COVINA,1500029B,288,342,N, ,POLLING PLACE,479,185,281,2,3,0,3, 
COVINA,1500029B,288,342,N, ,VBM PORTION,1260,836,377,2,3,7,13, 
COVINA,1500029B,288,342,N,2230,TOTAL,1739,1021,658,4,6,7,16, 
COVINA,1500031A,289,342,N, ,POLLING PLACE,430,119,303,0,0,0,5, 
COVINA,1500031A,289,342,N, ,VBM PORTION,1320,795,456,4,6,3,22, 
COVINA,1500031A,289,342,N,2067,TOTAL,1750,914,759,4,6,3,27, 
COVINA,1500038A,290,342,N, ,POLLING PLACE,453,168,271,0,1,0,6, 
COVINA,1500038A,290,342,N, ,VBM PORTION,1276,842,373,6,2,7,20, 
COVINA,1500038A,290,342,N,2254,TOTAL,1729,1010,644,6,3,7,26, 
COVINA,1500056A,291,374,N, ,POLLING PLACE,409,186,212,0,3,0,4, 
COVINA,1500056A,291,374,N, ,VBM PORTION,1177,831,300,4,0,11,11, 
COVINA,1500056A,291,374,N,2083,TOTAL,1586,1017,512,4,3,11,15, 
COVINA,1500074A,292,342,N, ,POLLING PLACE,517,169,338,0,1,1,2, 
COVINA,1500074A,292,342,N, ,VBM PORTION,1293,811,435,0,4,5,15, 
COVINA,1500074A,292,342,N,2155,TOTAL,1810,980,773,0,5,6,17, 
COVINA,1500078A,293,375,N, ,POLLING PLACE,541,257,268,4,1,1,6, 
COVINA,1500078A,293,375,N, ,VBM PORTION,1273,858,367,4,6,5,12, 
COVINA,1500078A,293,375,N,2248,TOTAL,1814,1115,635,8,7,6,18, 
COVINA,1500082A,6159,383,Y, ,POLLING PLACE,244,104,134,0,0,0,2, 
COVINA,1500082A,6159,383,Y, ,VBM PORTION,661,415,220,4,2,1,7, 
COVINA,1500082A,6159,383,Y,1152,TOTAL,905,519,354,4,2,1,9, 
COVINA,1500084A,6160,372,Y, ,POLLING PLACE,131,44,82,1,1,1,1, 
COVINA,1500084A,6160,372,Y, ,VBM PORTION,398,240,139,0,3,3,2, 
COVINA,1500084A,6160,372,Y,620,TOTAL,529,284,221,1,4,4,3, 
COVINA,1500086A,294,383,N, ,POLLING PLACE,457,210,233,2,4,1,3, 
COVINA,1500086A,294,383,N, ,VBM PORTION,1390,941,389,8,5,15,17, 
COVINA,1500086A,294,383,N,2344,TOTAL,1847,1151,622,10,9,16,20, 
COVINA,1500089A,295,383,N, ,POLLING PLACE,496,266,213,4,2,0,6, 
COVINA,1500089A,295,383,N, ,VBM PORTION,1278,925,309,4,5,13,5, 
COVINA,1500089A,295,383,N,2283,TOTAL,1774,1191,522,8,7,13,11, 
COVINA,1500090C,6161,320,Y, ,POLLING PLACE,60,27,33,0,0,0,0, 
COVINA,1500090C,6161,320,Y, ,VBM PORTION,174,116,50,3,0,0,1, 
COVINA,1500090C,6161,320,Y,283,TOTAL,234,143,83,3,0,0,1, 
COVINA,1500090D,6162,323,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
COVINA,1500090D,6162,323,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
COVINA,1500090D,6162,323,Y,0,TOTAL,0,0,0,0,0,0,0, 
COVINA,1500093B,6163,375,Y, ,POLLING PLACE,141,61,73,0,1,0,4, 
COVINA,1500093B,6163,375,Y, ,VBM PORTION,346,241,91,1,3,2,4, 
COVINA,1500093B,6163,375,Y,660,TOTAL,487,302,164,1,4,2,8, 
CUDAHY,1550001A,6164,811,Y, ,POLLING PLACE,95,78,14,1,0,0,0, 
CUDAHY,1550001A,6164,811,Y, ,VBM PORTION,425,337,71,1,3,4,3, 
CUDAHY,1550001A,6164,811,Y,800,TOTAL,520,415,85,2,3,4,3, 
CUDAHY,1550002A,6165,808,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
CUDAHY,1550002A,6165,808,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
CUDAHY,1550002A,6165,808,Y,0,TOTAL,0,0,0,0,0,0,0, 
CUDAHY,1550005A,296,811,N, ,POLLING PLACE,374,249,96,14,6,3,2, 
CUDAHY,1550005A,296,811,N, ,VBM PORTION,933,743,144,8,1,7,3, 
CUDAHY,1550005A,296,811,N,2137,TOTAL,1307,992,240,22,7,10,5, 
CUDAHY,1550005C,6166,812,Y, ,POLLING PLACE,2,0,2,0,0,0,0, 
CUDAHY,1550005C,6166,812,Y, ,VBM PORTION,2,2,0,0,0,0,0, 
CUDAHY,1550005C,6166,812,Y,5,TOTAL,4,2,2,0,0,0,0, 
CUDAHY,1550006A,297,811,N, ,POLLING PLACE,349,247,76,7,1,4,3, 
CUDAHY,1550006A,297,811,N, ,VBM PORTION,963,795,123,10,6,9,6, 
CUDAHY,1550006A,297,811,N,2041,TOTAL,1312,1042,199,17,7,13,9, 
CUDAHY,1550007A,298,811,N, ,POLLING PLACE,323,241,59,8,1,5,3, 
CUDAHY,1550007A,298,811,N, ,VBM PORTION,897,743,124,8,1,2,4, 
CUDAHY,1550007A,298,811,N,1986,TOTAL,1220,984,183,16,2,7,7, 
CUDAHY,1550021A,299,811,N, ,POLLING PLACE,293,198,73,10,2,0,3, 
CUDAHY,1550021A,299,811,N, ,VBM PORTION,895,718,140,7,3,6,0, 
CUDAHY,1550021A,299,811,N,1898,TOTAL,1188,916,213,17,5,6,3, 
CULVER CITY,1600001B,6167,511,Y, ,POLLING PLACE,1,1,0,0,0,0,0, 
CULVER CITY,1600001B,6167,511,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
CULVER CITY,1600001B,6167,511,Y,0,TOTAL,1,1,0,0,0,0,0, 
CULVER CITY,1600003A,300,509,N, ,POLLING PLACE,305,231,66,0,1,1,3, 
CULVER CITY,1600003A,300,509,N, ,VBM PORTION,2064,1796,205,4,5,14,16, 
CULVER CITY,1600003A,300,509,N,2845,TOTAL,2369,2027,271,4,6,15,19, 
CULVER CITY,1600005A,301,509,N, ,POLLING PLACE,371,239,117,2,1,2,5, 
CULVER CITY,1600005A,301,509,N, ,VBM PORTION,2243,1897,253,7,6,13,23, 
CULVER CITY,1600005A,301,509,N,2988,TOTAL,2614,2136,370,9,7,15,28, 
CULVER CITY,1600006A,302,509,N, ,POLLING PLACE,338,243,87,1,0,0,3, 
CULVER CITY,1600006A,302,509,N, ,VBM PORTION,1921,1702,154,3,2,11,20, 
CULVER CITY,1600006A,302,509,N,2666,TOTAL,2259,1945,241,4,2,11,23, 
CULVER CITY,1600009A,6168,510,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
CULVER CITY,1600009A,6168,510,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
CULVER CITY,1600009A,6168,510,Y,0,TOTAL,0,0,0,0,0,0,0, 
CULVER CITY,1600011A,303,509,N, ,POLLING PLACE,295,188,102,0,0,0,1, 
CULVER CITY,1600011A,303,509,N, ,VBM PORTION,1889,1589,226,5,5,15,23, 
CULVER CITY,1600011A,303,509,N,2676,TOTAL,2184,1777,328,5,5,15,24, 
CULVER CITY,1600016A,304,509,N, ,POLLING PLACE,333,224,100,2,0,1,2, 
CULVER CITY,1600016A,304,509,N, ,VBM PORTION,1843,1546,248,2,3,4,13, 
CULVER CITY,1600016A,304,509,N,2582,TOTAL,2176,1770,348,4,3,5,15, 
CULVER CITY,1600024A,305,509,N, ,POLLING PLACE,348,210,129,0,2,2,4, 
CULVER CITY,1600024A,305,509,N, ,VBM PORTION,1904,1597,238,3,4,15,18, 
CULVER CITY,1600024A,305,509,N,2626,TOTAL,2252,1807,367,3,6,17,22, 
CULVER CITY,1600025A,306,509,N, ,POLLING PLACE,334,226,102,0,2,1,2, 
CULVER CITY,1600025A,306,509,N, ,VBM PORTION,2102,1745,303,3,3,7,13, 
CULVER CITY,1600025A,306,509,N,2708,TOTAL,2436,1971,405,3,5,8,15, 
CULVER CITY,1600028A,307,509,N, ,POLLING PLACE,272,175,91,0,1,0,2, 
CULVER CITY,1600028A,307,509,N, ,VBM PORTION,1881,1487,322,6,2,8,20, 
CULVER CITY,1600028A,307,509,N,2471,TOTAL,2153,1662,413,6,3,8,22, 
CULVER CITY,1600034A,308,509,N, ,POLLING PLACE,300,196,93,1,2,2,3, 
CULVER CITY,1600034A,308,509,N, ,VBM PORTION,1928,1638,224,2,4,8,22, 
CULVER CITY,1600034A,308,509,N,2598,TOTAL,2228,1834,317,3,6,10,25, 
CULVER CITY,1600073A,309,509,N, ,POLLING PLACE,374,270,91,2,1,2,4, 
CULVER CITY,1600073A,309,509,N, ,VBM PORTION,1817,1566,185,2,7,9,20, 
CULVER CITY,1600073A,309,509,N,2523,TOTAL,2191,1836,276,4,8,11,24, 
CULVER CITY,1600076A,310,509,N, ,POLLING PLACE,306,207,93,0,1,1,1, 
CULVER CITY,1600076A,310,509,N, ,VBM PORTION,1774,1482,216,9,4,14,14, 
CULVER CITY,1600076A,310,509,N,2411,TOTAL,2080,1689,309,9,5,15,15, 
DEL AIRE,1680001A,311,785,N, ,POLLING PLACE,560,289,246,0,1,6,12, 
DEL AIRE,1680001A,311,785,N, ,VBM PORTION,1484,1095,322,1,9,15,22, 
DEL AIRE,1680001A,311,785,N,2450,TOTAL,2044,1384,568,1,10,21,34, 
DEL AIRE,1680003A,312,785,N, ,POLLING PLACE,283,145,130,2,2,0,4, 
DEL AIRE,1680003A,312,785,N, ,VBM PORTION,1184,885,241,3,3,8,11, 
DEL AIRE,1680003A,312,785,N,1815,TOTAL,1467,1030,371,5,5,8,15, 
DEL AIRE,1680004A,6169,778,Y, ,POLLING PLACE,162,79,77,0,0,0,3, 
DEL AIRE,1680004A,6169,778,Y, ,VBM PORTION,497,340,137,0,1,1,7, 
DEL AIRE,1680004A,6169,778,Y,794,TOTAL,659,419,214,0,1,1,10, 
DEL AIRE,1680007A,313,785,N, ,POLLING PLACE,344,166,171,1,0,0,2, 
DEL AIRE,1680007A,313,785,N, ,VBM PORTION,1279,957,260,5,4,13,12, 
DEL AIRE,1680007A,313,785,N,1996,TOTAL,1623,1123,431,6,4,13,14, 
DEL AIRE,1680010A,6170,784,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
DEL AIRE,1680010A,6170,784,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
DEL AIRE,1680010A,6170,784,Y,0,TOTAL,0,0,0,0,0,0,0, 
DEL SUR,1750001A,314,29,N, ,POLLING PLACE,358,61,291,1,0,0,2, 
DEL SUR,1750001A,314,29,N, ,VBM PORTION,993,393,545,2,4,10,21, 
DEL SUR,1750001A,314,29,N,1645,TOTAL,1351,454,836,3,4,10,23, 
DEL SUR,1750052A,6171,8,Y, ,POLLING PLACE,47,4,42,0,0,0,0, 
DEL SUR,1750052A,6171,8,Y, ,VBM PORTION,237,76,157,0,0,2,1, 
DEL SUR,1750052A,6171,8,Y,335,TOTAL,284,80,199,0,0,2,1, 
DEL SUR,1750053G,6172,4,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
DEL SUR,1750053G,6172,4,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
DEL SUR,1750053G,6172,4,Y,0,TOTAL,0,0,0,0,0,0,0, 
DEL SUR,1750055A,315,2,N, ,POLLING PLACE,411,38,366,0,1,1,3, 
DEL SUR,1750055A,315,2,N, ,VBM PORTION,968,322,606,3,5,7,10, 
DEL SUR,1750055A,315,2,N,1721,TOTAL,1379,360,972,3,6,8,13, 
DESERT,1770003A,6173,50,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
DESERT,1770003A,6173,50,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
DESERT,1770003A,6173,50,Y,1,TOTAL,0,0,0,0,0,0,0, 
DESERT,1770004A,6174,21,Y, ,POLLING PLACE,79,26,46,1,1,2,1, 
DESERT,1770004A,6174,21,Y, ,VBM PORTION,271,113,148,0,0,2,4, 
DESERT,1770004A,6174,21,Y,440,TOTAL,350,139,194,1,1,4,5, 
DESERT,1770007A,6175,60,Y, ,POLLING PLACE,26,16,9,0,0,0,0, 
DESERT,1770007A,6175,60,Y, ,VBM PORTION,88,63,20,0,0,1,0, 
DESERT,1770007A,6175,60,Y,207,TOTAL,114,79,29,0,0,1,0, 
DESERT,1770008C,6176,36,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
DESERT,1770008C,6176,36,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
DESERT,1770008C,6176,36,Y,0,TOTAL,0,0,0,0,0,0,0, 
DESERT,1770015A,6177,31,Y, ,POLLING PLACE,219,54,158,0,2,1,1, 
DESERT,1770015A,6177,31,Y, ,VBM PORTION,706,334,348,4,2,1,6, 
DESERT,1770015A,6177,31,Y,1220,TOTAL,925,388,506,4,4,2,7, 
DESERT,1770016C,6178,60,Y, ,POLLING PLACE,64,14,47,0,0,1,1, 
DESERT,1770016C,6178,60,Y, ,VBM PORTION,239,134,96,1,0,0,1, 
DESERT,1770016C,6178,60,Y,392,TOTAL,303,148,143,1,0,1,2, 
DESERT,1770063P,6179,78,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
DESERT,1770063P,6179,78,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
DESERT,1770063P,6179,78,Y,0,TOTAL,0,0,0,0,0,0,0, 
DESERT,1770064A,6180,49,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
DESERT,1770064A,6180,49,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
DESERT,1770064A,6180,49,Y,0,TOTAL,0,0,0,0,0,0,0, 
DESERT,1770072A,6181,60,Y, ,POLLING PLACE,179,77,92,0,1,3,4, 
DESERT,1770072A,6181,60,Y, ,VBM PORTION,622,400,194,2,2,6,6, 
DESERT,1770072A,6181,60,Y,1157,TOTAL,801,477,286,2,3,9,10, 
DESERT,1770306A,6182,22,Y, ,POLLING PLACE,53,13,40,0,0,0,0, 
DESERT,1770306A,6182,22,Y, ,VBM PORTION,179,59,112,0,0,1,3, 
DESERT,1770306A,6182,22,Y,283,TOTAL,232,72,152,0,0,1,3, 
DIAMOND BAR,1780002A,316,532,N, ,POLLING PLACE,489,211,268,1,0,1,3, 
DIAMOND BAR,1780002A,316,532,N, ,VBM PORTION,1713,1102,561,3,6,4,7, 
DIAMOND BAR,1780002A,316,532,N,2644,TOTAL,2202,1313,829,4,6,5,10, 
DIAMOND BAR,1780003A,317,533,N, ,POLLING PLACE,457,184,261,2,1,2,2, 
DIAMOND BAR,1780003A,317,533,N, ,VBM PORTION,1889,1169,655,6,4,6,7, 
DIAMOND BAR,1780003A,317,533,N,2837,TOTAL,2346,1353,916,8,5,8,9, 
DIAMOND BAR,1780008A,318,533,N, ,POLLING PLACE,373,165,192,1,2,2,2, 
DIAMOND BAR,1780008A,318,533,N, ,VBM PORTION,1873,1170,643,3,7,4,10, 
DIAMOND BAR,1780008A,318,533,N,2784,TOTAL,2246,1335,835,4,9,6,12, 
DIAMOND BAR,1780019A,319,533,N, ,POLLING PLACE,450,174,263,1,1,1,3, 
DIAMOND BAR,1780019A,319,533,N, ,VBM PORTION,1869,1143,654,2,6,9,13, 
DIAMOND BAR,1780019A,319,533,N,2806,TOTAL,2319,1317,917,3,7,10,16, 
DIAMOND BAR,1780021A,320,533,N, ,POLLING PLACE,430,158,257,0,2,1,4, 
DIAMOND BAR,1780021A,320,533,N, ,VBM PORTION,1763,1088,605,5,4,5,8, 
DIAMOND BAR,1780021A,320,533,N,2640,TOTAL,2193,1246,862,5,6,6,12, 
DIAMOND BAR,1780065A,321,532,N, ,POLLING PLACE,502,227,257,1,4,1,4, 
DIAMOND BAR,1780065A,321,532,N, ,VBM PORTION,1630,1009,556,6,8,7,14, 
DIAMOND BAR,1780065A,321,532,N,2602,TOTAL,2132,1236,813,7,12,8,18, 
DIAMOND BAR,1780067A,322,531,N, ,POLLING PLACE,508,175,318,3,1,0,5, 
DIAMOND BAR,1780067A,322,531,N, ,VBM PORTION,1591,1017,506,6,8,2,12, 
DIAMOND BAR,1780067A,322,531,N,2490,TOTAL,2099,1192,824,9,9,2,17, 
DIAMOND BAR,1780070A,323,531,N, ,POLLING PLACE,513,216,284,2,3,3,1, 
DIAMOND BAR,1780070A,323,531,N, ,VBM PORTION,1929,1218,613,7,5,9,15, 
DIAMOND BAR,1780070A,323,531,N,2959,TOTAL,2442,1434,897,9,8,12,16, 
DIAMOND BAR,1780072A,324,532,N, ,POLLING PLACE,547,225,304,3,3,1,2, 
DIAMOND BAR,1780072A,324,532,N, ,VBM PORTION,1389,933,422,4,2,2,8, 
DIAMOND BAR,1780072A,324,532,N,2288,TOTAL,1936,1158,726,7,5,3,10, 
DIAMOND BAR,1780075A,6183,533,Y, ,POLLING PLACE,171,76,89,0,1,1,1, 
DIAMOND BAR,1780075A,6183,533,Y, ,VBM PORTION,667,396,235,4,2,6,9, 
DIAMOND BAR,1780075A,6183,533,Y,1055,TOTAL,838,472,324,4,3,7,10, 
DIAMOND BAR,1780076A,325,533,N, ,POLLING PLACE,434,159,267,1,0,0,3, 
DIAMOND BAR,1780076A,325,533,N, ,VBM PORTION,1925,1181,683,4,5,6,9, 
DIAMOND BAR,1780076A,325,533,N,2973,TOTAL,2359,1340,950,5,5,6,12, 
DIAMOND BAR,1780077A,326,534,N, ,POLLING PLACE,402,150,243,1,2,2,2, 
DIAMOND BAR,1780077A,326,534,N, ,VBM PORTION,1615,987,565,5,2,2,13, 
DIAMOND BAR,1780077A,326,534,N,2439,TOTAL,2017,1137,808,6,4,4,15, 
DIAMOND BAR,1780091A,327,533,N, ,POLLING PLACE,435,160,263,1,2,1,1, 
DIAMOND BAR,1780091A,327,533,N, ,VBM PORTION,1975,1199,702,3,7,10,8, 
DIAMOND BAR,1780091A,327,533,N,2983,TOTAL,2410,1359,965,4,9,11,9, 
DOHENY,1790001A,6184,453,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
DOHENY,1790001A,6184,453,Y, ,VBM PORTION,1,0,0,0,0,0,0, 
DOHENY,1790001A,6184,453,Y,0,TOTAL,1,0,0,0,0,0,0, 
DOMINGUEZ,1800020B,6185,857,Y, ,POLLING PLACE,165,119,39,0,2,1,0, 
DOMINGUEZ,1800020B,6185,857,Y, ,VBM PORTION,486,395,75,2,2,4,2, 
DOMINGUEZ,1800020B,6185,857,Y,875,TOTAL,651,514,114,2,4,5,2, 
DOMINGUEZ,1800021A,6186,858,Y, ,POLLING PLACE,120,62,53,1,0,3,1, 
DOMINGUEZ,1800021A,6186,858,Y, ,VBM PORTION,588,469,100,4,3,4,2, 
DOMINGUEZ,1800021A,6186,858,Y,955,TOTAL,708,531,153,5,3,7,3, 
DOMINGUEZ,1800021C,6187,846,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
DOMINGUEZ,1800021C,6187,846,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
DOMINGUEZ,1800021C,6187,846,Y,0,TOTAL,0,0,0,0,0,0,0, 
DOWNEY,1850001A,328,710,N, ,POLLING PLACE,352,190,146,3,3,0,3, 
DOWNEY,1850001A,328,710,N, ,VBM PORTION,1331,1001,290,8,8,6,5, 
DOWNEY,1850001A,328,710,N,2262,TOTAL,1683,1191,436,11,11,6,8, 
DOWNEY,1850002A,6188,702,Y, ,POLLING PLACE,107,68,35,1,1,0,1, 
DOWNEY,1850002A,6188,702,Y, ,VBM PORTION,294,230,50,0,1,4,3, 
DOWNEY,1850002A,6188,702,Y,521,TOTAL,401,298,85,1,2,4,4, 
DOWNEY,1850006B,329,710,N, ,POLLING PLACE,413,232,170,1,1,2,3, 
DOWNEY,1850006B,329,710,N, ,VBM PORTION,1183,900,238,7,3,4,5, 
DOWNEY,1850006B,329,710,N,2223,TOTAL,1596,1132,408,8,4,6,8, 
DOWNEY,1850008A,6189,706,Y, ,POLLING PLACE,136,68,63,1,1,1,2, 
DOWNEY,1850008A,6189,706,Y, ,VBM PORTION,413,306,87,2,2,6,2, 
DOWNEY,1850008A,6189,706,Y,728,TOTAL,549,374,150,3,3,7,4, 
DOWNEY,1850009A,330,710,N, ,POLLING PLACE,380,203,165,1,3,2,0, 
DOWNEY,1850009A,330,710,N, ,VBM PORTION,1134,780,310,8,6,3,10, 
DOWNEY,1850009A,330,710,N,2061,TOTAL,1514,983,475,9,9,5,10, 
DOWNEY,1850011A,6190,709,Y, ,POLLING PLACE,123,66,53,1,1,0,0, 
DOWNEY,1850011A,6190,709,Y, ,VBM PORTION,409,284,96,4,4,5,4, 
DOWNEY,1850011A,6190,709,Y,768,TOTAL,532,350,149,5,5,5,4, 
DOWNEY,1850013A,331,710,N, ,POLLING PLACE,341,204,123,2,4,3,3, 
DOWNEY,1850013A,331,710,N, ,VBM PORTION,1053,803,211,8,1,7,6, 
DOWNEY,1850013A,331,710,N,1961,TOTAL,1394,1007,334,10,5,10,9, 
DOWNEY,1850015A,332,710,N, ,POLLING PLACE,447,260,174,0,2,1,3, 
DOWNEY,1850015A,332,710,N, ,VBM PORTION,1151,886,230,3,3,7,6, 
